n : 1.0
freq : 83.33 MHz
SWR : 9.207
 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
 20  20   -14.685     0.033999      -3365.429
 25  20   -13.841     0.041291      -3364.843
 30  20   -13.605     0.043601      -3364.745
 35  20   -11.786     0.066282      -3364.395
 40  20   -10.535     0.088400      -3363.269
 45  20   -11.094     0.077724      -3363.818
 50  20   -10.456     0.090031      -3361.596
 55  20    -9.390     0.115079      -3360.211
 60  20    -9.508     0.111988      -3361.060
 65  20    -8.881     0.129383      -3363.670
 70  20   -10.057     0.098705      -3363.217
 75  20   -10.105     0.097620      -3362.540
 80  20   -10.262     0.094149      -3363.050
 85  20   -11.472     0.071253      -3361.426
 90  20   -11.750     0.066827      -3363.795
 95  20   -11.597     0.069239      -3365.985
100  20   -10.617     0.086747      -3364.543
105  20    -9.870     0.103040      -3362.238
110  20    -9.809     0.104492      -3363.590
115  20    -9.183     0.120700      -3365.170
120  20    -9.272     0.118238      -3364.836
125  20    -9.610     0.109400      -3361.438
130  20    -9.665     0.108009      -3362.300
135  20   -10.795     0.083276      -3360.630
140  20   -10.932     0.080692      -3358.851
145  20   -11.472     0.071256      -3359.205
150  20   -13.900     0.040735      -3001.397
155  20   -13.950     0.040274      -3001.117
160  20   -14.780     0.033265      -3002.423
165  20   -16.851     0.020650      -3362.547
170  20   -19.245     0.011900      -3004.559
175  20   -21.426     0.007200      -3007.170
180  20   -22.711     0.005356      -3008.948
  0  25   -23.663     0.004302      -3358.162
  5  25   -21.520     0.007047      -3361.127
 10  25   -19.370     0.011562      -3364.259
 15  25   -17.125     0.019386      -3365.322
 20  25   -14.685     0.033999      -3365.429
 25  25   -13.841     0.041291      -3364.843
 30  25   -13.605     0.043601      -3364.745
 35  25   -11.786     0.066282      -3364.395
 40  25   -10.535     0.088400      -3363.269
 45  25   -11.094     0.077724      -3363.818
 50  25   -10.456     0.090031      -3361.596
 55  25    -9.390     0.115079      -3360.211
 60  25    -9.508     0.111988      -3361.060
 65  25    -8.881     0.129383      -3363.670
 70  25   -10.057     0.098705      -3363.217
 75  25   -10.105     0.097620      -3362.540
 80  25   -10.262     0.094149      -3363.050
 85  25   -11.472     0.071253      -3361.426
 90  25   -11.750     0.066827      -3363.795
 95  25   -11.597     0.069239      -3365.985
100  25   -10.617     0.086747      -3364.543
105  25    -9.870     0.103040      -3362.238
110  25    -9.809     0.104492      -3363.590
115  25    -9.183     0.120700      -3365.170
120  25    -9.272     0.118238      -3364.836
125  25    -9.610     0.109400      -3361.438
130  25    -9.665     0.108009      -3362.300
135  25   -10.795     0.083276      -3360.630
140  25   -10.932     0.080692      -3358.851
145  25   -11.472     0.071256      -3359.205
150  25   -13.900     0.040735      -3001.397
155  25   -13.950     0.040274      -3001.117
160  25   -14.780     0.033265      -3002.423
165  25   -16.851     0.020650      -3362.547
170  25   -19.245     0.011900      -3004.559
175  25   -21.426     0.007200      -3007.170
180  25   -22.711     0.005356      -3008.948
  0  30   -23.663     0.004302      -3358.162
  5  30   -21.520     0.007047      -3361.127
 10  30   -19.370     0.011562      -3364.259
 15  30   -17.125     0.019386      -3365.322
 20  30   -14.685     0.033999      -3365.429
 25  30   -13.841     0.041291      -3364.843
 30  30   -13.605     0.043601      -3364.745
 35  30   -11.786     0.066282      -3364.395
 40  30   -10.535     0.088400      -3363.269
 45  30   -11.094     0.077724      -3363.818
 50  30   -10.456     0.090031      -3361.596
 55  30    -9.390     0.115079      -3360.211
 60  30    -9.508     0.111988      -3361.060
 65  30    -8.881     0.129383      -3363.670
 70  30   -10.057     0.098705      -3363.217
 75  30   -10.105     0.097620      -3362.540
 80  30   -10.262     0.094149      -3363.050
 85  30   -11.472     0.071253      -3361.426
 90  30   -11.750     0.066827      -3363.795
 95  30   -11.597     0.069239      -3365.985
100  30   -10.617     0.086747      -3364.543
