n : 1.0
freq : 83.33 MHz
SWR : 24.444
 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
 20  20   -23.115     0.004880      -3409.256
 25  20   -20.204     0.009540      -3769.696
 30  20   -18.679     0.013554      -3409.038
 35  20   -17.935     0.016089      -3408.364
 40  20   -16.706     0.021351      -3410.216
 45  20   -17.368     0.018330      -3407.830
 50  20   -16.307     0.023407      -3408.454
 55  20   -16.275     0.023579      -3408.951
 60  20   -14.503     0.035460      -3411.378
 65  20   -13.752     0.042153      -3052.213
 70  20   -13.639     0.043263      -3413.367
 75  20   -13.219     0.047657      -3412.018
 80  20   -13.625     0.043400      -3412.200
 85  20   -12.646     0.054375      -3410.851
 90  20   -12.034     0.062602      -3409.533
 95  20   -12.657     0.054242      -3409.308
100  20   -13.120     0.048749      -3769.791
105  20   -13.374     0.045983      -3770.802
110  20   -13.392     0.045798      -3772.312
115  20   -14.050     0.039358      -3772.234
120  20   -13.566     0.043998      -3771.421
125  20   -15.157     0.030497      -3770.640
130  20   -16.560     0.022080      -3770.816
135  20   -16.226     0.023848      -3769.694
140  20   -16.203     0.023973      -3407.201
145  20   -17.605     0.017358      -3408.219
150  20   -18.432     0.014350      -3407.700
155  20   -19.602     0.010960      -3768.228
160  20   -21.554     0.006992      -3769.930
165  20   -23.873     0.004100      -3771.675
170  20   -28.102     0.001548      -3774.024
175  20   -31.875     0.000649      -3413.588
180  20   -28.635     0.001369      -3415.233
  0  25   -28.302     0.001479      -3770.859
  5  25   -28.410     0.001442      -3770.873
 10  25   -27.483     0.001785      -3409.606
 15  25   -25.535     0.002796      -3768.498
 20  25   -23.115     0.004880      -3409.256
 25  25   -20.204     0.009540      -3769.696
 30  25   -18.679     0.013554      -3409.038
 35  25   -17.935     0.016089      -3408.364
 40  25   -16.706     0.021351      -3410.216
 45  25   -17.368     0.018330      -3407.830
 50  25   -16.307     0.023407      -3408.454
 55  25   -16.275     0.023579      -3408.951
 60  25   -14.503     0.035460      -3411.378
 65  25   -13.752     0.042153      -3052.213
 70  25   -13.639     0.043263      -3413.367
 75  25   -13.219     0.047657      -3412.018
 80  25   -13.625     0.043400      -3412.200
 85  25   -12.646     0.054375      -3410.851
 90  25   -12.034     0.062602      -3409.533
 95  25   -12.657     0.054242      -3409.308
100  25   -13.120     0.048749      -3769.791
105  25   -13.374     0.045983      -3770.802
110  25   -13.392     0.045798      -3772.312
115  25   -14.050     0.039358      -3772.234
120  25   -13.566     0.043998      -3771.421
125  25   -15.157     0.030497      -3770.640
130  25   -16.560     0.022080      -3770.816
135  25   -16.226     0.023848      -3769.694
140  25   -16.203     0.023973      -3407.201
145  25   -17.605     0.017358      -3408.219
150  25   -18.432     0.014350      -3407.700
155  25   -19.602     0.010960      -3768.228
160  25   -21.554     0.006992      -3769.930
165  25   -23.873     0.004100      -3771.675
170  25   -28.102     0.001548      -3774.024
175  25   -31.875     0.000649      -3413.588
180  25   -28.635     0.001369      -3415.233
  0  30   -28.302     0.001479      -3770.859
  5  30   -28.410     0.001442      -3770.873
 10  30   -27.483     0.001785      -3409.606
 15  30   -25.535     0.002796      -3768.498
 20  30   -23.115     0.004880      -3409.256
 25  30   -20.204     0.009540      -3769.696
 30  30   -18.679     0.013554      -3409.038
 35  30   -17.935     0.016089      -3408.364
 40  30   -16.706     0.021351      -3410.216
 45  30   -17.368     0.018330      -3407.830
 50  30   -16.307     0.023407      -3408.454
 55  30   -16.275     0.023579      -3408.951
 60  30   -14.503     0.035460      -3411.378
 65  30   -13.752     0.042153      -3052.213
 70  30   -13.639     0.043263      -3413.367
 75  30   -13.219     0.047657      -3412.018
 80  30   -13.625     0.043400      -3412.200
 85  30   -12.646     0.054375      -3410.851
 90  30   -12.034     0.062602      -3409.533
 95  30   -12.657     0.054242      -3409.308
100  30   -13.120     0.048749      -3769.791
105  30   -13.374     0.045983      -3770.802
110  30   -13.392     0.045798      -3772.312
115  30   -14.050     0.039358      -3772.234
120  30   -13.566     0.043998      -3771.421
125  30   -15.157     0.030497      -3770.640
130  30   -16.560     0.022080      -3770.816
135  30   -16.226     0.023848      -3769.694
140  30   -16.203     0.023973      -3407.201
145  30   -17.605     0.017358      -3408.219
150  30   -18.432     0.014350      -3407.700
155  30   -19.602     0.010960      -3768.228
160  30   -21.554     0.006992      -3769.930
165  30   -23.873     0.004100      -3771.675
170  30   -28.102     0.001548      -3774.024
175  30   -31.875     0.000649      -3413.588
180  30   -28.635     0.001369      -3415.233
  0  35   -28.302     0.001479      -3770.859
  5  35   -28.410     0.001442      -3770.873
 10  35   -27.483     0.001785      -3409.606
 15  35   -25.535     0.002796      -3768.498
 20  35   -23.115     0.004880      -3409.256
 25  35   -20.204     0.009540      -3769.696
 30  35   -18.679     0.013554      -3409.038
 35  35   -17.935     0.016089      -3408.364
 40  35   -16.706     0.021351      -3410.216
 45  35   -17.368     0.018330      -3407.830
 50  35   -16.307     0.023407      -3408.454
 55  35   -16.275     0.023579      -3408.951
 60  35   -14.503     0.035460      -3411.378
 65  35   -13.752     0.042153      -3052.213
 70  35   -13.639     0.043263      -3413.367
 75  35   -13.219     0.047657      -3412.018
 80  35   -13.625     0.043400      -3412.200
 85  35   -12.646     0.054375      -3410.851
 90  35   -12.034     0.062602      -3409.533
 95  35   -12.657     0.054242      -3409.308
100  35   -13.120     0.048749      -3769.791
105  35   -13.374     0.045983      -3770.802
110  35   -13.392     0.045798      -3772.312
115  35   -14.050     0.039358      -3772.234
120  35   -13.566     0.043998      -3771.421
125  35   -15.157     0.030497      -3770.640
130  35   -16.560     0.022080      -3770.816
135  35   -16.226     0.023848      -3769.694
140  35   -16.203     0.023973      -3407.201
145  35   -17.605     0.017358      -3408.219
150  35   -18.432     0.014350      -3407.700
155  35   -19.602     0.010960      -3768.228
160  35   -21.554     0.006992      -3769.930
165  35   -23.873     0.004100      -3771.675
170  35   -28.102     0.001548      -3774.024
175  35   -31.875     0.000649      -3413.588
180  35   -28.635     0.001369      -3415.233
  0  40   -28.302     0.001479      -3770.859
  5  40   -28.410     0.001442      -3770.873
 10  40   -27.483     0.001785      -3409.606
 15  40   -25.535     0.002796      -3768.498
 20  40   -23.115     0.004880      -3409.256
 25  40   -20.204     0.009540      -3769.696
 30  40   -18.679     0.013554      -3409.038
 35  40   -17.935     0.016089      -3408.364
 40  40   -16.706     0.021351      -3410.216
 45  40   -17.368     0.018330      -3407.830
 50  40   -16.307     0.023407      -3408.454
 55  40   -16.275     0.023579      -3408.951
 60  40   -14.503     0.035460      -3411.378
 65  40   -13.752     0.042153      -3052.213
 70  40   -13.639     0.043263      -3413.367
 75  40   -13.219     0.047657      -3412.018
 80  40   -13.625     0.043400      -3412.200
 85  40   -12.646     0.054375      -3410.851
 90  40   -12.034     0.062602      -3409.533
 95  40   -12.657     0.054242      -3409.308
100  40   -13.120     0.048749      -3769.791
105  40   -13.374     0.045983      -3770.802
110  40   -13.392     0.045798      -3772.312
115  40   -14.050     0.039358      -3772.234
120  40   -13.566     0.043998      -3771.421
125  40   -15.157     0.030497      -3770.640
130  40   -16.560     0.022080      -3770.816
135  40   -16.226     0.023848      -3769.694
140  40   -16.203     0.023973      -3407.201
145  40   -17.605     0.017358      -3408.219
150  40   -18.432     0.014350      -3407.700
155  40   -19.602     0.010960      -3768.228
160  40   -21.554     0.006992      -3769.930
165  40   -23.873     0.004100      -3771.675
170  40   -28.102     0.001548      -3774.024
175  40   -31.875     0.000649      -3413.588
180  40   -28.635     0.001369      -3415.233
  0  45   -28.302     0.001479      -3770.859
  5  45   -28.410     0.001442      -3770.873
 10  45   -27.483     0.001785      -3409.606
 15  45   -25.535     0.002796      -3768.498
 20  45   -23.115     0.004880      -3409.256
 25  45   -20.204     0.009540      -3769.696
 30  45   -18.679     0.013554      -3409.038
 35  45   -17.935     0.016089      -3408.364
 40  45   -16.706     0.021351      -3410.216
 45  45   -17.368     0.018330      -3407.830
 50  45   -16.307     0.023407      -3408.454
 55  45   -16.275     0.023579      -3408.951
 60  45   -14.503     0.035460      -3411.378
 65  45   -13.752     0.042153      -3052.213
 70  45   -13.639     0.043263      -3413.367
 75  45   -13.219     0.047657      -3412.018
 80  45   -13.625     0.043400      -3412.200
 85  45   -12.646     0.054375      -3410.851
 90  45   -12.034     0.062602      -3409.533
 95  45   -12.657     0.054242      -3409.308
100  45   -13.120     0.048749      -3769.791
105  45   -13.374     0.045983      -3770.802
110  45   -13.392     0.045798      -3772.312
115  45   -14.050     0.039358      -3772.234
120  45   -13.566     0.043998      -3771.421
125  45   -15.157     0.030497      -3770.640
130  45   -16.560     0.022080      -3770.816
135  45   -16.226     0.023848      -3769.694
140  45   -16.203     0.023973      -3407.201
145  45   -17.605     0.017358      -3408.219
150  45   -18.432     0.014350      -3407.700
155  45   -19.602     0.010960      -3768.228
160  45   -21.554     0.006992      -3769.930
165  45   -23.873     0.004100      -3771.675
170  45   -28.102     0.001548      -3774.024
175  45   -31.875     0.000649      -3413.588
