n : 1.0
freq : 83.33 MHz
SWR : 7.037
 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
 60  10    -5.375     0.290075     -30355.182
 65  10    -4.379     0.364863     -30358.176
 70  10    -3.994     0.398667     -30357.911
 75  10    -3.309     0.466735     -30358.783
 80  10    -2.842     0.519804     -30359.329
 85  10    -2.255     0.594963     -30359.170
 90  10    -2.223     0.599418     -30360.848
 95  10    -2.554     0.555418     -30359.816
100  10    -2.658     0.542226     -30361.070
105  10    -2.978     0.503791     -30361.722
110  10    -3.664     0.430130     -30361.495
115  10    -4.426     0.360886     -30362.134
120  10    -4.890     0.324332     -30361.156
125  10    -6.044     0.248634     -30359.899
130  10    -6.682     0.214684     -30356.054
135  10    -7.629     0.172624     -30355.186
140  10    -9.050     0.124454     -30356.465
145  10   -10.489     0.089347     -30358.190
150  10   -11.855     0.065232     -30356.152
155  10   -13.988     0.039920     -30357.021
160  10   -15.134     0.030664     -30356.888
165  10   -17.724     0.016891     -30355.883
170  10   -20.705     0.008502     -30356.177
175  10   -33.285     0.000469     -30352.115
180  10   -26.039     0.002489     -30350.079
  0  15   -22.937     0.005086     -30356.711
  5  15   -31.870     0.000650     -30358.264
 10  15   -23.142     0.004850     -30358.691
 15  15   -18.933     0.012784     -30362.246
 20  15   -16.378     0.023028     -30362.166
 25  15   -13.831     0.041392     -30358.263
 30  15   -11.950     0.063823     -30357.705
 35  15   -10.335     0.092574     -30355.124
 40  15    -8.722     0.134202     -30355.507
 45  15    -8.045     0.156841     -30356.198
 50  15    -7.113     0.194393     -30356.177
 55  15    -6.177     0.241163     -30358.204
 60  15    -5.375     0.290075     -30355.182
 65  15    -4.379     0.364863     -30358.176
 70  15    -3.994     0.398667     -30357.911
 75  15    -3.309     0.466735     -30358.783
 80  15    -2.842     0.519804     -30359.329
 85  15    -2.255     0.594963     -30359.170
 90  15    -2.223     0.599418     -30360.848
 95  15    -2.554     0.555418     -30359.816
100  15    -2.658     0.542226     -30361.070
105  15    -2.978     0.503791     -30361.722
110  15    -3.664     0.430130     -30361.495
115  15    -4.426     0.360886     -30362.134
120  15    -4.890     0.324332     -30361.156
125  15    -6.044     0.248634     -30359.899
130  15    -6.682     0.214684     -30356.054
135  15    -7.629     0.172624     -30355.186
140  15    -9.050     0.124454     -30356.465
145  15   -10.489     0.089347     -30358.190
150  15   -11.855     0.065232     -30356.152
155  15   -13.988     0.039920     -30357.021
160  15   -15.134     0.030664     -30356.888
165  15   -17.724     0.016891     -30355.883
170  15   -20.705     0.008502     -30356.177
175  15   -33.285     0.000469     -30352.115
180  15   -26.039     0.002489     -30350.079
  0  20   -22.937     0.005086     -30356.711
  5  20   -31.870     0.000650     -30358.264
 10  20   -23.142     0.004850     -30358.691
 15  20   -18.933     0.012784     -30362.246
 20  20   -16.378     0.023028     -30362.166
 25  20   -13.831     0.041392     -30358.263
 30  20   -11.950     0.063823     -30357.705
 35  20   -10.335     0.092574     -30355.124
 40  20    -8.722     0.134202     -30355.507
 45  20    -8.045     0.156841     -30356.198
 50  20    -7.113     0.194393     -30356.177
 55  20    -6.177     0.241163     -30358.204
 60  20    -5.375     0.290075     -30355.182
 65  20    -4.379     0.364863     -30358.176
 70  20    -3.994     0.398667     -30357.911
 75  20    -3.309     0.466735     -30358.783
 80  20    -2.842     0.519804     -30359.329
 85  20    -2.255     0.594963     -30359.170
 90  20    -2.223     0.599418     -30360.848
 95  20    -2.554     0.555418     -30359.816
100  20    -2.658     0.542226     -30361.070
105  20    -2.978     0.503791     -30361.722
110  20    -3.664     0.430130     -30361.495
115  20    -4.426     0.360886     -30362.134
120  20    -4.890     0.324332     -30361.156
125  20    -6.044     0.248634     -30359.899
130  20    -6.682     0.214684     -30356.054
135  20    -7.629     0.172624     -30355.186
140  20    -9.050     0.124454     -30356.465
145  20   -10.489     0.089347     -30358.190
150  20   -11.855     0.065232     -30356.152
155  20   -13.988     0.039920     -30357.021
160  20   -15.134     0.030664     -30356.888
165  20   -17.724     0.016891     -30355.883
170  20   -20.705     0.008502     -30356.177
175  20   -33.285     0.000469     -30352.115
180  20   -26.039     0.002489     -30350.079
  0  25   -22.937     0.005086     -30356.711
  5  25   -31.870     0.000650     -30358.264
 10  25   -23.142     0.004850     -30358.691
 15  25   -18.933     0.012784     -30362.246
 20  25   -16.378     0.023028     -30362.166
 25  25   -13.831     0.041392     -30358.263
 30  25   -11.950     0.063823     -30357.705
 35  25   -10.335     0.092574     -30355.124
 40  25    -8.722     0.134202     -30355.507
 45  25    -8.045     0.156841     -30356.198
 50  25    -7.113     0.194393     -30356.177
 55  25    -6.177     0.241163     -30358.204
 60  25    -5.375     0.290075     -30355.182
 65  25    -4.379     0.364863     -30358.176
 70  25    -3.994     0.398667     -30357.911
 75  25    -3.309     0.466735     -30358.783
 80  25    -2.842     0.519804     -30359.329
 85  25    -2.255     0.594963     -30359.170
 90  25    -2.223     0.599418     -30360.848
 95  25    -2.554     0.555418     -30359.816
100  25    -2.658     0.542226     -30361.070
105  25    -2.978     0.503791     -30361.722
110  25    -3.664     0.430130     -30361.495
115  25    -4.426     0.360886     -30362.134
120  25    -4.890     0.324332     -30361.156
125  25    -6.044     0.248634     -30359.899
130  25    -6.682     0.214684     -30356.054
135  25    -7.629     0.172624     -30355.186
140  25    -9.050     0.124454     -30356.465
145  25   -10.489     0.089347     -30358.190
150  25   -11.855     0.065232     -30356.152
155  25   -13.988     0.039920     -30357.021
160  25   -15.134     0.030664     -30356.888
165  25   -17.724     0.016891     -30355.883
170  25   -20.705     0.008502     -30356.177
175  25   -33.285     0.000469     -30352.115
180  25   -26.039     0.002489     -30350.079
  0  30   -22.937     0.005086     -30356.711
  5  30   -31.870     0.000650     -30358.264
 10  30   -23.142     0.004850     -30358.691
 15  30   -18.933     0.012784     -30362.246
 20  30   -16.378     0.023028     -30362.166
 25  30   -13.831     0.041392     -30358.263
 30  30   -11.950     0.063823     -30357.705
 35  30   -10.335     0.092574     -30355.124
 40  30    -8.722     0.134202     -30355.507
 45  30    -8.045     0.156841     -30356.198
 50  30    -7.113     0.194393     -30356.177
 55  30    -6.177     0.241163     -30358.204
 60  30    -5.375     0.290075     -30355.182
 65  30    -4.379     0.364863     -30358.176
 70  30    -3.994     0.398667     -30357.911
 75  30    -3.309     0.466735     -30358.783
 80  30    -2.842     0.519804     -30359.329
 85  30    -2.255     0.594963     -30359.170
 90  30    -2.223     0.599418     -30360.848
 95  30    -2.554     0.555418     -30359.816
100  30    -2.658     0.542226     -30361.070
105  30    -2.978     0.503791     -30361.722
110  30    -3.664     0.430130     -30361.495
115  30    -4.426     0.360886     -30362.134
120  30    -4.890     0.324332     -30361.156
125  30    -6.044     0.248634     -30359.899
130  30    -6.682     0.214684     -30356.054
135  30    -7.629     0.172624     -30355.186
140  30    -9.050     0.124454     -30356.465
145  30   -10.489     0.089347     -30358.190
150  30   -11.855     0.065232     -30356.152
155  30   -13.988     0.039920     -30357.021
160  30   -15.134     0.030664     -30356.888
165  30   -17.724     0.016891     -30355.883
170  30   -20.705     0.008502     -30356.177
175  30   -33.285     0.000469     -30352.115
180  30   -26.039     0.002489     -30350.079
  0  35   -22.937     0.005086     -30356.711
  5  35   -31.870     0.000650     -30358.264
 10  35   -23.142     0.004850     -30358.691
 15  35   -18.933     0.012784     -30362.246
 20  35   -16.378     0.023028     -30362.166
 25  35   -13.831     0.041392     -30358.263
 30  35   -11.950     0.063823     -30357.705
 35  35   -10.335     0.092574     -30355.124
 40  35    -8.722     0.134202     -30355.507
 45  35    -8.045     0.156841     -30356.198
 50  35    -7.113     0.194393     -30356.177
 55  35    -6.177     0.241163     -30358.204
 60  35    -5.375     0.290075     -30355.182
 65  35    -4.379     0.364863     -30358.176
 70  35    -3.994     0.398667     -30357.911
 75  35    -3.309     0.466735     -30358.783
 80  35    -2.842     0.519804     -30359.329
 85  35    -2.255     0.594963     -30359.170
 90  35    -2.223     0.599418     -30360.848
 95  35    -2.554     0.555418     -30359.816
100  35    -2.658     0.542226     -30361.070
105  35    -2.978     0.503791     -30361.722
110  35    -3.664     0.430130     -30361.495
115  35    -4.426     0.360886     -30362.134
120  35    -4.890     0.324332     -30361.156
125  35    -6.044     0.248634     -30359.899
130  35    -6.682     0.214684     -30356.054
135  35    -7.629     0.172624     -30355.186
140  35    -9.050     0.124454     -30356.465
145  35   -10.489     0.089347     -30358.190
150  35   -11.855     0.065232     -30356.152
155  35   -13.988     0.039920     -30357.021
160  35   -15.134     0.030664     -30356.888
165  35   -17.724     0.016891     -30355.883
170  35   -20.705     0.008502     -30356.177
175  35   -33.285     0.000469     -30352.115
180  35   -26.039     0.002489     -30350.079
  0  40   -22.937     0.005086     -30356.711
  5  40   -31.870     0.000650     -30358.264
 10  40   -23.142     0.004850     -30358.691
 15  40   -18.933     0.012784     -30362.246
 20  40   -16.378     0.023028     -30362.166
 25  40   -13.831     0.041392     -30358.263
 30  40   -11.950     0.063823     -30357.705
 35  40   -10.335     0.092574     -30355.124
 40  40    -8.722     0.134202     -30355.507
 45  40    -8.045     0.156841     -30356.198
 50  40    -7.113     0.194393     -30356.177
 55  40    -6.177     0.241163     -30358.204
 60  40    -5.375     0.290075     -30355.182
 65  40    -4.379     0.364863     -30358.176
 70  40    -3.994     0.398667     -30357.911
 75  40    -3.309     0.466735     -30358.783
 80  40    -2.842     0.519804     -30359.329
 85  40    -2.255     0.594963     -30359.170
 90  40    -2.223     0.599418     -30360.848
 95  40    -2.554     0.555418     -30359.816
100  40    -2.658     0.542226     -30361.070
105  40    -2.978     0.503791     -30361.722
110  40    -3.664     0.430130     -30361.495
115  40    -4.426     0.360886     -30362.134
120  40    -4.890     0.324332     -30361.156
125  40    -6.044     0.248634     -30359.899
130  40    -6.682     0.214684     -30356.054
135  40    -7.629     0.172624     -30355.186
140  40    -9.050     0.124454     -30356.465
145  40   -10.489     0.089347     -30358.190
150  40   -11.855     0.065232     -30356.152
155  40   -13.988     0.039920     -30357.021
160  40   -15.134     0.030664     -30356.888
165  40   -17.724     0.016891     -30355.883
170  40   -20.705     0.008502     -30356.177
175  40   -33.285     0.000469     -30352.115
180  40   -26.039     0.002489     -30350.079
  0  45   -22.937     0.005086     -30356.711
  5  45   -31.870     0.000650     -30358.264
 10  45   -23.142     0.004850     -30358.691
 15  45   -18.933     0.012784     -30362.246
 20  45   -16.378     0.023028     -30362.166
 25  45   -13.831     0.041392     -30358.263
 30  45   -11.950     0.063823     -30357.705
 35  45   -10.335     0.092574     -30355.124
 40  45    -8.722     0.134202     -30355.507
 45  45    -8.045     0.156841     -30356.198
 50  45    -7.113     0.194393     -30356.177
 55  45    -6.177     0.241163     -30358.204
 60  45    -5.375     0.290075     -30355.182
 65  45    -4.379     0.364863     -30358.176
 70  45    -3.994     0.398667     -30357.911
 75  45    -3.309     0.466735     -30358.783
 80  45    -2.842     0.519804     -30359.329
 85  45    -2.255     0.594963     -30359.170
 90  45    -2.223     0.599418     -30360.848
 95  45    -2.554     0.555418     -30359.816
100  45    -2.658     0.542226     -30361.070
105  45    -2.978     0.503791     -30361.722
110  45    -3.664     0.430130     -30361.495
115  45    -4.426     0.360886     -30362.134
120  45    -4.890     0.324332     -30361.156
125  45    -6.044     0.248634     -30359.899
130  45    -6.682     0.214684     -30356.054
135  45    -7.629     0.172624     -30355.186
140  45    -9.050     0.124454     -30356.465
145  45   -10.489     0.089347     -30358.190
150  45   -11.855     0.065232     -30356.152
155  45   -13.988     0.039920     -30357.021
160  45   -15.134     0.030664     -30356.888
165  45   -17.724     0.016891     -30355.883
170  45   -20.705     0.008502     -30356.177
175  45   -33.285     0.000469     -30352.115
180  45   -26.039     0.002489     -30350.079
  0  50   -22.937     0.005086     -30356.711
  5  50   -31.870     0.000650     -30358.264
 10  50   -23.142     0.004850     -30358.691
 15  50   -18.933     0.012784     -30362.246
 20  50   -16.378     0.023028     -30362.166
 25  50   -13.831     0.041392     -30358.263
 30  50   -11.950     0.063823     -30357.705
 35  50   -10.335     0.092574     -30355.124
 40  50    -8.722     0.134202     -30355.507
 45  50    -8.045     0.156841     -30356.198
 50  50    -7.113     0.194393     -30356.177
 55  50    -6.177     0.241163     -30358.204
 60  50    -5.375     0.290075     -30355.182
 65  50    -4.379     0.364863     -30358.176
 70  50    -3.994     0.398667     -30357.911
 75  50    -3.309     0.466735     -30358.783
 80  50    -2.842     0.519804     -30359.329
 85  50    -2.255     0.594963     -30359.170
 90  50    -2.223     0.599418     -30360.848
 95  50    -2.554     0.555418     -30359.816
100  50    -2.658     0.542226     -30361.070
105  50    -2.978     0.503791     -30361.722
110  50    -3.664     0.430130     -30361.495
115  50    -4.426     0.360886     -30362.134
120  50    -4.890     0.324332     -30361.156
125  50    -6.044     0.248634     -30359.899
130  50    -6.682     0.214684     -30356.054
135  50    -7.629     0.172624     -30355.186
140  50    -9.050     0.124454     -30356.465
145  50   -10.489     0.089347     -30358.190
150  50   -11.855     0.065232     -30356.152
155  50   -13.988     0.039920     -30357.021
160  50   -15.134     0.030664     -30356.888
165  50   -17.724     0.016891     -30355.883
170  50   -20.705     0.008502     -30356.177
175  50   -33.285     0.000469     -30352.115
180  50   -26.039     0.002489     -30350.079
  0  55   -22.937     0.005086     -30356.711
  5  55   -31.870     0.000650     -30358.264
 10  55   -23.142     0.004850     -30358.691
 15  55   -18.933     0.012784     -30362.246
 20  55   -16.378     0.023028     -30362.166
 25  55   -13.831     0.041392     -30358.263
 30  55   -11.950     0.063823     -30357.705
 35  55   -10.335     0.092574     -30355.124
 40  55    -8.722     0.134202     -30355.507
 45  55    -8.045     0.156841     -30356.198
 50  55    -7.113     0.194393     -30356.177
 55  55    -6.177     0.241163     -30358.204
 60  55    -5.375     0.290075     -30355.182
 65  55    -4.379     0.364863     -30358.176
 70  55    -3.994     0.398667     -30357.911
 75  55    -3.309     0.466735     -30358.783
 80  55    -2.842     0.519804     -30359.329
 85  55    -2.255     0.594963     -30359.170
 90  55    -2.223     0.599418     -30360.848
 95  55    -2.554     0.555418     -30359.816
100  55    -2.658     0.542226     -30361.070
105  55    -2.978     0.503791     -30361.722
110  55    -3.664     0.430130     -30361.495
115  55    -4.426     0.360886     -30362.134
120  55    -4.890     0.324332     -30361.156
125  55    -6.044     0.248634     -30359.899
130  55    -6.682     0.214684     -30356.054
135  55    -7.629     0.172624     -30355.186
140  55    -9.050     0.124454     -30356.465
145  55   -10.489     0.089347     -30358.190
150  55   -11.855     0.065232     -30356.152
155  55   -13.988     0.039920     -30357.021
160  55   -15.134     0.030664     -30356.888
165  55   -17.724     0.016891     -30355.883
170  55   -20.705     0.008502     -30356.177
175  55   -33.285     0.000469     -30352.115
180  55   -26.039     0.002489     -30350.079
  0  60   -22.937     0.005086     -30356.711
  5  60   -31.870     0.000650     -30358.264
 10  60   -23.142     0.004850     -30358.691
 15  60   -18.933     0.012784     -30362.246
 20  60   -16.378     0.023028     -30362.166
 25  60   -13.831     0.041392     -30358.263
 30  60   -11.950     0.063823     -30357.705
 35  60   -10.335     0.092574     -30355.124
 40  60    -8.722     0.134202     -30355.507
 45  60    -8.045     0.156841     -30356.198
 50  60    -7.113     0.194393     -30356.177
 55  60    -6.177     0.241163     -30358.204
 60  60    -5.375     0.290075     -30355.182
 65  60    -4.379     0.364863     -30358.176
 70  60    -3.994     0.398667     -30357.911
 75  60    -3.309     0.466735     -30358.783
 80  60    -2.842     0.519804     -30359.329
 85  60    -2.255     0.594963     -30359.170
 90  60    -2.223     0.599418     -30360.848
 95  60    -2.554     0.555418     -30359.816
100  60    -2.658     0.542226     -30361.070
105  60    -2.978     0.503791     -30361.722
110  60    -3.664     0.430130     -30361.495
115  60    -4.426     0.360886     -30362.134
120  60    -4.890     0.324332     -30361.156
125  60    -6.044     0.248634     -30359.899
130  60    -6.682     0.214684     -30356.054
135  60    -7.629     0.172624     -30355.186
140  60    -9.050     0.124454     -30356.465
145  60   -10.489     0.089347     -30358.190
150  60   -11.855     0.065232     -30356.152
155  60   -13.988     0.039920     -30357.021
160  60   -15.134     0.030664     -30356.888
165  60   -17.724     0.016891     -30355.883
170  60   -20.705     0.008502     -30356.177
175  60   -33.285     0.000469     -30352.115
180  60   -26.039     0.002489     -30350.079
  0  65   -22.937     0.005086     -30356.711
  5  65   -31.870     0.000650     -30358.264
 10  65   -23.142     0.004850     -30358.691
 15  65   -18.933     0.012784     -30362.246
 20  65   -16.378     0.023028     -30362.166
 25  65   -13.831     0.041392     -30358.263
 30  65   -11.950     0.063823     -30357.705
 35  65   -10.335     0.092574     -30355.124
 40  65    -8.722     0.134202     -30355.507
 45  65    -8.045     0.156841     -30356.198
 50  65    -7.113     0.194393     -30356.177
 55  65    -6.177     0.241163     -30358.204
 60  65    -5.375     0.290075     -30355.182
 65  65    -4.379     0.364863     -30358.176
 70  65    -3.994     0.398667     -30357.911
 75  65    -3.309     0.466735     -30358.783
 80  65    -2.842     0.519804     -30359.329
 85  65    -2.255     0.594963     -30359.170
 90  65    -2.223     0.599418     -30360.848
 95  65    -2.554     0.555418     -30359.816
100  65    -2.658     0.542226     -30361.070
105  65    -2.978     0.503791     -30361.722
110  65    -3.664     0.430130     -30361.495
115  65    -4.426     0.360886     -30362.134
120  65    -4.890     0.324332     -30361.156
125  65    -6.044     0.248634     -30359.899
130  65    -6.682     0.214684     -30356.054
135  65    -7.629     0.172624     -30355.186
140  65    -9.050     0.124454     -30356.465
145  65   -10.489     0.089347     -30358.190
150  65   -11.855     0.065232     -30356.152
155  65   -13.988     0.039920     -30357.021
160  65   -15.134     0.030664     -30356.888
165  65   -17.724     0.016891     -30355.883
170  65   -20.705     0.008502     -30356.177
175  65   -33.285     0.000469     -30352.115
180  65   -26.039     0.002489     -30350.079
  0  70   -22.937     0.005086     -30356.711
  5  70   -31.870     0.000650     -30358.264
 10  70   -23.142     0.004850     -30358.691
 15  70   -18.933     0.012784     -30362.246
 20  70   -16.378     0.023028     -30362.166
 25  70   -13.831     0.041392     -30358.263
 30  70   -11.950     0.063823     -30357.705
 35  70   -10.335     0.092574     -30355.124
 40  70    -8.722     0.134202     -30355.507
 45  70    -8.045     0.156841     -30356.198
 50  70    -7.113     0.194393     -30356.177
 55  70    -6.177     0.241163     -30358.204
 60  70    -5.375     0.290075     -30355.182
 65  70    -4.379     0.364863     -30358.176
 70  70    -3.994     0.398667     -30357.911
 75  70    -3.309     0.466735     -30358.783
 80  70    -2.842     0.519804     -30359.329
 85  70    -2.255     0.594963     -30359.170
 90  70    -2.223     0.599418     -30360.848
 95  70    -2.554     0.555418     -30359.816
100  70    -2.658     0.542226     -30361.070
105  70    -2.978     0.503791     -30361.722
110  70    -3.664     0.430130     -30361.495
115  70    -4.426     0.360886     -30362.134
120  70    -4.890     0.324332     -30361.156
125  70    -6.044     0.248634     -30359.899
130  70    -6.682     0.214684     -30356.054
135  70    -7.629     0.172624     -30355.186
140  70    -9.050     0.124454     -30356.465
145  70   -10.489     0.089347     -30358.190
150  70   -11.855     0.065232     -30356.152
155  70   -13.988     0.039920     -30357.021
160  70   -15.134     0.030664     -30356.888
165  70   -17.724     0.016891     -30355.883
170  70   -20.705     0.008502     -30356.177
175  70   -33.285     0.000469     -30352.115
180  70   -26.039     0.002489     -30350.079
  0  75   -22.937     0.005086     -30356.711
  5  75   -31.870     0.000650     -30358.264
 10  75   -23.142     0.004850     -30358.691
 15  75   -18.933     0.012784     -30362.246
 20  75   -16.378     0.023028     -30362.166
 25  75   -13.831     0.041392     -30358.263
 30  75   -11.950     0.063823     -30357.705
 35  75   -10.335     0.092574     -30355.124
 40  75    -8.722     0.134202     -30355.507
 45  75    -8.045     0.156841     -30356.198
 50  75    -7.113     0.194393     -30356.177
 55  75    -6.177     0.241163     -30358.204
 60  75    -5.375     0.290075     -30355.182
 65  75    -4.379     0.364863     -30358.176
 70  75    -3.994     0.398667     -30357.911
 75  75    -3.309     0.466735     -30358.783
 80  75    -2.842     0.519804     -30359.329
 85  75    -2.255     0.594963     -30359.170
 90  75    -2.223     0.599418     -30360.848
 95  75    -2.554     0.555418     -30359.816
100  75    -2.658     0.542226     -30361.070
105  75    -2.978     0.503791     -30361.722
110  75    -3.664     0.430130     -30361.495
115  75    -4.426     0.360886     -30362.134
120  75    -4.890     0.324332     -30361.156
125  75    -6.044     0.248634     -30359.899
130  75    -6.682     0.214684     -30356.054
135  75    -7.629     0.172624     -30355.186
140  75    -9.050     0.124454     -30356.465
145  75   -10.489     0.089347     -30358.190
150  75   -11.855     0.065232     -30356.152
155  75   -13.988     0.039920     -30357.021
160  75   -15.134     0.030664     -30356.888
165  75   -17.724     0.016891     -30355.883
170  75   -20.705     0.008502     -30356.177
175  75   -33.285     0.000469     -30352.115
180  75   -26.039     0.002489     -30350.079
  0  80   -22.937     0.005086     -30356.711
  5  80   -31.870     0.000650     -30358.264
 10  80   -23.142     0.004850     -30358.691
 15  80   -18.933     0.012784     -30362.246
 20  80   -16.378     0.023028     -30362.166
 25  80   -13.831     0.041392     -30358.263
 30  80   -11.950     0.063823     -30357.705
 35  80   -10.335     0.092574     -30355.124
 40  80    -8.722     0.134202     -30355.507
 45  80    -8.045     0.156841     -30356.198
 50  80    -7.113     0.194393     -30356.177
 55  80    -6.177     0.241163     -30358.204
 60  80    -5.375     0.290075     -30355.182
 65  80    -4.379     0.364863     -30358.176
 70  80    -3.994     0.398667     -30357.911
 75  80    -3.309     0.466735     -30358.783
 80  80    -2.842     0.519804     -30359.329
 85  80    -2.255     0.594963     -30359.170
 90  80    -2.223     0.599418     -30360.848
 95  80    -2.554     0.555418     -30359.816
100  80    -2.658     0.542226     -30361.070
105  80    -2.978     0.503791     -30361.722
110  80    -3.664     0.430130     -30361.495
115  80    -4.426     0.360886     -30362.134
120  80    -4.890     0.324332     -30361.156
125  80    -6.044     0.248634     -30359.899
130  80    -6.682     0.214684     -30356.054
135  80    -7.629     0.172624     -30355.186
140  80    -9.050     0.124454     -30356.465
145  80   -10.489     0.089347     -30358.190
150  80   -11.855     0.065232     -30356.152
155  80   -13.988     0.039920     -30357.021
160  80   -15.134     0.030664     -30356.888
165  80   -17.724     0.016891     -30355.883
170  80   -20.705     0.008502     -30356.177
175  80   -33.285     0.000469     -30352.115
180  80   -26.039     0.002489     -30350.079
  0  85   -22.937     0.005086     -30356.711
  5  85   -31.870     0.000650     -30358.264
 10  85   -23.142     0.004850     -30358.691
 15  85   -18.933     0.012784     -30362.246
 20  85   -16.378     0.023028     -30362.166
 25  85   -13.831     0.041392     -30358.263
 30  85   -11.950     0.063823     -30357.705
 35  85   -10.335     0.092574     -30355.124
 40  85    -8.722     0.134202     -30355.507
 45  85    -8.045     0.156841     -30356.198
 50  85    -7.113     0.194393     -30356.177
 55  85    -6.177     0.241163     -30358.204
 60  85    -5.375     0.290075     -30355.182
 65  85    -4.379     0.364863     -30358.176
 70  85    -3.994     0.398667     -30357.911
 75  85    -3.309     0.466735     -30358.783
 80  85    -2.842     0.519804     -30359.329
 85  85    -2.255     0.594963     -30359.170
 90  85    -2.223     0.599418     -30360.848
 95  85    -2.554     0.555418     -30359.816
100  85    -2.658     0.542226     -30361.070
105  85    -2.978     0.503791     -30361.722
110  85    -3.664     0.430130     -30361.495
115  85    -4.426     0.360886     -30362.134
120  85    -4.890     0.324332     -30361.156
125  85    -6.044     0.248634     -30359.899
130  85    -6.682     0.214684     -30356.054
135  85    -7.629     0.172624     -30355.186
140  85    -9.050     0.124454     -30356.465
145  85   -10.489     0.089347     -30358.190
150  85   -11.855     0.065232     -30356.152
155  85   -13.988     0.039920     -30357.021
160  85   -15.134     0.030664     -30356.888
165  85   -17.724     0.016891     -30355.883
170  85   -20.705     0.008502     -30356.177
175  85   -33.285     0.000469     -30352.115
180  85   -26.039     0.002489     -30350.079
  0  90   -22.937     0.005086     -30356.711
  5  90   -31.870     0.000650     -30358.264
 10  90   -23.142     0.004850     -30358.691
 15  90   -18.933     0.012784     -30362.246
 20  90   -16.378     0.023028     -30362.166
 25  90   -13.831     0.041392     -30358.263
 30  90   -11.950     0.063823     -30357.705
 35  90   -10.335     0.092574     -30355.124
 40  90    -8.722     0.134202     -30355.507
 45  90    -8.045     0.156841     -30356.198
 50  90    -7.113     0.194393     -30356.177
 55  90    -6.177     0.241163     -30358.204
 60  90    -5.375     0.290075     -30355.182
 65  90    -4.379     0.364863     -30358.176
 70  90    -3.994     0.398667     -30357.911
 75  90    -3.309     0.466735     -30358.783
 80  90    -2.842     0.519804     -30359.329
 85  90    -2.255     0.594963     -30359.170
 90  90    -2.223     0.599418     -30360.848
 95  90    -2.554     0.555418     -30359.816
100  90    -2.658     0.542226     -30361.070
105  90    -2.978     0.503791     -30361.722
110  90    -3.664     0.430130     -30361.495
115  90    -4.426     0.360886     -30362.134
120  90    -4.890     0.324332     -30361.156
125  90    -6.044     0.248634     -30359.899
130  90    -6.682     0.214684     -30356.054
135  90    -7.629     0.172624     -30355.186
140  90    -9.050     0.124454     -30356.465
145  90   -10.489     0.089347     -30358.190
150  90   -11.855     0.065232     -30356.152
155  90   -13.988     0.039920     -30357.021
160  90   -15.134     0.030664     -30356.888
165  90   -17.724     0.016891     -30355.883
170  90   -20.705     0.008502     -30356.177
175  90   -33.285     0.000469     -30352.115
180  90   -26.039     0.002489     -30350.079
  0  95   -22.937     0.005086     -30356.711
  5  95   -31.870     0.000650     -30358.264
 10  95   -23.142     0.004850     -30358.691
 15  95   -18.933     0.012784     -30362.246
 20  95   -16.378     0.023028     -30362.166
 25  95   -13.831     0.041392     -30358.263
 30  95   -11.950     0.063823     -30357.705
 35  95   -10.335     0.092574     -30355.124
 40  95    -8.722     0.134202     -30355.507
 45  95    -8.045     0.156841     -30356.198
 50  95    -7.113     0.194393     -30356.177
 55  95    -6.177     0.241163     -30358.204
 60  95    -5.375     0.290075     -30355.182
 65  95    -4.379     0.364863     -30358.176
 70  95    -3.994     0.398667     -30357.911
 75  95    -3.309     0.466735     -30358.783
 80  95    -2.842     0.519804     -30359.329
 85  95    -2.255     0.594963     -30359.170
 90  95    -2.223     0.599418     -30360.848
 95  95    -2.554     0.555418     -30359.816
100  95    -2.658     0.542226     -30361.070
105  95    -2.978     0.503791     -30361.722
110  95    -3.664     0.430130     -30361.495
115  95    -4.426     0.360886     -30362.134
120  95    -4.890     0.324332     -30361.156
125  95    -6.044     0.248634     -30359.899
130  95    -6.682     0.214684     -30356.054
135  95    -7.629     0.172624     -30355.186
140  95    -9.050     0.124454     -30356.465
145  95   -10.489     0.089347     -30358.190
150  95   -11.855     0.065232     -30356.152
155  95   -13.988     0.039920     -30357.021
160  95   -15.134     0.030664     -30356.888
165  95   -17.724     0.016891     -30355.883
170  95   -20.705     0.008502     -30356.177
175  95   -33.285     0.000469     -30352.115
180  95   -26.039     0.002489     -30350.079
  0 100   -22.937     0.005086     -30356.711
  5 100   -31.870     0.000650     -30358.264
 10 100   -23.142     0.004850     -30358.691
 15 100   -18.933     0.012784     -30362.246
 20 100   -16.378     0.023028     -30362.166
 25 100   -13.831     0.041392     -30358.263
 30 100   -11.950     0.063823     -30357.705
 35 100   -10.335     0.092574     -30355.124
 40 100    -8.722     0.134202     -30355.507
 45 100    -8.045     0.156841     -30356.198
 50 100    -7.113     0.194393     -30356.177
 55 100    -6.177     0.241163     -30358.204
 60 100    -5.375     0.290075     -30355.182
 65 100    -4.379     0.364863     -30358.176
 70 100    -3.994     0.398667     -30357.911
 75 100    -3.309     0.466735     -30358.783
 80 100    -2.842     0.519804     -30359.329
 85 100    -2.255     0.594963     -30359.170
 90 100    -2.223     0.599418     -30360.848
 95 100    -2.554     0.555418     -30359.816
100 100    -2.658     0.542226     -30361.070
105 100    -2.978     0.503791     -30361.722
110 100    -3.664     0.430130     -30361.495
115 100    -4.426     0.360886     -30362.134
