Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
0.000000,8.24978e-16,2.19155e-15,1.32293e-15,1.38879e-15,1.98748e-15,2.32099e-15,1.67084e-15,2.40459e-15,4.70191e-16,2.74624e-16,6.96342e-16,3.53768e-16,3.9058e-16,8.47864e-16,5.30026e-16,3.28902e-16
1.953125,5.03098e-23,1.05093e-22,8.75994e-23,9.41583e-23,9.77249e-23,1.515e-22,9.18967e-23,1.09148e-22,4.07065e-23,3.71124e-23,5.34845e-23,4.06108e-23,3.57545e-23,5.6161e-23,4.53255e-23,3.77702e-23
3.906250,5.43273e-30,1.01942e-29,9.72148e-30,1.04647e-29,9.75137e-30,1.68533e-29,9.58212e-30,1.02207e-29,5.00598e-30,4.85623e-30,6.26369e-30,5.35719e-30,4.51397e-30,6.42334e-30,5.48375e-30,5.03657e-30
5.859375,1.02209e-36,1.83226e-36,1.81806e-36,1.96514e-36,1.79365e-36,3.15681e-36,1.75644e-36,1.81444e-36,9.65861e-37,9.5312e-37,1.17623e-36,1.06992e-36,8.82918e-37,1.22718e-36,1.04439e-36,1.01074e-36
7.812500,3.55762e-43,6.2679e-43,6.19996e-43,6.86175e-43,6.1789e-43,1.07431e-42,5.95583e-43,6.3071e-43,3.16892e-43,3.14458e-43,3.87246e-43,3.59154e-43,2.87706e-43,4.14195e-43,3.41593e-43,3.39256e-43
9.765625,2.6227e-49,4.67451e-49,4.5797e-49,5.20741e-49,4.56233e-49,8.02033e-49,4.37599e-49,4.80038e-49,2.11699e-49,2.08241e-49,2.72646e-49,2.38944e-49,1.83622e-49,2.92607e-49,2.31922e-49,2.22725e-49
11.718750,4.33581e-55,7.85587e-55,7.69901e-55,8.66964e-55,7.69599e-55,1.34958e-54,7.38691e-55,8.03469e-55,3.79748e-55,3.71622e-55,4.7777e-55,4.11665e-55,3.34659e-55,5.05124e-55,4.10408e-55,3.84431e-55
13.671875,1.59704e-60,2.88644e-60,2.83443e-60,3.08722e-60,2.88295e-60,4.92116e-60,2.76004e-60,2.8853e-60,1.60796e-60,1.57599e-60,1.90418e-60,1.7e-60,1.48344e-60,2.00797e-60,1.705e-60,1.61632e-60
15.625000,1.2425e-65,2.2132e-65,2.1746e-65,2.35961e-65,2.21895e-65,3.78702e-65,2.12315e-65,2.21127e-65,1.18788e-65,1.15603e-65,1.41819e-65,1.25965e-65,1.09463e-65,1.51087e-65,1.26515e-65,1.1964e-65
17.578125,2.01836e-70,3.62186e-70,3.60216e-70,4.01976e-70,3.58653e-70,6.36735e-70,3.4381e-70,3.73438e-70,1.67866e-70,1.60308e-70,2.15821e-70,1.79608e-70,1.45144e-70,2.2869e-70,1.82461e-70,1.66247e-70
19.531250,7.63802e-75,1.38257e-74,1.36498e-74,1.52513e-74,1.41662e-74,2.39546e-74,1.31559e-74,1.42027e-74,8.88607e-75,8.59556e-75,1.0164e-74,9.22973e-75,8.3168e-75,1.04407e-74,9.20822e-75,8.92286e-75
21.484376,7.47163e-79,1.29887e-78,1.19909e-78,1.289e-78,1.43044e-78,2.02402e-78,1.27238e-78,1.25605e-78,1.31223e-78,1.30915e-78,1.27216e-78,1.28075e-78,1.42934e-78,1.28948e-78,1.28131e-78,1.29447e-78
23.437501,1.60637e-82,2.68588e-82,2.29599e-82,2.42619e-82,3.08508e-82,3.77556e-82,2.6872e-82,2.48961e-82,3.59249e-82,3.32358e-82,2.93037e-82,2.93424e-82,3.59657e-82,2.98327e-82,2.93856e-82,3.0033e-82
25.390626,6.57529e-86,1.08688e-85,9.00621e-86,9.73701e-86,1.25014e-85,1.49162e-85,1.0939e-85,1.01056e-85,1.46364e-85,1.30352e-85,1.15714e-85,1.15417e-85,1.3448e-85,1.18751e-85,1.15298e-85,1.18061e-85
27.343751,5.01897e-89,8.43633e-89,7.16229e-89,7.91081e-89,9.26636e-89,1.23671e-88,8.43089e-89,7.94297e-89,8.28212e-89,8.30647e-89,7.79497e-89,7.89241e-89,8.5704e-89,8.08421e-89,7.82957e-89,8.02916e-89
29.296876,7.53646e-92,1.32789e-91,1.21635e-91,1.32013e-91,1.38496e-91,2.17894e-91,1.30068e-91,1.26575e-91,8.81152e-92,8.66626e-92,9.56058e-92,9.08194e-92,8.77547e-92,1.01068e-91,9.05068e-92,9.06729e-92
31.250001,2.74918e-94,4.9934e-94,4.75843e-94,5.01884e-94,5.04169e-94,8.77857e-94,4.78572e-94,4.75791e-94,2.13445e-94,1.90294e-94,2.74833e-94,2.14344e-94,1.82289e-94,2.96862e-94,2.24114e-94,2.10064e-94
