Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
0.000000,4.88103e-18,5.04364e-18,7.36448e-18,1.2219e-17,6.79794e-18,6.54115e-18,5.02283e-18,9.55464e-18,9.72999e-18,8.58729e-18,8.05114e-18,6.91616e-18,5.32453e-18,6.63588e-18,6.79681e-18,5.59342e-18
1.953125,3.53452e-19,3.4937e-19,3.5207e-19,3.59691e-19,3.52083e-19,5.18668e-19,3.59378e-19,3.53277e-19,3.88561e-19,3.88914e-19,5.32897e-19,5.86169e-19,4.82701e-19,5.43116e-19,4.28373e-19,4.88376e-19
3.906250,8.2648e-19,7.10126e-19,5.11659e-19,5.10915e-19,8.84814e-19,1.17772e-18,5.19045e-19,8.99074e-19,5.70348e-19,5.66859e-19,8.24604e-19,8.54961e-19,7.06946e-19,7.95085e-19,6.21733e-19,7.19689e-19
5.859375,1.12509e-18,9.97301e-19,1.16221e-18,1.16018e-18,1.10989e-18,1.73157e-18,1.16244e-18,1.15338e-18,9.00592e-19,8.60537e-19,1.3828e-18,1.30106e-18,1.05936e-18,1.19527e-18,9.17739e-19,1.08116e-18
7.812500,1.48235e-18,1.4864e-18,1.56269e-18,1.47138e-18,1.45959e-18,2.75445e-18,1.51021e-18,1.48441e-18,1.61407e-18,1.3094e-18,2.67657e-18,2.26909e-18,1.7699e-18,1.95981e-18,1.44037e-18,1.71642e-18
9.765625,2.041e-18,2.02812e-18,1.75843e-18,2.09584e-18,2.04971e-18,7.86002e-17,1.75351e-18,2.00364e-18,1.99476e-18,1.97391e-18,1.34478e-17,3.94447e-18,2.91478e-18,2.92931e-18,2.30466e-18,3.66371e-18
11.718750,2.52485e-18,2.50224e-18,2.61251e-18,2.95231e-18,2.53162e-18,1.68959e-16,2.59005e-18,2.49785e-18,3.02011e-18,2.93877e-18,1.10618e-16,6.09366e-18,8.10217e-18,4.45922e-18,3.74245e-18,1.16167e-17
13.671875,3.71814e-18,3.695e-18,3.86746e-18,3.75488e-18,3.7403e-18,9.13426e-18,3.8012e-18,3.6996e-18,5.59683e-18,4.33293e-18,9.62531e-18,6.78989e-18,5.72197e-18,6.09213e-18,4.62693e-18,6.14719e-18
15.625000,5.5125e-18,5.48119e-18,5.70724e-18,5.57349e-18,5.54549e-18,9.71612e-18,5.62819e-18,5.49917e-18,7.91436e-18,6.44828e-18,1.04281e-17,9.89236e-18,8.49514e-18,9.07578e-18,6.97028e-18,8.2504e-18
17.578125,8.18349e-18,8.13913e-18,8.41814e-18,8.27705e-18,8.23583e-18,1.2394e-17,8.34682e-18,8.11817e-18,9.91406e-18,9.62827e-18,1.3372e-17,1.49019e-17,1.29687e-17,1.37509e-17,1.04093e-17,1.20215e-17
19.531250,1.48705e-17,1.46583e-17,1.24588e-17,1.45543e-17,1.22107e-17,1.70381e-17,1.48787e-17,1.45168e-17,1.46148e-17,1.43931e-17,1.85366e-17,2.28177e-17,1.89729e-17,2.1098e-17,1.58986e-17,1.79449e-17
21.484375,2.27984e-17,2.20392e-17,2.26405e-17,2.17961e-17,2.21692e-17,2.45215e-17,2.28413e-17,2.1815e-17,2.77903e-17,2.15341e-17,2.67024e-17,3.55348e-17,2.99899e-17,3.28143e-17,2.42616e-17,2.73782e-17
23.437500,3.22388e-17,3.23936e-17,3.27606e-17,3.23402e-17,2.69887e-17,3.58183e-17,3.32671e-17,3.19043e-17,3.29298e-17,3.22908e-17,3.93861e-17,5.55823e-17,4.50741e-17,5.1276e-17,3.7494e-17,4.21784e-17
25.390625,3.98609e-17,3.96838e-17,4.08209e-17,4.05595e-17,4.01401e-17,5.3646e-17,4.04845e-17,3.93273e-17,4.81864e-17,4.83664e-17,5.94444e-17,8.72014e-17,7.14073e-17,7.96934e-17,5.79131e-17,6.60968e-17
27.343750,5.92692e-17,5.90547e-17,6.07303e-17,6.03945e-17,5.96739e-17,7.90646e-17,6.01726e-17,5.83381e-17,7.29938e-17,7.24487e-17,8.93971e-17,1.36184e-16,1.04311e-16,1.2207e-16,8.80707e-17,1.02225e-16
29.296875,8.81611e-17,8.78429e-17,9.03496e-17,8.94777e-17,8.87659e-17,1.19037e-16,8.94326e-17,8.66608e-17,1.51915e-16,1.08579e-16,1.39486e-16,2.07848e-16,1.68362e-16,1.84937e-16,1.36397e-16,1.58596e-16
31.250000,1.55033e-16,1.30765e-16,1.34486e-16,1.34008e-16,1.32072e-16,1.74637e-16,1.56948e-16,1.28897e-16,1.63326e-16,1.62794e-16,2.13401e-16,3.14638e-16,2.54936e-16,2.77986e-16,2.05234e-16,2.45168e-16
33.203125,2.29804e-16,1.94513e-16,2.00052e-16,1.99588e-16,1.96422e-16,2.61938e-16,1.97472e-16,1.9166e-16,2.45948e-16,2.43782e-16,3.33917e-16,4.73121e-16,3.87614e-16,4.17567e-16,3.14518e-16,3.77694e-16
35.156250,2.90149e-16,2.89494e-16,2.97357e-16,2.97324e-16,2.92316e-16,3.84626e-16,2.93424e-16,2.84242e-16,4.0429e-16,3.65095e-16,5.05861e-16,7.08413e-16,5.79735e-16,6.27148e-16,4.62348e-16,5.7726e-16
37.109375,4.31308e-16,4.30867e-16,4.42255e-16,4.42714e-16,4.34851e-16,5.76124e-16,4.36174e-16,4.22247e-16,6.62139e-16,5.46146e-16,7.85845e-16,1.05917e-15,8.92709e-16,9.44567e-16,7.09568e-16,8.92436e-16
39.062500,6.41532e-16,6.40609e-16,6.577e-16,6.58932e-16,6.46576e-16,8.5103e-16,6.48206e-16,6.27823e-16,8.32521e-16,8.16174e-16,1.17126e-15,1.58445e-15,1.34059e-15,1.42344e-15,1.05177e-15,1.62028e-15
41.015625,9.53973e-16,9.52584e-16,9.7783e-16,9.81019e-16,9.61258e-16,1.26704e-15,9.62987e-16,9.32732e-16,1.24498e-15,1.21899e-15,1.76106e-15,2.37288e-15,1.94732e-15,2.14847e-15,1.56939e-15,2.06118e-15
42.968750,1.41748e-15,1.41598e-15,1.45311e-15,1.45861e-15,1.42874e-15,1.87982e-15,1.42972e-15,1.38402e-15,2.26327e-15,1.81904e-15,2.5879e-15,3.5736e-15,2.97012e-15,3.23768e-15,2.32555e-15,3.12494e-15
