Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
0.000000,4.27189e-19,4.79115e-19,7.74502e-19,8.93316e-19,8.26258e-19,4.28386e-19,8.8702e-19,6.55877e-19,8.07462e-19,4.10321e-19,5.18357e-19,5.04335e-19,5.61412e-19,4.16502e-19,5.26089e-19,4.71455e-19
0.859107,5.08679e-19,5.69758e-19,9.24093e-19,1.06478e-18,9.85285e-19,5.1057e-19,1.05655e-18,7.81358e-19,9.6303e-19,4.89363e-19,6.17315e-19,6.00045e-19,6.68057e-19,4.95746e-19,6.26311e-19,5.66035e-19
1.718213,6.03578e-19,6.7807e-19,1.10135e-18,1.26653e-18,1.17218e-18,6.07342e-19,1.25691e-18,9.28511e-19,1.14706e-18,5.81798e-19,7.32695e-19,7.11701e-19,7.92199e-19,5.90404e-19,7.43964e-19,6.82225e-19
2.577320,7.15698e-19,8.03503e-19,1.31052e-18,1.50529e-18,1.39435e-18,7.21203e-19,1.4944e-18,1.10209e-18,1.3638e-18,6.91782e-19,8.69542e-19,8.43762e-19,9.38945e-19,7.02353e-19,8.82566e-19,8.2022e-19
3.436426,8.49264e-19,9.53429e-19,1.55586e-18,1.78814e-18,1.65568e-18,8.56512e-19,1.77359e-18,1.30797e-18,1.61881e-18,8.21137e-19,1.03193e-18,1.00202e-18,1.11422e-18,8.34397e-19,1.04699e-18,9.75705e-19
4.295533,1.0105e-18,1.13545e-18,1.84688e-18,2.12267e-18,1.96468e-18,1.01751e-18,2.10638e-18,1.55492e-18,1.92317e-18,9.74788e-19,1.22699e-18,1.19137e-18,1.32625e-18,9.89374e-19,1.24587e-18,1.14832e-18
5.154639,1.20194e-18,1.34816e-18,2.18624e-18,2.51716e-18,2.32856e-18,1.20714e-18,2.49813e-18,1.84699e-18,2.27795e-18,1.15684e-18,1.45863e-18,1.41803e-18,1.57861e-18,1.17285e-18,1.47993e-18,1.34376e-18
6.013746,1.42611e-18,1.59932e-18,2.58646e-18,2.98357e-18,2.76124e-18,1.43085e-18,2.95944e-18,2.18998e-18,2.69743e-18,1.37155e-18,1.73045e-18,1.68414e-18,1.87464e-18,1.39034e-18,1.75688e-18,1.57685e-18
6.872852,1.69506e-18,1.8998e-18,3.07664e-18,3.54644e-18,3.28e-18,1.70101e-18,3.51884e-18,2.6033e-18,3.20706e-18,1.63055e-18,2.05745e-18,2.00035e-18,2.22742e-18,1.65386e-18,2.08858e-18,1.87817e-18
7.731959,2.01309e-18,2.26189e-18,3.66859e-18,4.22181e-18,3.90423e-18,2.02448e-18,4.18793e-18,3.09551e-18,3.82323e-18,1.93883e-18,2.44427e-18,2.37643e-18,2.64503e-18,1.96686e-18,2.48084e-18,2.26298e-18
