Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
0.000000,5.65346e-19,1.07251e-19,4.09229e-19,6.72579e-20,4.34671e-19,3.35236e-19,8.72793e-20,3.5398e-19,3.36082e-19,2.34836e-19,3.1105e-19,1.78403e-19,2.81614e-19,2.96792e-19,2.94907e-19,2.29997e-19
0.859107,6.74269e-19,1.26575e-19,4.85807e-19,7.89778e-20,5.19631e-19,3.99635e-19,1.03617e-19,4.23195e-19,4.01901e-19,2.72848e-19,3.64718e-19,2.15387e-19,3.36163e-19,3.53072e-19,3.48907e-19,2.75256e-19
1.718213,7.98714e-19,1.46891e-19,5.69631e-19,9.11878e-20,6.18592e-19,4.7114e-19,1.21596e-19,5.03569e-19,4.78572e-19,3.08971e-19,4.19534e-19,2.59869e-19,3.98863e-19,4.16212e-19,4.07018e-19,3.27787e-19
2.577320,9.48916e-19,1.74937e-19,6.77318e-19,1.08623e-19,7.34676e-19,5.60109e-19,1.44564e-19,5.97974e-19,5.68312e-19,3.68645e-19,4.9986e-19,3.08303e-19,4.73885e-19,4.94761e-19,4.84439e-19,3.89266e-19
3.436426,1.12933e-18,2.12537e-19,8.14688e-19,1.32752e-19,8.69933e-19,6.69419e-19,1.73776e-19,7.08552e-19,6.72899e-19,4.59649e-19,6.13184e-19,3.59903e-19,5.63006e-19,5.92073e-19,5.85714e-19,4.60711e-19
4.295533,1.33849e-18,2.53868e-19,9.69088e-19,1.59191e-19,1.02924e-18,7.94241e-19,2.06665e-19,8.38478e-19,7.96075e-19,5.56121e-19,7.36231e-19,4.22472e-19,6.66765e-19,7.02932e-19,6.98687e-19,5.44777e-19
5.154639,1.59274e-18,2.98176e-19,1.14626e-18,1.85833e-19,1.22835e-18,9.43704e-19,2.4454e-19,1.00011e-18,9.50186e-19,6.40828e-19,8.58353e-19,5.10187e-19,7.94338e-19,8.33503e-19,8.22755e-19,6.50718e-19
6.013746,1.88622e-18,3.46397e-19,1.34451e-18,2.14918e-19,1.46142e-18,1.11259e-18,2.87e-19,1.18977e-18,1.13029e-18,7.27428e-19,9.88628e-19,6.14657e-19,9.42111e-19,9.82693e-19,9.60099e-19,7.74453e-19
6.872852,2.24348e-18,4.14775e-19,1.60367e-18,2.57599e-19,1.73639e-18,1.32539e-18,3.42301e-19,1.41358e-18,1.34326e-18,8.76229e-19,1.18582e-18,7.2791e-19,1.12047e-18,1.17094e-18,1.14784e-18,9.20169e-19
7.731959,2.67022e-18,5.03591e-19,1.92769e-18,3.14777e-19,2.05606e-18,1.58325e-18,4.1119e-19,1.67518e-18,1.59e-18,1.0929e-18,1.45471e-18,8.49146e-19,1.33099e-18,1.40037e-18,1.38746e-18,1.08873e-18
8.591065,3.1679e-18,6.00485e-19,2.29328e-18,3.76512e-19,2.43643e-18,1.87958e-18,4.89163e-19,1.98505e-18,1.88427e-18,1.31464e-18,1.74142e-18,1.00098e-18,1.57841e-18,1.66421e-18,1.65342e-18,1.28964e-18
9.450172,3.76645e-18,7.02866e-19,2.70733e-18,4.3772e-19,2.90692e-18,2.22979e-18,5.77347e-19,2.36647e-18,2.24842e-18,1.50576e-18,2.02216e-18,1.2098e-18,1.87943e-18,1.96994e-18,1.9412e-18,1.54052e-18
10.309278,4.45618e-18,8.17955e-19,3.1767e-18,5.07277e-19,3.45496e-18,2.62875e-18,6.77726e-19,2.81234e-18,2.67258e-18,1.7163e-18,2.33338e-18,1.45462e-18,2.22707e-18,2.32271e-18,2.26751e-18,1.83111e-18
11.168385,5.31316e-18,9.84423e-19,3.80242e-18,6.11591e-19,4.10791e-18,3.13947e-18,8.11102e-19,3.34544e-18,3.1781e-18,2.08616e-18,2.81765e-18,1.71951e-18,2.65238e-18,2.77461e-18,2.72203e-18,2.1774e-18
12.027491,6.31851e-18,1.19402e-18,4.56684e-18,7.46908e-19,4.86396e-18,3.7478e-18,9.73643e-19,3.96403e-18,3.76208e-18,2.59977e-18,3.45316e-18,2.00639e-18,3.14973e-18,3.31634e-18,3.28955e-18,2.57588e-18
12.886598,7.50525e-18,1.42067e-18,5.43199e-18,8.90299e-19,5.77279e-18,4.45283e-18,1.15838e-18,4.70391e-18,4.46478e-18,3.10807e-18,4.11952e-18,2.37366e-18,3.74016e-18,3.94147e-18,3.91529e-18,3.05605e-18
13.745704,8.91743e-18,1.65867e-18,6.40142e-18,1.03211e-18,6.88759e-18,5.27611e-18,1.36502e-18,5.60496e-18,5.32825e-18,3.54236e-18,4.76786e-18,2.87229e-18,4.45111e-18,4.66172e-18,4.58676e-18,3.64985e-18
14.604811,1.05355e-17,1.93201e-18,7.51261e-18,1.19817e-18,8.17169e-18,6.21543e-18,1.6014e-18,6.65186e-18,6.32366e-18,4.05508e-18,5.51756e-18,3.44335e-18,5.2671e-18,5.4892e-18,5.36086e-18,4.32976e-18
15.463918,1.25924e-17,2.33972e-18,9.02375e-18,1.45397e-18,9.72765e-18,7.44439e-18,1.9242e-18,7.92521e-18,7.52745e-18,4.974e-18,6.70108e-18,4.06674e-18,6.28472e-18,6.58016e-18,6.46791e-18,5.15806e-18
16.323024,1.49668e-17,2.83253e-18,1.08284e-17,1.773e-18,1.15172e-17,8.87953e-18,2.30777e-18,9.39156e-18,8.91223e-18,6.18462e-18,8.20038e-18,4.74452e-18,7.46074e-18,7.86028e-18,7.80466e-18,6.1005e-18
17.182131,1.77887e-17,3.36219e-18,1.28679e-17,2.10547e-18,1.36893e-17,1.05575e-17,2.74406e-18,1.11561e-17,1.05917e-17,7.34842e-18,9.74649e-18,5.63737e-18,8.87087e-18,9.34394e-18,9.27142e-18,7.25077e-18
