Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
0.000000,6.85622e-19,3.04857e-19,5.05966e-19,4.69668e-19,5.32158e-19,3.92561e-19,1.18853e-19,4.86986e-19,4.10892e-19,2.52429e-19,3.77921e-19,1.52955e-19,3.34713e-19,3.52155e-19,3.39028e-19,3.17298e-19
0.859107,8.15789e-19,3.62955e-19,6.02611e-19,5.59154e-19,6.33594e-19,4.6807e-19,1.41514e-19,5.80518e-19,4.88834e-19,3.00048e-19,4.49525e-19,1.83783e-19,3.99226e-19,4.20439e-19,4.04116e-19,3.77965e-19
1.718213,9.66735e-19,4.30547e-19,7.14438e-19,6.63348e-19,7.52195e-19,5.58066e-19,1.68202e-19,6.90369e-19,5.78605e-19,3.54476e-19,5.32385e-19,2.22462e-19,4.75255e-19,5.02516e-19,4.80745e-19,4.49059e-19
2.577320,1.14659e-18,5.1022e-19,8.46426e-19,7.86686e-19,8.91223e-19,6.63286e-19,1.99581e-19,8.1937e-19,6.84925e-19,4.18355e-19,6.30825e-19,2.68279e-19,5.65249e-19,5.99407e-19,5.71181e-19,5.32889e-19
3.436426,1.36083e-18,6.0553e-19,1.00418e-18,9.33513e-19,1.0577e-18,7.87147e-19,2.36844e-19,9.73202e-19,8.12526e-19,4.9624e-19,7.48275e-19,3.19154e-19,6.71239e-19,7.11981e-19,6.78327e-19,6.32324e-19
4.295533,1.61803e-18,7.21169e-19,1.19607e-18,1.11083e-18,1.25885e-18,9.35395e-19,2.81761e-19,1.15682e-18,9.68152e-19,5.92506e-19,8.91146e-19,3.75134e-19,7.96669e-19,8.43338e-19,8.05791e-19,7.52045e-19
5.154639,1.92666e-18,8.57401e-19,1.42325e-18,1.32079e-18,1.49716e-18,1.10731e-18,3.34381e-19,1.37218e-18,1.15392e-18,7.08075e-19,1.06138e-18,4.3691e-19,9.44365e-19,9.95373e-19,9.55767e-19,8.93069e-19
6.013746,2.28955e-18,1.01784e-18,1.68987e-18,1.5681e-18,1.77695e-18,1.31067e-18,3.96775e-19,1.62513e-18,1.37285e-18,8.4283e-19,1.26191e-18,5.11329e-19,1.11786e-18,1.17649e-18,1.13251e-18,1.05926e-18
6.872852,2.71961e-18,1.20944e-18,2.00868e-18,1.86352e-18,2.1114e-18,1.55862e-18,4.71691e-19,1.93396e-18,1.63128e-18,1.00115e-18,1.49934e-18,6.10017e-19,1.32971e-18,1.39999e-18,1.3462e-18,1.25928e-18
7.731959,3.2271e-18,1.436e-18,2.38478e-18,2.21294e-18,2.50912e-18,1.85835e-18,5.60649e-19,2.30109e-18,1.93221e-18,1.18469e-18,1.77766e-18,7.36982e-19,1.58404e-18,1.67245e-18,1.60306e-18,1.49739e-18
8.591065,3.82802e-18,1.70328e-18,2.82656e-18,2.62631e-18,2.97555e-18,2.21233e-18,6.66129e-19,2.73657e-18,2.2868e-18,1.39874e-18,2.10575e-18,8.91963e-19,1.88532e-18,1.9977e-18,1.90583e-18,1.77897e-18
9.450172,4.53628e-18,2.0172e-18,3.34437e-18,3.10925e-18,3.5235e-18,2.62304e-18,7.8919e-19,3.24588e-18,2.70734e-18,1.65256e-18,2.49334e-18,1.06433e-18,2.23703e-18,2.37316e-18,2.26006e-18,2.10654e-18
10.309278,5.4002e-18,2.40427e-18,3.98828e-18,3.70658e-18,4.1995e-18,3.1222e-18,9.39997e-19,3.86215e-18,3.22786e-18,1.97369e-18,2.97267e-18,1.25886e-18,2.66182e-18,2.81933e-18,2.68941e-18,2.51044e-18
11.168385,6.42903e-18,2.86207e-18,4.75166e-18,4.40874e-18,4.9983e-18,3.70229e-18,1.11704e-18,4.58362e-18,3.84959e-18,2.35988e-18,3.54266e-18,1.46822e-18,3.15687e-18,3.33117e-18,3.19371e-18,2.98333e-18
12.027491,7.65032e-18,3.40213e-18,5.64831e-18,5.23937e-18,5.93746e-18,4.38229e-18,1.32631e-18,5.43492e-18,4.58554e-18,2.8156e-18,4.21666e-18,1.71461e-18,3.73979e-18,3.93529e-18,3.78524e-18,3.54005e-18
12.886598,9.08443e-18,4.03823e-18,6.70695e-18,6.22244e-18,7.05251e-18,5.2032e-18,1.5748e-18,6.4529e-18,5.45016e-18,3.34525e-18,5.00844e-18,2.03031e-18,4.43878e-18,4.67327e-18,4.4958e-18,4.20561e-18
13.745704,1.07844e-17,4.80142e-18,7.97167e-18,7.39674e-18,8.3855e-18,6.2019e-18,1.87333e-18,7.69416e-18,6.46578e-18,3.9656e-18,5.9466e-18,2.44846e-18,5.29024e-18,5.57876e-18,5.3565e-18,5.0032e-18
14.604811,1.27912e-17,5.69836e-18,9.4537e-18,8.77977e-18,9.95414e-18,7.39375e-18,2.22755e-18,9.14654e-18,7.65587e-18,4.68566e-18,7.04466e-18,2.96727e-18,6.30289e-18,6.6699e-18,6.37573e-18,5.94902e-18
15.463918,1.51997e-17,6.75493e-18,1.12059e-17,1.0412e-17,1.17997e-17,8.78418e-18,2.64275e-18,1.08696e-17,9.07012e-18,5.53912e-18,8.35252e-18,3.56128e-18,7.49309e-18,7.94801e-18,7.56846e-18,7.05746e-18
16.323024,1.80497e-17,8.03733e-18,1.33307e-17,1.23905e-17,1.40419e-17,1.04426e-17,3.14288e-18,1.29221e-17,1.07921e-17,6.59402e-18,9.93504e-18,4.22565e-18,8.90732e-18,9.44302e-18,9.00222e-18,8.39235e-18
17.182131,2.14908e-17,9.56754e-18,1.58847e-17,1.47447e-17,1.67171e-17,1.24029e-17,3.73894e-18,1.53619e-17,1.28662e-17,7.8862e-18,1.18379e-17,4.94747e-18,1.05725e-17,1.11716e-17,1.07001e-17,9.9879e-18
18.041237,2.55896e-17,1.13823e-17,1.89017e-17,1.75345e-17,1.98877e-17,1.46888e-17,4.4407e-18,1.82149e-17,1.53441e-17,9.41902e-18,1.41023e-17,5.76751e-18,1.25381e-17,1.31973e-17,1.26886e-17,1.18596e-17
18.900344,3.03945e-17,1.35067e-17,2.24228e-17,2.08138e-17,2.35756e-17,1.73957e-17,5.26732e-18,2.16057e-17,1.82189e-17,1.11928e-17,1.67484e-17,6.78345e-18,1.48418e-17,1.56187e-17,1.50357e-17,1.40686e-17
19.759450,3.61424e-17,1.60756e-17,2.66914e-17,2.47806e-17,2.80839e-17,2.07514e-17,6.27491e-18,2.57394e-17,2.16706e-17,1.33074e-17,1.9928e-17,8.15628e-18,1.77115e-17,1.86588e-17,1.79348e-17,1.67609e-17
20.618557,4.28971e-17,1.90889e-17,3.16957e-17,2.94296e-17,3.33565e-17,2.47526e-17,7.46257e-18,3.06505e-17,2.56815e-17,1.57334e-17,2.36189e-17,9.88064e-18,2.11026e-17,2.2313e-17,2.13687e-17,1.993e-17
