Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
0.000000,3.26406e-18,3.39974e-18,5.66499e-18,3.01979e-18,5.1092e-18,3.38239e-18,3.60804e-18,8.92678e-18,8.7168e-18,2.6276e-18,5.40996e-18,5.10882e-18,3.2184e-18,3.00268e-18,2.72037e-18,2.69764e-18
1.956947,3.9739e-19,4.16456e-19,3.88514e-19,4.36749e-19,3.90887e-19,6.01834e-19,4.03005e-19,4.01382e-19,4.68242e-19,4.43793e-19,5.54582e-19,6.46246e-19,4.94639e-19,5.41598e-19,4.34627e-19,5.09977e-19
3.913894,5.82908e-19,6.12885e-19,5.73975e-19,6.36338e-19,5.75476e-19,9.59777e-19,5.88188e-19,5.87806e-19,6.97521e-19,6.54927e-19,8.58585e-19,9.41242e-19,7.25838e-19,7.95884e-19,6.34285e-19,7.51327e-19
5.870841,8.89889e-19,9.43812e-19,8.9934e-19,9.82018e-19,8.77711e-19,1.67541e-18,9.03067e-19,9.03147e-19,1.13989e-18,1.01553e-18,1.44159e-18,1.39831e-18,1.08601e-18,1.1952e-18,9.39142e-19,1.12919e-18
7.827789,1.36044e-18,1.4575e-18,1.40819e-18,1.5275e-18,1.34692e-18,3.51786e-18,1.39976e-18,1.4036e-18,2.1128e-18,1.56308e-18,2.78755e-18,2.40746e-18,1.79509e-18,1.96748e-18,1.46473e-18,1.78759e-18
9.784736,2.04223e-18,2.19382e-18,2.12093e-18,2.31356e-18,2.03913e-18,5.78145e-17,2.10254e-18,2.07055e-18,2.57291e-18,2.36407e-18,1.15967e-17,4.12571e-18,2.86747e-18,2.93381e-18,2.35102e-18,3.69695e-18
11.741683,3.05219e-18,3.29098e-18,3.14587e-18,3.42206e-18,3.00317e-18,1.7606e-16,3.10288e-18,3.05679e-18,3.9332e-18,3.54554e-18,1.37337e-16,6.54509e-18,7.86635e-18,4.35135e-18,3.81691e-18,1.22346e-17
13.698630,4.49441e-18,4.86369e-18,4.63776e-18,5.08355e-18,4.43975e-18,1.17354e-17,4.5309e-18,4.53127e-18,7.43077e-18,5.25784e-18,1.00935e-17,7.42658e-18,5.84013e-18,6.11955e-18,4.76705e-18,6.47709e-18
15.655577,6.66187e-18,7.2128e-18,6.80403e-18,7.53851e-18,6.5713e-18,1.18586e-17,6.70269e-18,6.74578e-18,1.05956e-17,7.85249e-18,1.09261e-17,1.07703e-17,8.70845e-18,9.15034e-18,7.22532e-18,8.67672e-18
17.612524,9.89349e-18,1.07295e-17,9.99662e-18,1.1197e-17,9.7545e-18,1.48333e-17,9.92396e-18,9.91933e-18,1.3099e-17,1.17906e-17,1.39799e-17,1.62143e-17,1.32715e-17,1.38942e-17,1.08045e-17,1.26378e-17
19.569472,1.47014e-17,1.59381e-17,1.47453e-17,1.66388e-17,1.44762e-17,2.01392e-17,1.47125e-17,1.4659e-17,1.93293e-17,1.77086e-17,1.94133e-17,2.48805e-17,1.95934e-17,2.13696e-17,1.65731e-17,1.88975e-17
21.526419,2.1866e-17,2.36997e-17,2.1853e-17,2.48041e-17,2.15261e-17,2.87238e-17,2.1834e-17,2.17959e-17,3.74339e-17,2.66308e-17,2.79174e-17,3.85122e-17,3.09884e-17,3.33106e-17,2.53595e-17,2.87693e-17
23.483366,3.25526e-17,3.5255e-17,3.24338e-17,3.69516e-17,3.20231e-17,4.16048e-17,3.23995e-17,3.24779e-17,4.4232e-17,4.01321e-17,4.12593e-17,6.00469e-17,4.6651e-17,5.21802e-17,3.93075e-17,4.43804e-17
25.440313,4.84772e-17,5.25261e-17,4.82407e-17,5.51011e-17,4.76554e-17,6.21017e-17,4.82307e-17,4.82042e-17,6.47531e-17,6.0474e-17,6.22593e-17,9.39928e-17,7.39851e-17,8.12691e-17,6.08809e-17,6.90193e-17
27.397260,7.22292e-17,7.82664e-17,7.17797e-17,8.22232e-17,7.09327e-17,9.11055e-17,7.17189e-17,7.14937e-17,9.89711e-17,9.10688e-17,9.37335e-17,1.45715e-16,1.0826e-16,1.24697e-16,9.27254e-17,1.07317e-16
29.354207,1.07651e-16,1.16764e-16,1.06926e-16,1.22591e-16,1.05654e-16,1.36884e-16,1.06825e-16,1.06449e-16,2.10866e-16,1.37257e-16,1.46485e-16,2.23206e-16,1.7503e-16,1.89216e-16,1.43929e-16,1.66306e-16
31.311155,1.60554e-16,1.74246e-16,1.59291e-16,1.83176e-16,1.57428e-16,2.00286e-16,1.58973e-16,1.58755e-16,2.24175e-16,2.06851e-16,2.24137e-16,3.38344e-16,2.64517e-16,2.84803e-16,2.16749e-16,2.56281e-16
33.268102,2.39476e-16,2.60212e-16,2.37285e-16,2.73296e-16,2.34642e-16,3.00491e-16,2.36724e-16,2.36404e-16,3.39783e-16,3.11347e-16,3.51135e-16,5.08321e-16,4.02402e-16,4.28091e-16,3.3288e-16,3.94406e-16
35.225049,3.57187e-16,3.88485e-16,3.53564e-16,4.08569e-16,3.49778e-16,4.40269e-16,3.52583e-16,3.51464e-16,5.64048e-16,4.68436e-16,5.32578e-16,7.61369e-16,6.02711e-16,6.43725e-16,4.89553e-16,6.0585e-16
