Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
0.000000,3.28074e-18,2.60252e-18,4.76291e-18,9.49006e-18,8.54744e-19,2.33637e-18,3.93197e-18,6.49262e-18,7.33337e-18,1.54059e-18,5.9392e-18,4.11239e-18,2.84251e-18,3.0879e-18,1.78216e-18,1.73102e-18
1.956947,3.71532e-19,3.64029e-19,3.7217e-19,3.81503e-19,3.70143e-19,4.66147e-19,3.73622e-19,3.69968e-19,4.52686e-19,4.41293e-19,5.47178e-19,6.079e-19,4.96804e-19,5.41538e-19,4.22778e-19,5.00851e-19
3.913894,5.40247e-19,5.29129e-19,5.44795e-19,5.46903e-19,5.38691e-19,7.24018e-19,5.43421e-19,5.36915e-19,6.71907e-19,6.50817e-19,8.46705e-19,8.88337e-19,7.28568e-19,7.96294e-19,6.16736e-19,7.37131e-19
5.870841,8.11359e-19,7.94223e-19,8.35999e-19,8.19707e-19,8.11029e-19,1.21595e-18,8.2012e-19,8.0882e-19,1.08538e-18,1.00727e-18,1.41822e-18,1.35083e-18,1.08987e-18,1.19942e-18,9.1265e-19,1.10539e-18
7.827789,1.22691e-18,1.20186e-18,1.29314e-18,1.24618e-18,1.23232e-18,2.38537e-18,1.25201e-18,1.23221e-18,1.98144e-18,1.5575e-18,2.73576e-18,2.33921e-18,1.80234e-18,1.97755e-18,1.42757e-18,1.74121e-18
9.784736,1.8357e-18,1.79486e-18,1.94563e-18,1.87758e-18,1.86384e-18,5.82788e-17,1.89235e-18,1.82298e-18,2.46066e-18,2.37281e-18,9.79097e-18,4.08003e-18,2.92168e-18,2.95448e-18,2.28727e-18,3.56881e-18
11.741683,2.75385e-18,2.69884e-18,2.89527e-18,2.76751e-18,2.74424e-18,2.27968e-16,2.79883e-18,2.7046e-18,3.76618e-18,3.55558e-18,1.2112e-16,6.46953e-18,7.84874e-18,4.60749e-18,3.77e-18,1.24106e-17
13.698630,4.0458e-18,3.98574e-18,4.29064e-18,4.12175e-18,4.04736e-18,8.06982e-18,4.09763e-18,4.01447e-18,7.08522e-18,5.24846e-18,9.93293e-18,7.08969e-18,5.86411e-18,6.15492e-18,4.63173e-18,6.27347e-18
15.655577,5.99979e-18,5.90879e-18,6.31769e-18,6.12298e-18,6.01924e-18,8.78492e-18,6.05495e-18,5.97444e-18,1.0127e-17,7.82884e-18,1.08074e-17,1.03274e-17,8.78235e-18,9.19665e-18,7.01735e-18,8.49717e-18
17.612524,8.92323e-18,8.79684e-18,9.30008e-18,9.101e-18,8.93227e-18,1.13038e-17,8.98236e-18,8.81794e-18,1.25316e-17,1.17486e-17,1.38538e-17,1.55661e-17,1.34041e-17,1.39804e-17,1.04899e-17,1.24277e-17
