Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
374.570447,4.8654e-07,1.05062e-07,2.98843e-07,6.97078e-08,3.51348e-07,2.40602e-07,8.33222e-08,2.97048e-07,2.96364e-07,1.99648e-07,2.76689e-07,1.84723e-07,2.42208e-07,2.65462e-07,2.618e-07,2.08452e-07
375.429553,4.85744e-07,1.04924e-07,2.97051e-07,7.03677e-08,3.51319e-07,2.39878e-07,8.42562e-08,2.97811e-07,2.94123e-07,1.98116e-07,2.75714e-07,1.83792e-07,2.39598e-07,2.63434e-07,2.59038e-07,2.0708e-07
376.288660,4.82781e-07,1.02708e-07,2.95166e-07,6.704e-08,3.49881e-07,2.3938e-07,8.23553e-08,2.97104e-07,2.8854e-07,1.96518e-07,2.74319e-07,1.81796e-07,2.35299e-07,2.61374e-07,2.56366e-07,2.03032e-07
377.147766,4.79413e-07,9.98089e-08,2.93683e-07,6.12397e-08,3.48197e-07,2.39469e-07,7.87681e-08,2.96322e-07,2.81555e-07,1.9537e-07,2.72336e-07,1.79608e-07,2.30765e-07,2.59607e-07,2.54004e-07,1.97664e-07
378.006873,4.78512e-07,9.78813e-08,2.93158e-07,5.56903e-08,3.48323e-07,2.40475e-07,7.55372e-08,2.97009e-07,2.76499e-07,1.94753e-07,2.70405e-07,1.78373e-07,2.27443e-07,2.58615e-07,2.52001e-07,1.93486e-07
378.865979,4.81386e-07,9.75729e-08,2.93725e-07,5.31222e-08,3.51081e-07,2.4236e-07,7.43497e-08,3.00198e-07,2.75225e-07,1.94928e-07,2.69505e-07,1.7866e-07,2.26242e-07,2.58849e-07,2.5102e-07,1.92098e-07
379.725086,4.86366e-07,9.86007e-08,2.95402e-07,5.37361e-08,3.55975e-07,2.45005e-07,7.51605e-08,3.04973e-07,2.76948e-07,1.95737e-07,2.70141e-07,1.80113e-07,2.26981e-07,2.59934e-07,2.50437e-07,1.9324e-07
380.584192,4.93347e-07,1.00148e-07,2.98026e-07,5.52832e-08,3.61777e-07,2.48111e-07,7.65396e-08,3.10126e-07,2.79672e-07,1.97051e-07,2.71731e-07,1.81941e-07,2.28407e-07,2.61522e-07,2.50538e-07,1.95196e-07
381.443299,5.00659e-07,1.01579e-07,3.00887e-07,5.55243e-08,3.67358e-07,2.51537e-07,7.70295e-08,3.14524e-07,2.82039e-07,1.98567e-07,2.73606e-07,1.83477e-07,2.301e-07,2.63936e-07,2.50996e-07,1.96731e-07
382.302405,5.08379e-07,1.02615e-07,3.0432e-07,5.43108e-08,3.72427e-07,2.55202e-07,7.65691e-08,3.18814e-07,2.83773e-07,2.00134e-07,2.74597e-07,1.84872e-07,2.31924e-07,2.66207e-07,2.51778e-07,1.97404e-07
