Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
0.000000,2.20959e-18,1.12761e-17,4.31332e-18,2.17873e-18,1.90537e-18,3.20685e-18,5.71726e-18,5.69821e-18,9.23932e-19,3.33126e-18,1.4e-18,1.4775e-18,1.14432e-18,2.70107e-18,1.49434e-18,1.86007e-18
1.953100,1.08841e-17,2.1083e-17,1.37441e-17,1.1098e-17,1.00426e-17,1.58164e-17,2.1387e-17,1.41854e-17,1.05901e-17,1.93279e-17,1.96236e-17,1.35584e-17,1.29513e-17,2.23509e-17,2.20617e-17,1.813e-17
3.906200,3.07815e-17,3.96344e-17,3.86585e-17,2.85384e-17,2.97148e-17,4.23908e-17,3.49651e-17,2.88252e-17,3.87695e-17,3.49147e-17,3.49866e-17,3.04275e-17,3.32476e-17,3.74986e-17,3.66347e-17,3.66219e-17
5.859400,5.69539e-17,6.09981e-17,6.70247e-17,5.03135e-17,5.56327e-17,6.79662e-17,5.36987e-17,4.62536e-17,7.43255e-17,5.77487e-17,5.55081e-17,5.30172e-17,6.04655e-17,5.74506e-17,5.70942e-17,6.18153e-17
7.812500,7.69149e-17,8.83917e-17,9.20039e-17,7.05484e-17,7.49418e-17,9.42851e-17,8.08597e-17,6.54139e-17,1.16485e-16,8.65465e-17,8.31939e-17,8.44442e-17,9.65067e-17,8.83513e-17,8.49484e-17,9.33026e-17
9.765600,7.1142e-17,1.22503e-16,1.04167e-16,8.12507e-17,7.54763e-17,1.04836e-16,1.24242e-16,9.89805e-17,1.55578e-16,1.28618e-16,1.23436e-16,1.26847e-16,1.50004e-16,1.32361e-16,1.26553e-16,1.35072e-16
11.718800,1.37575e-16,1.91236e-16,1.79195e-16,1.26063e-16,1.51778e-16,1.96077e-16,1.83592e-16,1.47436e-16,2.26608e-16,1.89254e-16,1.80258e-16,1.82235e-16,2.29443e-16,1.96779e-16,1.89126e-16,2.04377e-16
13.671900,2.97839e-16,3.09332e-16,3.20249e-16,2.34456e-16,2.9631e-16,3.35451e-16,2.3303e-16,1.99477e-16,3.75915e-16,2.98023e-16,2.60391e-16,2.69367e-16,3.35038e-16,2.8877e-16,2.80754e-16,2.87549e-16
15.625000,4.09467e-16,5.46131e-16,4.61264e-16,3.20317e-16,3.7898e-16,4.71891e-16,4.49272e-16,3.45165e-16,5.02447e-16,4.38869e-16,3.93391e-16,3.88785e-16,4.69653e-16,3.89408e-16,3.99074e-16,3.95771e-16
17.578100,2.91211e-16,2.6945e-16,3.82408e-16,3.74888e-16,3.46228e-16,4.42479e-16,7.81736e-16,6.70167e-16,6.39223e-16,5.71613e-16,5.78915e-16,5.3747e-16,5.99605e-16,6.07817e-16,5.95919e-16,6.07593e-16
19.531200,1.10982e-15,5.00862e-16,1.13795e-15,9.66461e-16,1.16937e-15,1.19689e-15,9.67469e-16,1.11299e-15,8.56143e-16,8.62101e-16,8.9575e-16,8.80948e-16,8.80603e-16,9.59129e-16,9.29856e-16,9.37623e-16
