Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
0.000000,3.93436e-19,3.71329e-19,7.90014e-19,5.19194e-19,7.62982e-19,3.84549e-19,7.70764e-19,6.03714e-19,7.43361e-19,3.73698e-19,4.68827e-19,5.40003e-19,5.27132e-19,4.11417e-19,4.99095e-19,5.39442e-19
0.859107,4.68484e-19,4.42115e-19,9.4202e-19,6.19437e-19,9.11268e-19,4.58498e-19,9.20742e-19,7.20365e-19,8.87275e-19,4.4567e-19,5.58233e-19,6.42525e-19,6.28309e-19,4.91712e-19,5.94774e-19,6.45784e-19
1.718213,5.56351e-19,5.2633e-19,1.1236e-18,7.39278e-19,1.09046e-18,5.45357e-19,1.09844e-18,8.58516e-19,1.05942e-18,5.30626e-19,6.63196e-19,7.60466e-19,7.47165e-19,5.89894e-19,7.07273e-19,7.79786e-19
2.577320,6.60013e-19,6.2736e-19,1.33915e-18,8.80612e-19,1.30093e-18,6.48856e-19,1.30873e-18,1.02154e-18,1.26244e-18,6.30853e-19,7.87305e-19,9.00989e-19,8.88158e-19,7.04944e-19,8.40754e-19,9.35172e-19
3.436426,7.8304e-19,7.4503e-19,1.59071e-18,1.04633e-18,1.546e-18,7.70657e-19,1.55437e-18,1.2135e-18,1.49916e-18,7.49403e-19,9.33988e-19,1.06873e-18,1.05399e-18,8.37994e-19,9.98148e-19,1.11082e-18
4.295533,9.3202e-19,8.84078e-19,1.88485e-18,1.24024e-18,1.83022e-18,9.14284e-19,1.8433e-18,1.43945e-18,1.77886e-18,8.90095e-19,1.11131e-18,1.27377e-18,1.2524e-18,9.91771e-19,1.18583e-18,1.31349e-18
5.154639,1.10753e-18,1.04568e-18,2.22813e-18,1.46592e-18,2.15779e-18,1.08418e-18,2.17849e-18,1.7038e-18,2.10116e-18,1.05388e-18,1.31927e-18,1.51664e-18,1.4855e-18,1.16528e-18,1.40597e-18,1.53501e-18
6.013746,1.31312e-18,1.24032e-18,2.63709e-18,1.73362e-18,2.55184e-18,1.28442e-18,2.57718e-18,2.01655e-18,2.48318e-18,1.24901e-18,1.56521e-18,1.80244e-18,1.76036e-18,1.37379e-18,1.66655e-18,1.80395e-18
6.872852,1.56127e-18,1.47369e-18,3.13728e-18,2.06349e-18,3.03192e-18,1.52793e-18,3.06551e-18,2.39742e-18,2.95351e-18,1.48475e-18,1.86065e-18,2.14178e-18,2.09265e-18,1.63535e-18,1.98114e-18,2.14634e-18
7.731959,1.85538e-18,1.7535e-18,3.74022e-18,2.46297e-18,3.62657e-18,1.81784e-18,3.65685e-18,2.85983e-18,3.52671e-18,1.76845e-18,2.21178e-18,2.53913e-18,2.49111e-18,1.9599e-18,2.35814e-18,2.58185e-18
8.591065,2.20281e-18,2.09246e-18,4.46439e-18,2.93668e-18,4.33784e-18,2.16479e-18,4.36376e-18,3.4071e-18,4.20892e-18,2.10584e-18,2.62634e-18,3.00833e-18,2.96378e-18,2.34891e-18,2.80413e-18,3.1185e-18
9.450172,2.61163e-18,2.48105e-18,5.30044e-18,3.4882e-18,5.15258e-18,2.56772e-18,5.18108e-18,4.04209e-18,4.99935e-18,2.49753e-18,3.11302e-18,3.56124e-18,3.5122e-18,2.79332e-18,3.3261e-18,3.70908e-18
10.309278,3.10896e-18,2.95629e-18,6.29828e-18,4.14422e-18,6.11587e-18,3.05518e-18,6.15977e-18,4.80755e-18,5.94425e-18,2.97138e-18,3.70732e-18,4.24824e-18,4.18091e-18,3.3158e-18,3.95817e-18,4.39717e-18
11.168385,3.69686e-18,3.49568e-18,7.45004e-18,4.90564e-18,7.22522e-18,3.62353e-18,7.28533e-18,5.69775e-18,7.028e-18,3.52273e-18,4.40574e-18,5.05806e-18,4.96206e-18,3.90778e-18,4.69636e-18,5.15681e-18
12.027491,4.38937e-18,4.14846e-18,8.81892e-18,5.8012e-18,8.52465e-18,4.29497e-18,8.61808e-18,6.74155e-18,8.30571e-18,4.1763e-18,5.22824e-18,6.02414e-18,5.88476e-18,4.59911e-18,5.5745e-18,6.04076e-18
12.886598,5.2113e-18,4.92003e-18,1.04677e-17,6.8819e-18,1.01177e-17,5.10008e-18,1.02318e-17,7.99999e-18,9.85133e-18,4.95507e-18,6.21191e-18,7.15377e-18,6.98502e-18,5.45558e-18,6.61628e-18,7.16199e-18
13.745704,6.19954e-18,5.86049e-18,1.24852e-17,8.21488e-18,1.20831e-17,6.07487e-18,1.22004e-17,9.54436e-18,1.17688e-17,5.90517e-18,7.39045e-18,8.50226e-18,8.32023e-18,6.53126e-18,7.87892e-18,8.58884e-18
14.604811,7.36317e-18,6.99628e-18,1.49017e-17,9.80983e-18,1.44777e-17,7.22976e-18,1.45702e-17,1.13858e-17,1.40546e-17,7.04046e-18,8.78061e-18,1.00706e-17,9.90057e-18,7.83786e-18,9.38107e-18,1.03839e-17
15.463918,8.74091e-18,8.29966e-18,1.77394e-17,1.16826e-17,1.72539e-17,8.60193e-18,1.73433e-17,1.35402e-17,1.6742e-17,8.36601e-18,1.04247e-17,1.19392e-17,1.17669e-17,9.35433e-18,1.11435e-17,1.24059e-17
16.323024,1.03911e-17,9.89335e-18,2.1073e-17,1.38911e-17,2.04884e-17,1.0216e-17,2.06044e-17,1.60941e-17,1.98919e-17,9.94284e-18,1.2401e-17,1.41989e-17,1.39827e-17,1.11135e-17,1.32515e-17,1.47074e-17
17.182131,1.23627e-17,1.17167e-17,2.49629e-17,1.64394e-17,2.42483e-17,1.21418e-17,2.44122e-17,1.90879e-17,2.35468e-17,1.18042e-17,1.474e-17,1.69261e-17,1.66119e-17,1.31257e-17,1.57294e-17,1.73895e-17
