Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
0.000000,9.97531e-08,2.17764e-07,1.16087e-07,1.02539e-07,1.60661e-07,1.9308e-07,1.35296e-07,1.662e-07,1.11548e-07,1.14346e-07,7.46593e-08,7.95344e-08,1.20745e-07,1.4706e-07,7.67913e-08,9.43806e-08
1.953125,6.99698e-07,7.84348e-07,8.95456e-07,5.66345e-07,6.36593e-07,9.65419e-07,8.68483e-07,5.1847e-07,6.18155e-07,6.08732e-07,6.74725e-07,4.16303e-07,5.82548e-07,5.79713e-07,6.43857e-07,3.93495e-07
3.906250,1.00007e-06,1.0875e-06,1.27837e-06,7.84836e-07,8.84865e-07,1.35394e-06,1.23765e-06,7.04579e-07,9.02288e-07,9.06799e-07,1.00806e-06,5.67827e-07,8.55669e-07,8.54562e-07,9.66474e-07,5.36431e-07
5.859375,8.92897e-07,1.01857e-06,1.14482e-06,7.55286e-07,8.39324e-07,1.30879e-06,1.12093e-06,6.6873e-07,8.21944e-07,8.17721e-07,8.8979e-07,5.33929e-07,7.79612e-07,7.87204e-07,8.51199e-07,5.15e-07
7.812500,2.28479e-06,2.30689e-06,2.59296e-06,1.7077e-06,1.94854e-06,2.71062e-06,2.52896e-06,1.50103e-06,1.84608e-06,1.84091e-06,1.99736e-06,2.00806e-06,1.78316e-06,1.72813e-06,1.86201e-06,1.48481e-06
9.765625,3.35018e-06,3.72842e-06,3.98398e-06,3.07773e-06,3.29655e-06,4.3262e-06,3.98019e-06,2.90812e-06,3.12897e-06,3.1297e-06,3.31403e-06,2.67327e-06,3.00002e-06,3.06827e-06,3.17644e-06,2.5819e-06
11.718750,3.81287e-06,4.28309e-06,4.66455e-06,3.43148e-06,3.6354e-06,5.0866e-06,4.59227e-06,3.14609e-06,3.53223e-06,3.52734e-06,3.76684e-06,2.71623e-06,3.36233e-06,3.42617e-06,3.63602e-06,2.64377e-06
13.671875,3.73457e-06,4.18579e-06,4.57252e-06,3.50348e-06,3.6127e-06,4.97944e-06,4.49102e-06,3.26223e-06,3.50569e-06,3.51388e-06,3.73708e-06,2.84216e-06,3.35554e-06,3.42932e-06,3.62505e-06,2.72954e-06
15.625000,3.20866e-06,3.45746e-06,3.71597e-06,2.97435e-06,3.09042e-06,3.94055e-06,3.61312e-06,2.87513e-06,2.98655e-06,2.98563e-06,3.09784e-06,2.81696e-06,2.79484e-06,2.90109e-06,2.97778e-06,2.7422e-06
17.578125,1.46643e-06,1.63222e-06,1.83526e-06,1.16931e-06,1.31057e-06,1.94393e-06,1.8123e-06,1.02247e-06,1.33744e-06,1.34951e-06,1.45817e-06,8.54441e-07,1.25845e-06,1.30639e-06,1.40473e-06,7.99607e-07
19.531250,6.4143e-07,7.43278e-07,8.39813e-07,6.45798e-07,6.24486e-07,9.87756e-07,8.14059e-07,5.77822e-07,6.53957e-07,6.59091e-07,7.02114e-07,4.6742e-07,6.39556e-07,6.7519e-07,6.97319e-07,4.59668e-07
21.484376,8.93272e-07,1.0575e-06,1.19823e-06,8.38537e-07,8.23551e-07,1.32971e-06,1.15323e-06,7.65574e-07,1.07126e-06,1.1005e-06,1.14467e-06,6.64229e-07,1.0637e-06,1.13454e-06,1.15313e-06,6.49657e-07
23.437501,8.35909e-07,9.90741e-07,1.15308e-06,8.78628e-07,8.13113e-07,1.32506e-06,1.06553e-06,7.90486e-07,1.05424e-06,1.11459e-06,1.12065e-06,7.19395e-07,1.05374e-06,1.17972e-06,1.13218e-06,6.99491e-07
25.390626,6.68995e-07,7.95464e-07,9.64678e-07,7.7283e-07,6.84787e-07,1.14518e-06,8.59325e-07,6.79342e-07,9.96933e-07,1.06043e-06,9.8878e-07,6.54152e-07,1.02613e-06,1.15205e-06,9.87726e-07,6.32937e-07
27.343751,7.76036e-07,9.13711e-07,1.04281e-06,7.17701e-07,7.30355e-07,1.18029e-06,9.83339e-07,6.47587e-07,9.56462e-07,9.72167e-07,1.00806e-06,5.98681e-07,9.47857e-07,1.00225e-06,1.00051e-06,5.8743e-07
29.296876,5.78234e-07,7.025e-07,7.75753e-07,5.68885e-07,5.68109e-07,9.23752e-07,7.56241e-07,5.1624e-07,6.55882e-07,6.59072e-07,7.07521e-07,4.1264e-07,6.43214e-07,6.71533e-07,6.98872e-07,4.12512e-07
31.250001,4.43728e-07,5.31532e-07,5.86833e-07,4.86867e-07,4.7067e-07,7.66036e-07,5.72037e-07,4.3532e-07,3.97205e-07,3.89165e-07,4.32468e-07,3.00266e-07,3.74726e-07,3.91335e-07,4.12596e-07,3.0625e-07
33.203126,1.65923e-06,1.11379e-06,1.3356e-06,7.76755e-07,8.87906e-07,1.33735e-06,1.28712e-06,6.78724e-07,1.73171e-06,1.79132e-06,1.60855e-06,8.1735e-07,1.50743e-06,1.27883e-06,1.68431e-06,7.38175e-07
35.156251,2.44821e-06,2.31072e-06,2.55981e-06,1.46669e-06,1.86526e-06,2.02741e-06,2.51528e-06,1.11196e-06,2.25416e-06,2.17554e-06,2.29278e-06,2.01833e-06,2.25915e-06,2.20641e-06,2.22266e-06,1.47716e-06
37.109376,2.30705e-06,2.16023e-06,2.3805e-06,1.34082e-06,1.6609e-06,2.08322e-06,2.33804e-06,1.11592e-06,2.06909e-06,1.99706e-06,2.17119e-06,1.92355e-06,1.96559e-06,2.05379e-06,2.00081e-06,1.38243e-06
39.062501,2.2069e-06,1.53959e-06,2.08184e-06,9.49378e-07,1.07696e-06,1.58451e-06,1.828e-06,8.3332e-07,2.07019e-06,2.04243e-06,2.18367e-06,1.71751e-06,1.94539e-06,1.93727e-06,2.08517e-06,1.05561e-06
41.015626,9.32647e-07,7.30617e-07,8.02447e-07,5.51045e-07,5.97325e-07,9.50002e-07,8.10697e-07,5.02333e-07,1.39657e-06,1.32416e-06,8.09019e-07,5.10919e-07,1.42637e-06,6.99416e-07,1.36353e-06,6.24956e-07
42.968751,2.49062e-07,3.71091e-07,3.71056e-07,3.25177e-07,3.39626e-07,6.07668e-07,3.75288e-07,3.07824e-07,2.07589e-07,1.96178e-07,2.329e-07,1.58108e-07,1.81385e-07,2.04559e-07,2.07434e-07,1.79183e-07
44.921876,2.25373e-07,3.68937e-07,3.3653e-07,3.38202e-07,3.50564e-07,5.84767e-07,3.64751e-07,3.25007e-07,1.84685e-07,1.92921e-07,2.25517e-07,1.33693e-07,1.67361e-07,2.06956e-07,1.94311e-07,1.62245e-07
46.875001,3.45876e-07,5.11136e-07,4.29619e-07,4.39394e-07,4.89709e-07,6.79335e-07,5.1203e-07,4.45538e-07,2.91387e-07,3.13442e-07,3.49763e-07,1.80522e-07,2.71836e-07,3.06616e-07,3.13522e-07,1.94031e-07
48.828126,4.84135e-07,6.64449e-07,5.01991e-07,5.11615e-07,6.33801e-07,7.70401e-07,6.48259e-07,5.53147e-07,3.812e-07,3.93504e-07,4.40108e-07,2.17494e-07,3.573e-07,3.57457e-07,3.91661e-07,2.17749e-07
50.781251,5.2452e-07,7.03238e-07,5.08709e-07,5.06543e-07,6.62928e-07,7.91822e-07,6.72898e-07,5.58828e-07,4.0533e-07,3.97623e-07,4.48792e-07,2.23146e-07,3.7639e-07,3.43296e-07,3.95971e-07,2.18792e-07
52.734376,4.14433e-07,5.8576e-07,4.52635e-07,4.25514e-07,5.47895e-07,7.20496e-07,5.64087e-07,4.52784e-07,3.47899e-07,3.36451e-07,3.7897e-07,1.89311e-07,3.23697e-07,2.88571e-07,3.34479e-07,1.92818e-07
54.687501,2.78921e-07,4.23112e-07,3.76479e-07,3.43431e-07,3.97823e-07,6.20476e-07,4.18948e-07,3.42592e-07,2.44449e-07,2.41302e-07,2.75929e-07,1.49922e-07,2.29445e-07,2.22497e-07,2.41506e-07,1.67235e-07
56.640626,2.19196e-07,3.44187e-07,3.44695e-07,3.14149e-07,3.27086e-07,5.80207e-07,3.50254e-07,2.94037e-07,1.87094e-07,1.87895e-07,2.23549e-07,1.41086e-07,1.74228e-07,1.93822e-07,1.87101e-07,1.67334e-07
58.593751,3.4647e-07,4.50804e-07,4.82847e-07,3.7894e-07,4.02442e-07,6.75873e-07,4.65976e-07,3.4889e-07,2.78689e-07,2.8397e-07,3.28423e-07,1.96031e-07,2.74698e-07,2.85526e-07,2.92729e-07,2.24461e-07
