 10000 6 1 0.0 0.0
 0.72095E+00 0.00000E+00 0.00000E+00 0.18450E+00 0.94548E-01 0.00000E+00
 0.14888E+00 0.00000E+00 0.70247E+00 0.00000E+00 0.14864E+00 0.00000E+00
 0.12302E+00 0.00000E+00 0.59238E+00 0.00000E+00 0.28460E+00 0.00000E+00
 0.50981E+00 0.00000E+00 0.39228E+00 0.00000E+00 0.97908E-01 0.00000E+00
 0.28547E+00 0.00000E+00 0.00000E+00 0.55120E+00 0.16333E+00 0.00000E+00
 0.13721E+00 0.00000E+00 0.00000E+00 0.86279E+00 0.00000E+00 0.00000E+00
 0.24830E+00 0.00000E+00 0.00000E+00 0.61720E+00 0.13450E+00 0.00000E+00
 0.64106E+00 0.33635E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.22584E-01
 0.86559E+00 0.12204E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.12371E-01
 0.65015E+00 0.00000E+00 0.00000E+00 0.34985E+00 0.00000E+00 0.00000E+00
 0.33695E+00 0.00000E+00 0.00000E+00 0.66305E+00 0.00000E+00 0.00000E+00
 0.16219E+00 0.00000E+00 0.00000E+00 0.79087E-01 0.75872E+00 0.00000E+00
 0.27434E+00 0.00000E+00 0.00000E+00 0.60355E+00 0.12211E+00 0.00000E+00
 0.50309E-01 0.00000E+00 0.00000E+00 0.87106E+00 0.78627E-01 0.00000E+00
 0.36050E+00 0.00000E+00 0.00000E+00 0.19292E+00 0.44658E+00 0.00000E+00
 0.66876E+00 0.00000E+00 0.00000E+00 0.12175E+00 0.20949E+00 0.00000E+00
 0.56658E-01 0.00000E+00 0.00000E+00 0.83201E-01 0.86014E+00 0.00000E+00
 0.16517E-01 0.00000E+00 0.00000E+00 0.98348E+00 0.00000E+00 0.00000E+00
 0.17002E+00 0.00000E+00 0.00000E+00 0.36692E+00 0.46306E+00 0.00000E+00
 0.20443E+00 0.00000E+00 0.00000E+00 0.79557E+00 0.00000E+00 0.00000E+00
 0.15284E-01 0.00000E+00 0.68876E+00 0.00000E+00 0.29596E+00 0.00000E+00
 0.11327E+00 0.44115E-01 0.00000E+00 0.00000E+00 0.00000E+00 0.84261E+00
 0.54614E-01 0.00000E+00 0.29303E+00 0.00000E+00 0.65236E+00 0.00000E+00
 0.64138E+00 0.00000E+00 0.00000E+00 0.35862E+00 0.00000E+00 0.00000E+00
 0.11325E+00 0.00000E+00 0.00000E+00 0.71106E+00 0.17569E+00 0.00000E+00
 0.28013E-01 0.00000E+00 0.73210E+00 0.00000E+00 0.23989E+00 0.00000E+00
 0.41099E+00 0.00000E+00 0.00000E+00 0.23116E-01 0.56589E+00 0.00000E+00
 0.10253E+00 0.00000E+00 0.00000E+00 0.89747E+00 0.00000E+00 0.00000E+00
 0.23683E+00 0.00000E+00 0.00000E+00 0.59616E-01 0.70356E+00 0.00000E+00
 0.22530E+00 0.00000E+00 0.00000E+00 0.19399E+00 0.58071E+00 0.00000E+00
 0.10310E+00 0.00000E+00 0.00000E+00 0.35155E+00 0.54535E+00 0.00000E+00
 0.42746E+00 0.00000E+00 0.00000E+00 0.17348E+00 0.39906E+00 0.00000E+00
 0.85660E-01 0.00000E+00 0.00000E+00 0.62731E-01 0.85161E+00 0.00000E+00
 0.14710E+00 0.00000E+00 0.00000E+00 0.78608E+00 0.66822E-01 0.00000E+00
 0.68827E-01 0.00000E+00 0.00000E+00 0.87394E+00 0.57234E-01 0.00000E+00
 0.27975E+00 0.00000E+00 0.00000E+00 0.47632E+00 0.24393E+00 0.00000E+00
 0.71113E+00 0.21424E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.74628E-01
 0.57547E+00 0.00000E+00 0.00000E+00 0.37940E+00 0.45127E-01 0.00000E+00
 0.22738E+00 0.00000E+00 0.00000E+00 0.64004E+00 0.13259E+00 0.00000E+00
 0.47877E+00 0.38493E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13630E+00
 0.31840E+00 0.00000E+00 0.31549E+00 0.00000E+00 0.36611E+00 0.00000E+00
 0.29312E+00 0.00000E+00 0.00000E+00 0.37856E+00 0.32832E+00 0.00000E+00
 0.29525E+00 0.00000E+00 0.62857E+00 0.00000E+00 0.76185E-01 0.00000E+00
 0.41742E+00 0.00000E+00 0.20077E+00 0.00000E+00 0.38181E+00 0.00000E+00
 0.30873E+00 0.00000E+00 0.00000E+00 0.29917E+00 0.39210E+00 0.00000E+00
 0.28387E+00 0.00000E+00 0.00000E+00 0.71613E+00 0.00000E+00 0.00000E+00
 0.26420E+00 0.00000E+00 0.00000E+00 0.73580E+00 0.00000E+00 0.00000E+00
 0.28196E+00 0.45410E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.26394E+00
 0.39166E+00 0.00000E+00 0.00000E+00 0.47614E-01 0.56073E+00 0.00000E+00
 0.76578E+00 0.00000E+00 0.00000E+00 0.14087E+00 0.93350E-01 0.00000E+00
 0.25983E+00 0.00000E+00 0.00000E+00 0.74017E+00 0.00000E+00 0.00000E+00
 0.74327E-01 0.00000E+00 0.00000E+00 0.92567E+00 0.00000E+00 0.00000E+00
 0.60700E+00 0.00000E+00 0.00000E+00 0.29147E-01 0.36385E+00 0.00000E+00
 0.40911E+00 0.51132E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.79569E-01
 0.30834E+00 0.00000E+00 0.00000E+00 0.19264E+00 0.49902E+00 0.00000E+00
 0.87401E+00 0.11651E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.94814E-02
 0.57546E+00 0.38650E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.38042E-01
 0.17128E+00 0.00000E+00 0.00000E+00 0.82872E+00 0.00000E+00 0.00000E+00
 0.16580E+00 0.00000E+00 0.00000E+00 0.83420E+00 0.00000E+00 0.00000E+00
 0.35663E+00 0.46256E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.18080E+00
 0.45323E+00 0.00000E+00 0.00000E+00 0.54677E+00 0.00000E+00 0.00000E+00
 0.35960E+00 0.00000E+00 0.27771E+00 0.00000E+00 0.36269E+00 0.00000E+00
 0.39992E+00 0.00000E+00 0.00000E+00 0.30566E+00 0.29441E+00 0.00000E+00
 0.46691E+00 0.26432E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.26877E+00
 0.21958E+00 0.00000E+00 0.32943E+00 0.00000E+00 0.45099E+00 0.00000E+00
 0.22495E+00 0.00000E+00 0.00000E+00 0.77505E+00 0.00000E+00 0.00000E+00
