# depth_m  pct_change_up_vs_central  pct_change_low_vs_central  
203.000000 27.112864 -8.846932
204.000000 27.151190 -8.822243
205.000000 27.189571 -8.797519
206.000000 27.228008 -8.772760
207.000000 27.254738 -8.756398
208.000000 27.248355 -8.763781
209.000000 27.241968 -8.771169
210.000000 27.235577 -8.778563
211.000000 27.229180 -8.785962
212.000000 27.222779 -8.793366
213.000000 27.216374 -8.800776
214.000000 27.209963 -8.808192
215.000000 27.203548 -8.815612
216.000000 27.197129 -8.823039
217.000000 27.190704 -8.830470
218.000000 27.184275 -8.837908
219.000000 27.177841 -8.845350
220.000000 27.171402 -8.852798
221.000000 27.164959 -8.860252
222.000000 27.158510 -8.867711
223.000000 27.152057 -8.875176
224.000000 27.145600 -8.882646
225.000000 27.139137 -8.890121
226.000000 27.132670 -8.897603
227.000000 27.126198 -8.905089
228.000000 27.119721 -8.912581
229.000000 27.113240 -8.920079
230.000000 27.106753 -8.927582
231.000000 27.100262 -8.935091
232.000000 27.093766 -8.942605
233.000000 27.087266 -8.950125
234.000000 27.080760 -8.957651
235.000000 27.074250 -8.965182
236.000000 27.067735 -8.972718
237.000000 27.061215 -8.980260
238.000000 27.054690 -8.987808
239.000000 27.048160 -8.995361
240.000000 27.041626 -9.002920
241.000000 27.035086 -9.010485
242.000000 27.028542 -9.018055
243.000000 27.021993 -9.025631
244.000000 27.015439 -9.033212
245.000000 27.008881 -9.040799
246.000000 26.997356 -9.051005
247.000000 26.985708 -9.060531
248.000000 26.974051 -9.070064
249.000000 26.962387 -9.079604
250.000000 26.950715 -9.089149
251.000000 26.939036 -9.098701
252.000000 26.927348 -9.108260
253.000000 26.915653 -9.117824
254.000000 26.903950 -9.127395
255.000000 26.892240 -9.136973
256.000000 26.880521 -9.146557
257.000000 26.868795 -9.156147
258.000000 26.857061 -9.165743
259.000000 26.855601 -9.175346
260.000000 26.862221 -9.184956
261.000000 26.868846 -9.194571
262.000000 26.875475 -9.204193
263.000000 26.882109 -9.213822
264.000000 26.888747 -9.223457
265.000000 26.895389 -9.233098
266.000000 26.902036 -9.242746
267.000000 26.908688 -9.252400
268.000000 26.915343 -9.262061
269.000000 26.922003 -9.271728
270.000000 26.928668 -9.281402
271.000000 26.935337 -9.291082
272.000000 26.942011 -9.300769
273.000000 26.948689 -9.310462
274.000000 26.955371 -9.320161
275.000000 26.962058 -9.329867
276.000000 26.968750 -9.339580
277.000000 26.975446 -9.349299
278.000000 26.982146 -9.359024
279.000000 26.988851 -9.368756
280.000000 26.995560 -9.378495
281.000000 27.002274 -9.388240
282.000000 27.008993 -9.388288
283.000000 27.015716 -9.384561
284.000000 27.022443 -9.380832
285.000000 27.029175 -9.377100
286.000000 27.035911 -9.373366
287.000000 27.042652 -9.369629
288.000000 27.049398 -9.365889
289.000000 27.056148 -9.362148
290.000000 27.062903 -9.358403
291.000000 27.069662 -9.354656
292.000000 27.076425 -9.350907
293.000000 27.083194 -9.347155
294.000000 27.089966 -9.343400
295.000000 27.096744 -9.339643
296.000000 27.103526 -9.335884
297.000000 27.110312 -9.332122
298.000000 27.117103 -9.328357
299.000000 27.116769 -9.329675
300.000000 27.104702 -9.339364
301.000000 27.092630 -9.349055
302.000000 27.080553 -9.358751
303.000000 27.068472 -9.368450
304.000000 27.056386 -9.378153
305.000000 27.044296 -9.387859
306.000000 27.032201 -9.397570
307.000000 27.020101 -9.407284
308.000000 27.007997 -9.417001
309.000000 26.995888 -9.426722
310.000000 26.983775 -9.436447
311.000000 26.971657 -9.446176
312.000000 26.959535 -9.455908
313.000000 26.947407 -9.465644
314.000000 26.935276 -9.475384
315.000000 26.923140 -9.485127
316.000000 26.910999 -9.494874
317.000000 26.898853 -9.504625
318.000000 26.886703 -9.514379
319.000000 26.874548 -9.524137
320.000000 26.862389 -9.533899
321.000000 26.850225 -9.543665
322.000000 26.838057 -9.553434
323.000000 26.825884 -9.563207
324.000000 26.813706 -9.572984
325.000000 26.801523 -9.582764
326.000000 26.789336 -9.592548
327.000000 26.777145 -9.602336
328.000000 26.764948 -9.612127
329.000000 26.752748 -9.621923
330.000000 26.740542 -9.631722
331.000000 26.728332 -9.641524
332.000000 26.716117 -9.651331
333.000000 26.703897 -9.661141
334.000000 26.691673 -9.670955
335.000000 26.679445 -9.680772
336.000000 26.667211 -9.690594
337.000000 26.654973 -9.700419
338.000000 26.642730 -9.710248
339.000000 26.630483 -9.720080
340.000000 26.618231 -9.729916
341.000000 26.605974 -9.739757
342.000000 26.593713 -9.749600
343.000000 26.581447 -9.759448
344.000000 26.569176 -9.769299
345.000000 26.556900 -9.779154
346.000000 26.544620 -9.789013
347.000000 26.532335 -9.798876
348.000000 26.520046 -9.808742
349.000000 26.507752 -9.818612
350.000000 26.495453 -9.828486
351.000000 26.483149 -9.838364
352.000000 26.470841 -9.848245
353.000000 26.458528 -9.858130
354.000000 26.446210 -9.868019
355.000000 26.433888 -9.877912
356.000000 26.421561 -9.887809
357.000000 26.421608 -9.888886
358.000000 26.422293 -9.889509
359.000000 26.424452 -9.890132
360.000000 26.429605 -9.890755
361.000000 26.434762 -9.891379
362.000000 26.439921 -9.892004
363.000000 26.445084 -9.889635
364.000000 26.450249 -9.886515
365.000000 26.455418 -9.883394
366.000000 26.460589 -9.880271
367.000000 26.465764 -9.877147
368.000000 26.470942 -9.874020
369.000000 26.476123 -9.870892
370.000000 26.481306 -9.867761
371.000000 26.486493 -9.864629
372.000000 26.491683 -9.861495
373.000000 26.496876 -9.858360
374.000000 26.502073 -9.855222
375.000000 26.507272 -9.852082
376.000000 26.512474 -9.848941
377.000000 26.517679 -9.845798
378.000000 26.522888 -9.842653
379.000000 26.528099 -9.839506
380.000000 26.533314 -9.836357
381.000000 26.538531 -9.833206
382.000000 26.543752 -9.830053
383.000000 26.548976 -9.826899
384.000000 26.554203 -9.823743
385.000000 26.559433 -9.820585
386.000000 26.564666 -9.817425
387.000000 26.569903 -9.814263
388.000000 26.575142 -9.811099
389.000000 26.580384 -9.807933
390.000000 26.585630 -9.804766
391.000000 26.590879 -9.801596
392.000000 26.596131 -9.798425
393.000000 26.601385 -9.795252
394.000000 26.606644 -9.792076
395.000000 26.611905 -9.788899
396.000000 26.617169 -9.785721
397.000000 26.622437 -9.782540
398.000000 26.627707 -9.779357
399.000000 26.632981 -9.776173
400.000000 26.638258 -9.772986
401.000000 26.643538 -9.769798
402.000000 26.648821 -9.766608
403.000000 26.654107 -9.763415
404.000000 26.659397 -9.760221
405.000000 26.664689 -9.757025
406.000000 26.668373 -9.754976
407.000000 26.664764 -9.758123
408.000000 26.661153 -9.761271
409.000000 26.657540 -9.764421
410.000000 26.653926 -9.767572
411.000000 26.650310 -9.770725
412.000000 26.646692 -9.773879
413.000000 26.643073 -9.777035
414.000000 26.639452 -9.780192
415.000000 26.635829 -9.783350
416.000000 26.632205 -9.786510
417.000000 26.628579 -9.789671
418.000000 26.624951 -9.792834
419.000000 26.621322 -9.795998
420.000000 26.617691 -9.799164
421.000000 26.614059 -9.802331
422.000000 26.610425 -9.805500
423.000000 26.606789 -9.808670
424.000000 26.603151 -9.811841
425.000000 26.599512 -9.815014
426.000000 26.595871 -9.818189
427.000000 26.592228 -9.821365
428.000000 26.588584 -9.824542
429.000000 26.584938 -9.827721
430.000000 26.581291 -9.830901
431.000000 26.577641 -9.834083
432.000000 26.573991 -9.837266
433.000000 26.570338 -9.840450
434.000000 26.566684 -9.843636
435.000000 26.563028 -9.846824
436.000000 26.559370 -9.850013
437.000000 26.555711 -9.853203
438.000000 26.552050 -9.856395
439.000000 26.548387 -9.859589
440.000000 26.544723 -9.862783
441.000000 26.541057 -9.865980
442.000000 26.537389 -9.869177
443.000000 26.533720 -9.872377
444.000000 26.530049 -9.875577
445.000000 26.526376 -9.878780
446.000000 26.522701 -9.881983
447.000000 26.519025 -9.885188
448.000000 26.515347 -9.888395
449.000000 26.511668 -9.891603
450.000000 26.507986 -9.894813
451.000000 26.504304 -9.898024
452.000000 26.500619 -9.901236
453.000000 26.496933 -9.904450
454.000000 26.493245 -9.907666
455.000000 26.489555 -9.910883
456.000000 26.484474 -9.914101
457.000000 26.474989 -9.917321
458.000000 26.465499 -9.920543
459.000000 26.456005 -9.923766
460.000000 26.446507 -9.926990
461.000000 26.437005 -9.930216
462.000000 26.427498 -9.933443
463.000000 26.417986 -9.936672
464.000000 26.408471 -9.939903
465.000000 26.398950 -9.943135
466.000000 26.389426 -9.946368
467.000000 26.379897 -9.949603
468.000000 26.370364 -9.952839
469.000000 26.360826 -9.956077
470.000000 26.351284 -9.959316
471.000000 26.343405 -9.961369
472.000000 26.351230 -9.954607
473.000000 26.359062 -9.952899
474.000000 26.366899 -9.951190
475.000000 26.374742 -9.949480
476.000000 26.382591 -9.947768
477.000000 26.390446 -9.946055
478.000000 26.398306 -9.944341
479.000000 26.406173 -9.942626
480.000000 26.414045 -9.940909
481.000000 26.421923 -9.939191
482.000000 26.429807 -9.937472
483.000000 26.437696 -9.935752
484.000000 26.445592 -9.934030
485.000000 26.453493 -9.932307
486.000000 26.461400 -9.930582
487.000000 26.469314 -9.928857
488.000000 26.477233 -9.927130
489.000000 26.485157 -9.925402
490.000000 26.493088 -9.923672
491.000000 26.501025 -9.921942
492.000000 26.508967 -9.920210
493.000000 26.516916 -9.918476
494.000000 26.524870 -9.916742
495.000000 26.532830 -9.915006
496.000000 26.540797 -9.913269
497.000000 26.548769 -9.911530
498.000000 26.556747 -9.909791
499.000000 26.564731 -9.908050
500.000000 26.572721 -9.906307
501.000000 26.580717 -9.904564
502.000000 26.588719 -9.902819
503.000000 26.596727 -9.901072
504.000000 26.604741 -9.899325
505.000000 26.612760 -9.897576
506.000000 26.620786 -9.895826
507.000000 26.628818 -9.894074
508.000000 26.636856 -9.892322
509.000000 26.644900 -9.890567
510.000000 26.652950 -9.888812
511.000000 26.661006 -9.887055
512.000000 26.669068 -9.885297
513.000000 26.677136 -9.883538
514.000000 26.685210 -9.881777
515.000000 26.693290 -9.880015
516.000000 26.701376 -9.878252
517.000000 26.709658 -9.876352
518.000000 26.718981 -9.873715
519.000000 26.728311 -9.871076
520.000000 26.737648 -9.868435
521.000000 26.746993 -9.865792
522.000000 26.756345 -9.863147
523.000000 26.765703 -9.860500
524.000000 26.775070 -9.857851
525.000000 26.784443 -9.855200
526.000000 26.793824 -9.852547
527.000000 26.803211 -9.849891
528.000000 26.812607 -9.847234
529.000000 26.822009 -9.844575
530.000000 26.831419 -9.841913
531.000000 26.840836 -9.839250
532.000000 26.850260 -9.836584
533.000000 26.859691 -9.833917
534.000000 26.869130 -9.831247
535.000000 26.878576 -9.828575
536.000000 26.888030 -9.825901
537.000000 26.897491 -9.823225
538.000000 26.906959 -9.820547
539.000000 26.916434 -9.817867
540.000000 26.925917 -9.815185
541.000000 26.935407 -9.812501
542.000000 26.944905 -9.809814
543.000000 26.954410 -9.807126
544.000000 26.963923 -9.807329
545.000000 26.973442 -9.809382
546.000000 26.982970 -9.811438
547.000000 26.992504 -9.813494
548.000000 27.002046 -9.815553
549.000000 27.011596 -9.817613
550.000000 27.021153 -9.819674
551.000000 27.030717 -9.821737
552.000000 27.040289 -9.823802
553.000000 27.049868 -9.825869
554.000000 27.059455 -9.827937
555.000000 27.069050 -9.830006
556.000000 27.078651 -9.832077
557.000000 27.088261 -9.834150
558.000000 27.097878 -9.836225
559.000000 27.107502 -9.838301
560.000000 27.117134 -9.840379
561.000000 27.126773 -9.842458
562.000000 27.136420 -9.844539
563.000000 27.146075 -9.846622
564.000000 27.155737 -9.848706
565.000000 27.165407 -9.850792
566.000000 27.175084 -9.852879
567.000000 27.180931 -9.857689
568.000000 27.180623 -9.866867
569.000000 27.180315 -9.876050
570.000000 27.180007 -9.885240
571.000000 27.179699 -9.894435
572.000000 27.179390 -9.903636
573.000000 27.163783 -9.912842
574.000000 27.142214 -9.922055
575.000000 27.120632 -9.931273
576.000000 27.099037 -9.940497
577.000000 27.077427 -9.949727
578.000000 27.055805 -9.958963
579.000000 27.034168 -9.968204
580.000000 27.012518 -9.977451
581.000000 26.990854 -9.986705
582.000000 26.969177 -9.995964
583.000000 26.947486 -10.005229
584.000000 26.925781 -10.014499
585.000000 26.904062 -10.023776
586.000000 26.882330 -10.033058
587.000000 26.860584 -10.042346
588.000000 26.838824 -10.051641
589.000000 26.817051 -10.060941
590.000000 26.795264 -10.070247
591.000000 26.773463 -10.079558
592.000000 26.751648 -10.088876
593.000000 26.729819 -10.098200
594.000000 26.707977 -10.107529
595.000000 26.686121 -10.116865
596.000000 26.664250 -10.126206
597.000000 26.642367 -10.135553
598.000000 26.620469 -10.144906
599.000000 26.598557 -10.154265
600.000000 26.576631 -10.163630
601.000000 26.554692 -10.173001
602.000000 26.532738 -10.182378
603.000000 26.510771 -10.191761
604.000000 26.488789 -10.201150
605.000000 26.466794 -10.210545
606.000000 26.444785 -10.219946
607.000000 26.422761 -10.229352
608.000000 26.400724 -10.238765
609.000000 26.378673 -10.248184
610.000000 26.356607 -10.257609
611.000000 26.334528 -10.267039
612.000000 26.312434 -10.276476
613.000000 26.290327 -10.285919
614.000000 26.268205 -10.295368
615.000000 26.246069 -10.304822
616.000000 26.223919 -10.314283
617.000000 26.211470 -10.316512
618.000000 26.205121 -10.314196
619.000000 26.198766 -10.311877
620.000000 26.192406 -10.309557
621.000000 26.186040 -10.307234
622.000000 26.179668 -10.304909
623.000000 26.173291 -10.302583
624.000000 26.166908 -10.300254
625.000000 26.160519 -10.297923
626.000000 26.154124 -10.295590
627.000000 26.147724 -10.293255
628.000000 26.141318 -10.290918
629.000000 26.134907 -10.288578
630.000000 26.128489 -10.286237
631.000000 26.122066 -10.283894
632.000000 26.115638 -10.281548
633.000000 26.109203 -10.279200
634.000000 26.102763 -10.276851
635.000000 26.096317 -10.274499
636.000000 26.088999 -10.272145
637.000000 26.076358 -10.269789
638.000000 26.063705 -10.267431
639.000000 26.051041 -10.265070
640.000000 26.038366 -10.262708
641.000000 26.025679 -10.260343
642.000000 26.012981 -10.257977
643.000000 26.000271 -10.255608
644.000000 25.987550 -10.253237
645.000000 25.974818 -10.250864
646.000000 25.962074 -10.248489
647.000000 25.949318 -10.246111
648.000000 25.936551 -10.243732
