Electronics gain sent to zero with NTU + Cheby Filter
Total Bin : 257
Freq(MHz)    	    Gain(unitless)    	    Phase(rad) 
761.72, 0.196, 1.740
765.62, 0.193, 1.536
769.53, 0.189, 1.331
773.44, 0.186, 1.127
777.34, 0.182, 0.922
781.25, 0.179, 0.717
785.16, 0.176, 0.512
789.06, 0.173, 0.307
792.97, 0.170, 0.104
796.87, 0.167, -0.102
800.78, 0.164, -0.309
804.69, 0.161, -0.513
808.59, 0.159, -0.717
812.50, 0.156, -0.923
816.41, 0.154, -1.127
820.31, 0.151, -1.332
824.22, 0.149, -1.538
828.12, 0.146, -1.742
832.03, 0.144, -1.947
835.94, 0.142, -2.152
839.84, 0.140, -2.356
843.75, 0.137, -2.563
847.66, 0.135, -2.766
851.56, 0.133, -2.971
855.47, 0.130, 3.108
859.37, 0.128, 2.903
863.28, 0.126, 2.700
867.19, 0.124, 2.494
871.09, 0.122, 2.291
875.00, 0.120, 2.085
878.91, 0.118, 1.884
882.81, 0.116, 1.680
886.72, 0.114, 1.477
890.62, 0.112, 1.274
894.53, 0.110, 1.072
898.44, 0.108, 0.869
902.34, 0.106, 0.668
906.25, 0.105, 0.467
910.16, 0.103, 0.265
914.06, 0.102, 0.064
917.97, 0.100, -0.138
921.87, 0.098, -0.339
925.78, 0.097, -0.540
929.69, 0.096, -0.742
933.59, 0.094, -0.943
937.50, 0.093, -1.145
941.41, 0.092, -1.347
945.31, 0.090, -1.548
949.22, 0.089, -1.750
953.12, 0.088, -1.954
957.03, 0.087, -2.157
960.94, 0.086, -2.360
964.84, 0.085, -2.564
968.75, 0.083, -2.767
972.66, 0.082, -2.972
976.56, 0.081, 3.108
980.47, 0.080, 2.903
984.37, 0.079, 2.700
988.28, 0.077, 2.496
992.19, 0.076, 2.294
996.09, 0.075, 2.092
1000.00, 0.074, 1.889
