Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)\n
105.47,0.935,2.28,0.935,2.28,0.935,2.28,0.935,2.28,0.935,2.28,0.935,2.28,0.935,2.28,0.935,2.28,0.935,2.28,0.935,2.28,0.935,2.28,0.935,2.28,0.935,2.28,0.935,2.28,0.935,2.28,0.935,2.28\n
109.37,0.913,2.179,0.913,2.179,0.913,2.179,0.913,2.179,0.913,2.179,0.913,2.179,0.913,2.179,0.913,2.179,0.913,2.179,0.913,2.179,0.913,2.179,0.913,2.179,0.913,2.179,0.913,2.179,0.913,2.179,0.913,2.179\n
113.28,0.892,1.99,0.892,1.99,0.892,1.99,0.892,1.99,0.892,1.99,0.892,1.99,0.892,1.99,0.892,1.99,0.892,1.99,0.892,1.99,0.892,1.99,0.892,1.99,0.892,1.99,0.892,1.99,0.892,1.99,0.892,1.99\n
117.19,0.919,1.768,0.919,1.768,0.919,1.768,0.919,1.768,0.919,1.768,0.919,1.768,0.919,1.768,0.919,1.768,0.919,1.768,0.919,1.768,0.919,1.768,0.919,1.768,0.919,1.768,0.919,1.768,0.919,1.768,0.919,1.768\n
121.09,1.35,1.546,1.35,1.546,1.35,1.546,1.35,1.546,1.35,1.546,1.35,1.546,1.35,1.546,1.35,1.546,1.35,1.546,1.35,1.546,1.35,1.546,1.35,1.546,1.35,1.546,1.35,1.546,1.35,1.546,1.35,1.546\n
125,1.982,1.846,1.982,1.846,1.982,1.846,1.982,1.846,1.982,1.846,1.982,1.846,1.982,1.846,1.982,1.846,1.982,1.846,1.982,1.846,1.982,1.846,1.982,1.846,1.982,1.846,1.982,1.846,1.982,1.846,1.982,1.846\n
128.91,2.909,0.032,2.909,0.032,2.909,0.032,2.909,0.032,2.909,0.032,2.909,0.032,2.909,0.032,2.909,0.032,2.909,0.032,2.909,0.032,2.909,0.032,2.909,0.032,2.909,0.032,2.909,0.032,2.909,0.032,2.909,0.032\n
132.81,4.271,2.193,4.271,2.193,4.271,2.193,4.271,2.193,4.271,2.193,4.271,2.193,4.271,2.193,4.271,2.193,4.271,2.193,4.271,2.193,4.271,2.193,4.271,2.193,4.271,2.193,4.271,2.193,4.271,2.193,4.271,2.193\n
136.72,12.508,1.956,12.508,1.956,12.508,1.956,12.508,1.956,12.508,1.956,12.508,1.956,12.508,1.956,12.508,1.956,12.508,1.956,12.508,1.956,12.508,1.956,12.508,1.956,12.508,1.956,12.508,1.956,12.508,1.956,12.508,1.956\n
140.62,40.705,-0.7,40.705,-0.7,40.705,-0.7,40.705,-0.7,40.705,-0.7,40.705,-0.7,40.705,-0.7,40.705,-0.7,40.705,-0.7,40.705,-0.7,40.705,-0.7,40.705,-0.7,40.705,-0.7,40.705,-0.7,40.705,-0.7,40.705,-0.7\n
144.53,132.465,-2.649,132.465,-2.649,132.465,-2.649,132.465,-2.649,132.465,-2.649,132.465,-2.649,132.465,-2.649,132.465,-2.649,132.465,-2.649,132.465,-2.649,132.465,-2.649,132.465,-2.649,132.465,-2.649,132.465,-2.649,132.465,-2.649,132.465,-2.649\n 
148.44,431.023,2.483,431.023,2.483,431.023,2.483,431.023,2.483,431.023,2.483,431.023,2.483,431.023,2.483,431.023,2.483,431.023,2.483,431.023,2.483,431.023,2.483,431.023,2.483,431.023,2.483,431.023,2.483,431.023,2.483,431.023,2.483\n
152.34,827.752,1.658,827.752,1.658,827.752,1.658,827.752,1.658,827.752,1.658,827.752,1.658,827.752,1.658,827.752,1.658,827.752,1.658,827.752,1.658,827.752,1.658,827.752,1.658,827.752,1.658,827.752,1.658,827.752,1.658,827.752,1.658\n
156.25,1118.279,1.021,1118.279,1.021,1118.279,1.021,1118.279,1.021,1118.279,1.021,1118.279,1.021,1118.279,1.021,1118.279,1.021,1118.279,1.021,1118.279,1.021,1118.279,1.021,1118.279,1.021,1118.279,1.021,1118.279,1.021,1118.279,1.021,1118.279,1.021\n 
160.16,1510.95,0.495,1510.95,0.495,1510.95,0.495,1510.95,0.495,1510.95,0.495,1510.95,0.495,1510.95,0.495,1510.95,0.495,1510.95,0.495,1510.95,0.495,1510.95,0.495,1510.95,0.495,1510.95,0.495,1510.95,0.495,1510.95,0.495,1510.95,0.495\n 
164.06,2041.268,0.038,2041.268,0.038,2041.268,0.038,2041.268,0.038,2041.268,0.038,2041.268,0.038,2041.268,0.038,2041.268,0.038,2041.268,0.038,2041.268,0.038,2041.268,0.038,2041.268,0.038,2041.268,0.038,2041.268,0.038,2041.268,0.038,2041.268,0.038\n 
167.97,2647.89,-0.374,2647.89,-0.374,2647.89,-0.374,2647.89,-0.374,2647.89,-0.374,2647.89,-0.374,2647.89,-0.374,2647.89,-0.374,2647.89,-0.374,2647.89,-0.374,2647.89,-0.374,2647.89,-0.374,2647.89,-0.374,2647.89,-0.374,2647.89,-0.374,2647.89,-0.374\n 
171.87,3164.463,-0.747,3164.463,-0.747,3164.463,-0.747,3164.463,-0.747,3164.463,-0.747,3164.463,-0.747,3164.463,-0.747,3164.463,-0.747,3164.463,-0.747,3164.463,-0.747,3164.463,-0.747,3164.463,-0.747,3164.463,-0.747,3164.463,-0.747,3164.463,-0.747,3164.463,-0.747\n 
175.78,3782.248,-1.088,3782.248,-1.088,3782.248,-1.088,3782.248,-1.088,3782.248,-1.088,3782.248,-1.088,3782.248,-1.088,3782.248,-1.088,3782.248,-1.088,3782.248,-1.088,3782.248,-1.088,3782.248,-1.088,3782.248,-1.088,3782.248,-1.088,3782.248,-1.088,3782.248,-1.088\n 
179.69,4520.641,-1.4,4520.641,-1.4,4520.641,-1.4,4520.641,-1.4,4520.641,-1.4,4520.641,-1.4,4520.641,-1.4,4520.641,-1.4,4520.641,-1.4,4520.641,-1.4,4520.641,-1.4,4520.641,-1.4,4520.641,-1.4,4520.641,-1.4,4520.641,-1.4,4520.641,-1.4\n 
183.59,5339.493,-1.685,5339.493,-1.685,5339.493,-1.685,5339.493,-1.685,5339.493,-1.685,5339.493,-1.685,5339.493,-1.685,5339.493,-1.685,5339.493,-1.685,5339.493,-1.685,5339.493,-1.685,5339.493,-1.685,5339.493,-1.685,5339.493,-1.685,5339.493,-1.685,5339.493,-1.685\n 
187.5,5325.373,-1.947,5325.373,-1.947,5325.373,-1.947,5325.373,-1.947,5325.373,-1.947,5325.373,-1.947,5325.373,-1.947,5325.373,-1.947,5325.373,-1.947,5325.373,-1.947,5325.373,-1.947,5325.373,-1.947,5325.373,-1.947,5325.373,-1.947,5325.373,-1.947,5325.373,-1.947\n 
191.41,5310.678,-2.188,5310.678,-2.188,5310.678,-2.188,5310.678,-2.188,5310.678,-2.188,5310.678,-2.188,5310.678,-2.188,5310.678,-2.188,5310.678,-2.188,5310.678,-2.188,5310.678,-2.188,5310.678,-2.188,5310.678,-2.188,5310.678,-2.188,5310.678,-2.188,5310.678,-2.188\n 
195.31,5296.634,-2.411,5296.634,-2.411,5296.634,-2.411,5296.634,-2.411,5296.634,-2.411,5296.634,-2.411,5296.634,-2.411,5296.634,-2.411,5296.634,-2.411,5296.634,-2.411,5296.634,-2.411,5296.634,-2.411,5296.634,-2.411,5296.634,-2.411,5296.634,-2.411,5296.634,-2.411\n 
199.22,5282.019,-2.617,5282.019,-2.617,5282.019,-2.617,5282.019,-2.617,5282.019,-2.617,5282.019,-2.617,5282.019,-2.617,5282.019,-2.617,5282.019,-2.617,5282.019,-2.617,5282.019,-2.617,5282.019,-2.617,5282.019,-2.617,5282.019,-2.617,5282.019,-2.617,5282.019,-2.617\n 
203.12,5355.5,-2.809,5355.5,-2.809,5355.5,-2.809,5355.5,-2.809,5355.5,-2.809,5355.5,-2.809,5355.5,-2.809,5355.5,-2.809,5355.5,-2.809,5355.5,-2.809,5355.5,-2.809,5355.5,-2.809,5355.5,-2.809,5355.5,-2.809,5355.5,-2.809,5355.5,-2.809\n 
207.03,5452.554,-2.99,5452.554,-2.99,5452.554,-2.99,5452.554,-2.99,5452.554,-2.99,5452.554,-2.99,5452.554,-2.99,5452.554,-2.99,5452.554,-2.99,5452.554,-2.99,5452.554,-2.99,5452.554,-2.99,5452.554,-2.99,5452.554,-2.99,5452.554,-2.99,5452.554,-2.99\n 
210.94,5551.368,3.124,5551.368,3.124,5551.368,3.124,5551.368,3.124,5551.368,3.124,5551.368,3.124,5551.368,3.124,5551.368,3.124,5551.368,3.124,5551.368,3.124,5551.368,3.124,5551.368,3.124,5551.368,3.124,5551.368,3.124,5551.368,3.124,5551.368,3.124\n 
214.84,5651.321,2.963,5651.321,2.963,5651.321,2.963,5651.321,2.963,5651.321,2.963,5651.321,2.963,5651.321,2.963,5651.321,2.963,5651.321,2.963,5651.321,2.963,5651.321,2.963,5651.321,2.963,5651.321,2.963,5651.321,2.963,5651.321,2.963,5651.321,2.963\n 
218.75,5696.394,2.811,5696.394,2.811,5696.394,2.811,5696.394,2.811,5696.394,2.811,5696.394,2.811,5696.394,2.811,5696.394,2.811,5696.394,2.811,5696.394,2.811,5696.394,2.811,5696.394,2.811,5696.394,2.811,5696.394,2.811,5696.394,2.811,5696.394,2.811\n 
222.66,5691.805,2.665,5691.805,2.665,5691.805,2.665,5691.805,2.665,5691.805,2.665,5691.805,2.665,5691.805,2.665,5691.805,2.665,5691.805,2.665,5691.805,2.665,5691.805,2.665,5691.805,2.665,5691.805,2.665,5691.805,2.665,5691.805,2.665,5691.805,2.665\n 
226.56,5687.22,2.526,5687.22,2.526,5687.22,2.526,5687.22,2.526,5687.22,2.526,5687.22,2.526,5687.22,2.526,5687.22,2.526,5687.22,2.526,5687.22,2.526,5687.22,2.526,5687.22,2.526,5687.22,2.526,5687.22,2.526,5687.22,2.526,5687.22,2.526\n 
230.47,5682.638,2.391,5682.638,2.391,5682.638,2.391,5682.638,2.391,5682.638,2.391,5682.638,2.391,5682.638,2.391,5682.638,2.391,5682.638,2.391,5682.638,2.391,5682.638,2.391,5682.638,2.391,5682.638,2.391,5682.638,2.391,5682.638,2.391,5682.638,2.391\n 
234.37,5674.139,2.262,5674.139,2.262,5674.139,2.262,5674.139,2.262,5674.139,2.262,5674.139,2.262,5674.139,2.262,5674.139,2.262,5674.139,2.262,5674.139,2.262,5674.139,2.262,5674.139,2.262,5674.139,2.262,5674.139,2.262,5674.139,2.262,5674.139,2.262\n 
238.28,5653.274,2.137,5653.274,2.137,5653.274,2.137,5653.274,2.137,5653.274,2.137,5653.274,2.137,5653.274,2.137,5653.274,2.137,5653.274,2.137,5653.274,2.137,5653.274,2.137,5653.274,2.137,5653.274,2.137,5653.274,2.137,5653.274,2.137,5653.274,2.137\n 
242.19,5633.133,2.015,5633.133,2.015,5633.133,2.015,5633.133,2.015,5633.133,2.015,5633.133,2.015,5633.133,2.015,5633.133,2.015,5633.133,2.015,5633.133,2.015,5633.133,2.015,5633.133,2.015,5633.133,2.015,5633.133,2.015,5633.133,2.015,5633.133,2.015\n 
246.09,5612.418,1.897,5612.418,1.897,5612.418,1.897,5612.418,1.897,5612.418,1.897,5612.418,1.897,5612.418,1.897,5612.418,1.897,5612.418,1.897,5612.418,1.897,5612.418,1.897,5612.418,1.897,5612.418,1.897,5612.418,1.897,5612.418,1.897,5612.418,1.897\n 
250,5591.779,1.782,5591.779,1.782,5591.779,1.782,5591.779,1.782,5591.779,1.782,5591.779,1.782,5591.779,1.782,5591.779,1.782,5591.779,1.782,5591.779,1.782,5591.779,1.782,5591.779,1.782,5591.779,1.782,5591.779,1.782,5591.779,1.782,5591.779,1.782\n 
253.91,5581.488,1.669,5581.488,1.669,5581.488,1.669,5581.488,1.669,5581.488,1.669,5581.488,1.669,5581.488,1.669,5581.488,1.669,5581.488,1.669,5581.488,1.669,5581.488,1.669,5581.488,1.669,5581.488,1.669,5581.488,1.669,5581.488,1.669,5581.488,1.669\n 
257.81,5571.216,1.56,5571.216,1.56,5571.216,1.56,5571.216,1.56,5571.216,1.56,5571.216,1.56,5571.216,1.56,5571.216,1.56,5571.216,1.56,5571.216,1.56,5571.216,1.56,5571.216,1.56,5571.216,1.56,5571.216,1.56,5571.216,1.56,5571.216,1.56\n 
261.72,5560.963,1.452,5560.963,1.452,5560.963,1.452,5560.963,1.452,5560.963,1.452,5560.963,1.452,5560.963,1.452,5560.963,1.452,5560.963,1.452,5560.963,1.452,5560.963,1.452,5560.963,1.452,5560.963,1.452,5560.963,1.452,5560.963,1.452,5560.963,1.452\n 
265.62,5550.729,1.346,5550.729,1.346,5550.729,1.346,5550.729,1.346,5550.729,1.346,5550.729,1.346,5550.729,1.346,5550.729,1.346,5550.729,1.346,5550.729,1.346,5550.729,1.346,5550.729,1.346,5550.729,1.346,5550.729,1.346,5550.729,1.346,5550.729,1.346\n 
269.53,5557.763,1.242,5557.763,1.242,5557.763,1.242,5557.763,1.242,5557.763,1.242,5557.763,1.242,5557.763,1.242,5557.763,1.242,5557.763,1.242,5557.763,1.242,5557.763,1.242,5557.763,1.242,5557.763,1.242,5557.763,1.242,5557.763,1.242,5557.763,1.242\n 
273.44,5571.216,1.14,5571.216,1.14,5571.216,1.14,5571.216,1.14,5571.216,1.14,5571.216,1.14,5571.216,1.14,5571.216,1.14,5571.216,1.14,5571.216,1.14,5571.216,1.14,5571.216,1.14,5571.216,1.14,5571.216,1.14,5571.216,1.14,5571.216,1.14\n 
277.34,5584.059,1.039,5584.059,1.039,5584.059,1.039,5584.059,1.039,5584.059,1.039,5584.059,1.039,5584.059,1.039,5584.059,1.039,5584.059,1.039,5584.059,1.039,5584.059,1.039,5584.059,1.039,5584.059,1.039,5584.059,1.039,5584.059,1.039,5584.059,1.039\n 
281.25,5597.576,0.94,5597.576,0.94,5597.576,0.94,5597.576,0.94,5597.576,0.94,5597.576,0.94,5597.576,0.94,5597.576,0.94,5597.576,0.94,5597.576,0.94,5597.576,0.94,5597.576,0.94,5597.576,0.94,5597.576,0.94,5597.576,0.94,5597.576,0.94\n 
285.16,5608.542,0.842,5608.542,0.842,5608.542,0.842,5608.542,0.842,5608.542,0.842,5608.542,0.842,5608.542,0.842,5608.542,0.842,5608.542,0.842,5608.542,0.842,5608.542,0.842,5608.542,0.842,5608.542,0.842,5608.542,0.842,5608.542,0.842,5608.542,0.842\n 
289.06,5618.236,0.746,5618.236,0.746,5618.236,0.746,5618.236,0.746,5618.236,0.746,5618.236,0.746,5618.236,0.746,5618.236,0.746,5618.236,0.746,5618.236,0.746,5618.236,0.746,5618.236,0.746,5618.236,0.746,5618.236,0.746,5618.236,0.746,5618.236,0.746\n 
292.97,5627.947,0.651,5627.947,0.651,5627.947,0.651,5627.947,0.651,5627.947,0.651,5627.947,0.651,5627.947,0.651,5627.947,0.651,5627.947,0.651,5627.947,0.651,5627.947,0.651,5627.947,0.651,5627.947,0.651,5627.947,0.651,5627.947,0.651,5627.947,0.651\n 
296.87,5637.026,0.557,5637.026,0.557,5637.026,0.557,5637.026,0.557,5637.026,0.557,5637.026,0.557,5637.026,0.557,5637.026,0.557,5637.026,0.557,5637.026,0.557,5637.026,0.557,5637.026,0.557,5637.026,0.557,5637.026,0.557,5637.026,0.557,5637.026,0.557\n 
300.78,5645.469,0.464,5645.469,0.464,5645.469,0.464,5645.469,0.464,5645.469,0.464,5645.469,0.464,5645.469,0.464,5645.469,0.464,5645.469,0.464,5645.469,0.464,5645.469,0.464,5645.469,0.464,5645.469,0.464,5645.469,0.464,5645.469,0.464,5645.469,0.464\n 
304.69,5647.419,0.372,5647.419,0.372,5647.419,0.372,5647.419,0.372,5647.419,0.372,5647.419,0.372,5647.419,0.372,5647.419,0.372,5647.419,0.372,5647.419,0.372,5647.419,0.372,5647.419,0.372,5647.419,0.372,5647.419,0.372,5647.419,0.372,5647.419,0.372\n 
308.59,5650.02,0.281,5650.02,0.281,5650.02,0.281,5650.02,0.281,5650.02,0.281,5650.02,0.281,5650.02,0.281,5650.02,0.281,5650.02,0.281,5650.02,0.281,5650.02,0.281,5650.02,0.281,5650.02,0.281,5650.02,0.281,5650.02,0.281,5650.02,0.281\n 
312.5,5652.623,0.191,5652.623,0.191,5652.623,0.191,5652.623,0.191,5652.623,0.191,5652.623,0.191,5652.623,0.191,5652.623,0.191,5652.623,0.191,5652.623,0.191,5652.623,0.191,5652.623,0.191,5652.623,0.191,5652.623,0.191,5652.623,0.191,5652.623,0.191\n 
316.41,5655.226,0.102,5655.226,0.102,5655.226,0.102,5655.226,0.102,5655.226,0.102,5655.226,0.102,5655.226,0.102,5655.226,0.102,5655.226,0.102,5655.226,0.102,5655.226,0.102,5655.226,0.102,5655.226,0.102,5655.226,0.102,5655.226,0.102,5655.226,0.102\n 
320.31,5627.947,0.014,5627.947,0.014,5627.947,0.014,5627.947,0.014,5627.947,0.014,5627.947,0.014,5627.947,0.014,5627.947,0.014,5627.947,0.014,5627.947,0.014,5627.947,0.014,5627.947,0.014,5627.947,0.014,5627.947,0.014,5627.947,0.014,5627.947,0.014\n 
324.22,5598.22,-0.074,5598.22,-0.074,5598.22,-0.074,5598.22,-0.074,5598.22,-0.074,5598.22,-0.074,5598.22,-0.074,5598.22,-0.074,5598.22,-0.074,5598.22,-0.074,5598.22,-0.074,5598.22,-0.074,5598.22,-0.074,5598.22,-0.074,5598.22,-0.074,5598.22,-0.074\n 
328.12,5568.651,-0.16,5568.651,-0.16,5568.651,-0.16,5568.651,-0.16,5568.651,-0.16,5568.651,-0.16,5568.651,-0.16,5568.651,-0.16,5568.651,-0.16,5568.651,-0.16,5568.651,-0.16,5568.651,-0.16,5568.651,-0.16,5568.651,-0.16,5568.651,-0.16,5568.651,-0.16\n 
332.03,5539.238,-0.245,5539.238,-0.245,5539.238,-0.245,5539.238,-0.245,5539.238,-0.245,5539.238,-0.245,5539.238,-0.245,5539.238,-0.245,5539.238,-0.245,5539.238,-0.245,5539.238,-0.245,5539.238,-0.245,5539.238,-0.245,5539.238,-0.245,5539.238,-0.245,5539.238,-0.245\n 
335.94,5516.327,-0.33,5516.327,-0.33,5516.327,-0.33,5516.327,-0.33,5516.327,-0.33,5516.327,-0.33,5516.327,-0.33,5516.327,-0.33,5516.327,-0.33,5516.327,-0.33,5516.327,-0.33,5516.327,-0.33,5516.327,-0.33,5516.327,-0.33,5516.327,-0.33,5516.327,-0.33\n 
339.84,5496.674,-0.414,5496.674,-0.414,5496.674,-0.414,5496.674,-0.414,5496.674,-0.414,5496.674,-0.414,5496.674,-0.414,5496.674,-0.414,5496.674,-0.414,5496.674,-0.414,5496.674,-0.414,5496.674,-0.414,5496.674,-0.414,5496.674,-0.414,5496.674,-0.414,5496.674,-0.414\n 
343.75,5476.461,-0.497,5476.461,-0.497,5476.461,-0.497,5476.461,-0.497,5476.461,-0.497,5476.461,-0.497,5476.461,-0.497,5476.461,-0.497,5476.461,-0.497,5476.461,-0.497,5476.461,-0.497,5476.461,-0.497,5476.461,-0.497,5476.461,-0.497,5476.461,-0.497,5476.461,-0.497\n 
347.66,5456.95,-0.58,5456.95,-0.58,5456.95,-0.58,5456.95,-0.58,5456.95,-0.58,5456.95,-0.58,5456.95,-0.58,5456.95,-0.58,5456.95,-0.58,5456.95,-0.58,5456.95,-0.58,5456.95,-0.58,5456.95,-0.58,5456.95,-0.58,5456.95,-0.58,5456.95,-0.58\n 
351.56,5440.014,-0.662,5440.014,-0.662,5440.014,-0.662,5440.014,-0.662,5440.014,-0.662,5440.014,-0.662,5440.014,-0.662,5440.014,-0.662,5440.014,-0.662,5440.014,-0.662,5440.014,-0.662,5440.014,-0.662,5440.014,-0.662,5440.014,-0.662,5440.014,-0.662,5440.014,-0.662\n 
355.47,5428.127,-0.743,5428.127,-0.743,5428.127,-0.743,5428.127,-0.743,5428.127,-0.743,5428.127,-0.743,5428.127,-0.743,5428.127,-0.743,5428.127,-0.743,5428.127,-0.743,5428.127,-0.743,5428.127,-0.743,5428.127,-0.743,5428.127,-0.743,5428.127,-0.743,5428.127,-0.743\n 
359.37,5415.643,-0.823,5415.643,-0.823,5415.643,-0.823,5415.643,-0.823,5415.643,-0.823,5415.643,-0.823,5415.643,-0.823,5415.643,-0.823,5415.643,-0.823,5415.643,-0.823,5415.643,-0.823,5415.643,-0.823,5415.643,-0.823,5415.643,-0.823,5415.643,-0.823,5415.643,-0.823\n 
363.28,5403.809,-0.903,5403.809,-0.903,5403.809,-0.903,5403.809,-0.903,5403.809,-0.903,5403.809,-0.903,5403.809,-0.903,5403.809,-0.903,5403.809,-0.903,5403.809,-0.903,5403.809,-0.903,5403.809,-0.903,5403.809,-0.903,5403.809,-0.903,5403.809,-0.903,5403.809,-0.903\n 
367.19,5390.139,-0.983,5390.139,-0.983,5390.139,-0.983,5390.139,-0.983,5390.139,-0.983,5390.139,-0.983,5390.139,-0.983,5390.139,-0.983,5390.139,-0.983,5390.139,-0.983,5390.139,-0.983,5390.139,-0.983,5390.139,-0.983,5390.139,-0.983,5390.139,-0.983,5390.139,-0.983\n 
