Freq	ch	sigma	error
0, 0, 0.156653, 0.0327532
0, 1, 0.199698, 0.042977
0, 2, 0.228438, 0.0496294
0, 3, 0.174202, 0.0374145
0, 4, 0.115479, 0.0245705
0, 5, 0.167265, 0.0358429
0, 6, 0.138503, 0.029423
0, 7, 0.123789, 0.02622
1.95312, 0, 0.152856, 0.0255558
1.95312, 1, 0.186099, 0.0308693
1.95312, 2, 0.216337, 0.035597
1.95312, 3, 0.167121, 0.0280654
1.95312, 4, 0.115886, 0.0197864
1.95312, 5, 0.159217, 0.0271813
1.95312, 6, 0.140474, 0.0240799
1.95312, 7, 0.123642, 0.0212829
3.90625, 0, 0.148496, 0.0250636
3.90625, 1, 0.170476, 0.0286068
3.90625, 2, 0.194922, 0.0328987
3.90625, 3, 0.156638, 0.0269206
3.90625, 4, 0.113588, 0.0194582
3.90625, 5, 0.147399, 0.0261058
3.90625, 6, 0.135372, 0.0238405
3.90625, 7, 0.120745, 0.0211175
5.85937, 0, 0.148373, 0.0254851
5.85937, 1, 0.170806, 0.0293815
5.85937, 2, 0.196004, 0.0334627
5.85937, 3, 0.157122, 0.0274897
5.85937, 4, 0.113435, 0.0197736
5.85937, 5, 0.146918, 0.0257761
5.85937, 6, 0.134905, 0.0237062
5.85937, 7, 0.120129, 0.0210737
7.8125, 0, 0.148188, 0.0253183
7.8125, 1, 0.169453, 0.0293141
7.8125, 2, 0.194072, 0.0335098
7.8125, 3, 0.156262, 0.027328
7.8125, 4, 0.114092, 0.0197916
7.8125, 5, 0.146573, 0.0255049
7.8125, 6, 0.134917, 0.0237546
7.8125, 7, 0.121502, 0.0210688
9.76562, 0, 0.147747, 0.0250059
9.76562, 1, 0.169612, 0.029009
9.76562, 2, 0.194765, 0.0328741
9.76562, 3, 0.156025, 0.0267801
9.76562, 4, 0.113303, 0.0196959
9.76562, 5, 0.146555, 0.0258764
9.76562, 6, 0.135076, 0.0235376
9.76562, 7, 0.121413, 0.0210957
11.7187, 0, 0.147877, 0.0253137
11.7187, 1, 0.170356, 0.0293365
11.7187, 2, 0.194933, 0.0337546
11.7187, 3, 0.156492, 0.0272801
11.7187, 4, 0.113104, 0.0196913
11.7187, 5, 0.14669, 0.0257896
11.7187, 6, 0.136111, 0.0240273
11.7187, 7, 0.121192, 0.0214182
13.6719, 0, 0.1475, 0.0252044
13.6719, 1, 0.170894, 0.0296552
13.6719, 2, 0.19468, 0.0338223
13.6719, 3, 0.157081, 0.0273836
13.6719, 4, 0.113521, 0.019966
13.6719, 5, 0.147064, 0.0258988
13.6719, 6, 0.13549, 0.0238267
13.6719, 7, 0.120486, 0.0215248
15.625, 0, 0.148047, 0.0250334
15.625, 1, 0.171722, 0.0296239
15.625, 2, 0.196886, 0.0336518
15.625, 3, 0.158912, 0.0271337
15.625, 4, 0.114716, 0.0198777
15.625, 5, 0.147868, 0.025527
15.625, 6, 0.135955, 0.0237596
15.625, 7, 0.120784, 0.0211318
17.5781, 0, 0.148553, 0.0250303
17.5781, 1, 0.172125, 0.0292569
17.5781, 2, 0.19738, 0.0333363
17.5781, 3, 0.159606, 0.0273978
17.5781, 4, 0.11433, 0.0198531
17.5781, 5, 0.147375, 0.0257389
17.5781, 6, 0.136217, 0.0240326
17.5781, 7, 0.120909, 0.0211614
