Channel,trigger-delay(ns),trigger-masking,active-delays\n
0,19.44,0,0\n
1,19.8606,0,0\n
2,125.547,0,0\n
3,22.5759,0,0\n
4,93.41,0,0\n
5,93.8306,0,0\n
6,206.317,0,0\n
7,96.5459,0,0\n
8,7.24,0,0\n
9,7.66056,0,0\n
10,113.347,0,0\n
11,10.3759,0,0\n
12,81.2,0,0\n
13,81.6206,0,0\n
14,187.307,0,0\n
15,84.3359,1,0\n
