Channel,cable-delay(ns),masked-ant,delay-enable\n
0,23.571,1,1\n
1,20.61152,1,1\n
2,21.9055,1,1\n
3,12.4532,1,1\n
4,138.6438,1,1\n
5,141.5849,1,1\n
6,140.1052,1,1\n
7,130.5,1,1\n
8,6.86,1,1\n
9,6.86,1,1\n
10,6.86,1,1\n
11,6.86,1,1\n
12,120.54,1,1\n
13,120.54,1,1\n
14,120.54,1,1\n
15,120.54,1,1\n
