Channel,cable-delay(ns),masked-ant,delay-enable\n
0,19.1537,0,1\n
1,126.249,1,1\n
2,19.44,1,1\n
3,21.5614,1,1\n
4,93.1237,0,1\n
5,200.219,1,1\n
6,93.41,1,1\n
7,95.5314,0,1\n
8,6.95369,0,1\n
9,114.049,1,1\n
10,7.24,1,1\n
11,9.36141,1,1\n
12,80.9137,0,1\n
13,188.009,1,1\n
14,81.2,1,1\n
15,83.3214,1,1\n
