Channel,cable-delay(ns),masked-ant,delay-enable\n
0,19.44,1,1\n
1,19.8606,1,1\n
2,125.547,1,1\n
3,22.5759,1,1\n
4,93.41,1,1\n
5,93.8306,1,1\n
6,206.317,1,1\n
7,96.5459,1,1\n
8,7.24,1,1\n
9,7.66056,1,1\n
10,113.347,1,1\n
11,10.3759,1,1\n
12,81.2,1,1\n
13,81.6206,1,1\n
14,187.307,1,1\n
15,84.3359,1,1\n
