Channel,trigger-delay(ns),trigger-masking,active-delays\n
0,13.714,0,0\n
1,13.714,0,1\n
2,13.714,0,1\n
3,13.714,0,1\n
4,85.8187,0,1\n
5,81.94,0,1\n
6,85.8187,0,1\n
7,80.7578,0,1\n
8,2.19432,0,1\n
9,2.19432,0,1\n
10,2.19432,0,1\n
11,2.19432,0,1\n
12,72.5466,0,1\n
13,68.668,1,1\n
14,72.5466,0,1\n
15,68.668,1,1\n
