Channel,cable-delay(ns),masked-ant,delay-enable\n
0,19.1537,1,0\n
1,126.249,1,0\n
2,19.44,1,0\n
3,21.5614,1,0\n
4,93.1237,1,0\n
5,200.219,1,0\n
6,93.41,1,0\n
7,95.5314,1,0\n
8,6.95369,1,0\n
9,114.049,1,0\n
10,7.24,1,0\n
11,9.36141,1,0\n
12,80.9137,1,0\n
13,188.009,1,0\n
14,81.2,1,0\n
15,83.3214,1,0\n
