Channel,trigger-delay(ns),trigger-masking,active-delays\n
0,23.571,0,1\n
1,20.61152,0,1\n
2,21.9055,0,1\n
3,12.4532,0,1\n
4,138.6438,0,1\n
5,141.5849,0,1\n
6,140.1052,0,1\n
7,130.5,0,1\n
8,6.86,0,1\n
9,6.86,0,1\n
10,6.86,0,1\n
11,6.86,0,1\n
12,120.54,0,1\n
13,120.54,0,1\n
14,120.54,0,1\n
15,120.54,0,1\n
