Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
0.0,1.469739158758762e-11,0.0,1.2356954569839054e-10,0.0,2.8339905875868762e-12,0.0,1.1832133741555944e-10,0.0,4.638674755010679e-12,0.0,3.287868456739539e-11,0.0,4.106188945755836e-11,0.0,1.1927213013718963e-10,0.0,1.871909820208671e-10,0.0,3.717316816866173e-11,0.0,2.25166145944481e-12,0.0,1.5584414180641536e-11,0.0,2.3101645314244137e-11,0.0,3.1396578820484144e-11,0.0,5.67266183978354e-11,0.0,1.288701104086242e-10,0.0
0.859107,1.7578879926114084e-11,0.0,1.474514064937874e-10,0.0,3.3580679546008707e-12,0.0,1.3789426423572684e-10,0.0,5.5251737837905705e-12,0.0,3.902323488735806e-11,0.0,4.8889070641384026e-11,0.0,1.4028067019673485e-10,0.0,2.2448027674550766e-10,0.0,4.462924699505816e-11,0.0,2.654523225736433e-12,0.0,1.8880355998486546e-11,0.0,2.7708277935684457e-11,0.0,3.759788350775118e-11,0.0,6.785487232939153e-11,0.0,1.5458235190601402e-10,0.0
1.718213,2.0793145717211124e-11,0.0,1.7435213889321501e-10,0.0,3.9127738316453545e-12,0.0,1.5663053534600157e-10,0.0,6.5053489324790954e-12,0.0,4.566841736614387e-11,0.0,5.7493954197847096e-11,0.0,1.6186198957206387e-10,0.0,2.679340172325239e-10,0.0,5.33158065782692e-11,0.0,3.077133836444295e-12,0.0,2.2858920916805938e-11,0.0,3.3094497761148675e-11,0.0,4.4753436440857003e-11,0.0,8.06157043802138e-11,0.0,1.8463912974926703e-10,0.0
2.57732,2.4802705640552822e-11,0.0,2.0789794905857361e-10,0.0,4.678853077399392e-12,0.0,1.8746114118626422e-10,0.0,7.7599555310408e-12,0.0,5.453078983257266e-11,0.0,6.85662914649373e-11,0.0,1.934517636096634e-10,0.0,3.191501216462414e-10,0.0,6.351881772476756e-11,0.0,3.6802484662651716e-12,0.0,2.721455682527846e-11,0.0,3.9436327099564145e-11,0.0,5.3342822494808916e-11,0.0,9.606064103825496e-11,0.0,2.199430687468031e-10,0.0
3.436426,2.9743267555966576e-11,0.0,2.495600525998747e-10,0.0,5.707813945141608e-12,0.0,2.344667417082691e-10,0.0,9.359392031761146e-12,0.0,6.61450161232792e-11,0.0,8.271907149468366e-11,0.0,2.380510627282473e-10,0.0,3.7934640048804347e-10,0.0,7.541964309907564e-11,0.0,4.515993174321036e-12,0.0,3.188160876394131e-11,0.0,4.6853662169682686e-11,0.0,6.358059830910257e-11,0.0,1.1466685878286179e-10,0.0,2.612334416535462e-10,0.0
4.295533,3.540917541661519e-11,0.0,2.9721382569312315e-10,0.0,6.8460112630164945e-12,0.0,2.845655599612163e-10,0.0,1.1168358954946477e-11,0.0,7.91610334012615e-11,0.0,9.869176094094247e-11,0.0,2.8671845625600894e-10,0.0,4.50312396446549e-10,0.0,8.947095637251586e-11,0.0,5.437550066889671e-12,0.0,3.755735963294161e-11,0.0,5.5621060076803257e-11,0.0,7.55442513962937e-11,0.0,1.3631205299962193e-10,0.0,3.1002439634997785e-10,0.0
5.154639,4.221676753320369e-11,0.0,3.5353154039294466e-10,0.0,8.074471061733368e-12,0.0,3.289460092132576e-10,0.0,1.3260312368242566e-11,0.0,9.352501925914971e-11,0.0,1.1708886711450352e-10,0.0,3.3533663474201225e-10,0.0,5.38814654199263e-10,0.0,1.072196805491238e-10,0.0,6.3737981729874614e-12,0.0,4.551784028093416e-11,0.0,6.66079516543725e-11,0.0,9.02948371141223e-11,0.0,1.626955038963124e-10,0.0,3.7121335305533215e-10,0.0
6.013746,4.9943214950706865e-11,0.0,4.1812785339365655e-10,0.0,9.419664750986956e-12,0.0,3.7458196559441186e-10,0.0,1.5616037462792673e-11,0.0,1.0949823226968254e-10,0.0,1.377560432673841e-10,0.0,3.874585053497938e-10,0.0,6.430238401727405e-10,0.0,1.280271719274432e-10,0.0,7.401921337891237e-12,0.0,5.503602935700722e-11,0.0,7.951758067187282e-11,0.0,1.0744690744405084e-10,0.0,1.9325909195682203e-10,0.0,4.4297621383890446e-10,0.0
6.872852,5.970224359283164e-11,0.0,4.998143514271072e-10,0.0,1.1327103642830993e-11,0.0,4.526506344943467e-10,0.0,1.8689464464176866e-11,0.0,1.3134761655331263e-10,0.0,1.6481384494901937e-10,0.0,4.662329388911149e-10,0.0,7.664331752032792e-10,0.0,1.526210801355147e-10,0.0,8.909189583812144e-12,0.0,6.541422510959449e-11,0.0,9.48062857505448e-11,0.0,1.2821565506609238e-10,0.0,2.3056932925242366e-10,0.0,5.281349901376919e-10,0.0
7.731959,7.156683831937715e-11,0.0,5.996591056123086e-10,0.0,1.3811416123081752e-11,0.0,5.663960201549237e-10,0.0,2.252876128560549e-11,0.0,1.5929966601498333e-10,0.0,1.9872510297764774e-10,0.0,5.737981718610955e-10,0.0,9.111892728143836e-10,0.0,1.8118151128360297e-10,0.0,1.0932755031635025e-11,0.0,7.658834327155525e-11,0.0,1.1265008919931576e-10,0.0,1.5281584604545214e-10,0.0,2.752712469687165e-10,0.0,6.271598426697694e-10,0.0
8.591065,8.526097604507721e-11,0.0,7.149437702385204e-10,0.0,1.6540023693592784e-11,0.0,6.835183953829648e-10,0.0,2.6894763766703716e-11,0.0,1.9047791853319886e-10,0.0,2.371473907912794e-10,0.0,6.891173917293931e-10,0.0,1.0832335403876942e-09,0.0,2.1533570313537916e-10,0.0,1.3132667398235161e-11,0.0,9.061641029122874e-11,0.0,1.339581080236035e-10,0.0,1.8183596662613478e-10,0.0,3.275910248720797e-10,0.0,7.456476735244688e-10,0.0
9.450172,1.0150529063670042e-10,0.0,8.490338164591783e-10,0.0,1.9444339434466762e-11,0.0,7.85438558350403e-10,0.0,3.1855325837385245e-11,0.0,2.2439231794747136e-10,0.0,2.8083673520160704e-10,0.0,8.028282221478843e-10,0.0,1.2955807386469364e-09,0.0,2.580972916521338e-10,0.0,1.533331275481893e-11,0.0,1.0992755497438341e-10,0.0,1.6038972683350432e-10,0.0,2.1725194837831228e-10,0.0,3.9070146246310744e-10,0.0,8.926571917709788e-10,0.0
10.309278,1.200941260474096e-10,0.0,1.004344969834636e-09,0.0,2.2727610996880355e-11,0.0,8.981923132759758e-10,0.0,3.752646934077411e-11,0.0,2.630093716710405e-10,0.0,3.3055858717725595e-10,0.0,9.294302521214302e-10,0.0,1.5447345053701673e-09,0.0,3.078254263990709e-10,0.0,1.7846944834415113e-11,0.0,1.3266699852385674e-10,0.0,1.9130515008615907e-10,0.0,2.583192829043205e-10,0.0,4.6369888780483174e-10,0.0,1.0645422958049858e-09,0.0
11.168385,1.439424787292688e-10,0.0,1.20369520855547e-09,0.0,2.7474558843759497e-11,0.0,1.0953592889741237e-09,0.0,4.507260122230292e-11,0.0,3.168202606268282e-10,0.0,3.9692140603852977e-10,0.0,1.1260401554320153e-09,0.0,1.8436164068403355e-09,0.0,3.672960451570737e-10,0.0,2.1611162538948487e-11,0.0,1.5742007027123197e-10,0.0,2.2827507060364412e-10,0.0,3.0871234427927005e-10,0.0,5.546221067606394e-10,0.0,1.2700936297873775e-09,0.0
12.027491,1.7245474196414678e-10,0.0,1.4434667034881648e-09,0.0,3.3472930018414275e-11,0.0,1.3695603705667322e-09,0.0,5.429947913630822e-11,0.0,3.842008884368075e-10,0.0,4.782298906661341e-10,0.0,1.3846076078022237e-09,0.0,2.191755235210818e-09,0.0,4.360096676087218e-10,0.0,2.6508896896746958e-11,0.0,1.8437944186935043e-10,0.0,2.7125969750113355e-10,0.0,3.6787091872995367e-10,0.0,6.616606340709503e-10,0.0,1.5084724437511646e-09,0.0
12.886598,2.0564557555171615e-10,0.0,1.72130132114251e-09,0.0,4.000722158396149e-11,0.0,1.6428190364660952e-09,0.0,6.483715256676363e-11,0.0,4.588883792550859e-10,0.0,5.706494563171064e-10,0.0,1.6573531807130414e-09,0.0,2.609559525883127e-09,0.0,5.190877994825321e-10,0.0,3.1739199281406393e-11,0.0,2.1896923919711577e-10,0.0,3.2311664458625823e-10,0.0,4.383615183276441e-10,0.0,7.884532414402416e-10,0.0,1.7962547826119933e-09,0.0
13.745704,2.4456210804002777e-10,0.0,2.042665072539331e-09,0.0,4.6921725525305997e-11,0.0,1.8786742706290794e-09,0.0,7.668237541517022e-11,0.0,5.394774865701792e-10,0.0,6.74655499352262e-10,0.0,1.9246641564594753e-09,0.0,3.119888095061213e-09,0.0,6.2211477732526e-10,0.0,3.6959868083423765e-11,0.0,2.659884523902453e-10,0.0,3.869223755331917e-10,0.0,5.235234360120757e-10,0.0,9.398209087037394e-10,0.0,2.150875336694911e-09,0.0
14.604811,2.8916978418699615e-10,0.0,2.4133904636912716e-09,0.0,5.490566185277488e-11,0.0,2.157891097966852e-09,0.0,9.029305699559062e-11,0.0,6.327640746589378e-10,0.0,7.943339153660954e-10,0.0,2.2348759888195543e-09,0.0,3.7151806746281494e-09,0.0,7.406078438226999e-10,0.0,4.31013817305971e-11,0.0,3.201134799104482e-10,0.0,4.6075122094206844e-10,0.0,6.216980201631358e-10,0.0,1.1139562919875078e-09,0.0,2.5613916126727855e-09,0.0
