Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)\n
105.47,0.935,0.95,0.935,0.95,0.935,0.95,0.935,0.95,0.935,0.95,0.935,0.95,0.935,0.95,0.935,0.95,0.935,0.95,0.935,0.95,0.935,0.95,0.935,0.95,0.935,0.95,0.935,0.95,0.935,0.95,0.935,0.95\n
109.37,0.913,0.904,0.913,0.904,0.913,0.904,0.913,0.904,0.913,0.904,0.913,0.904,0.913,0.904,0.913,0.904,0.913,0.904,0.913,0.904,0.913,0.904,0.913,0.904,0.913,0.904,0.913,0.904,0.913,0.904,0.913,0.904\n
113.28,0.892,0.803,0.892,0.803,0.892,0.803,0.892,0.803,0.892,0.803,0.892,0.803,0.892,0.803,0.892,0.803,0.892,0.803,0.892,0.803,0.892,0.803,0.892,0.803,0.892,0.803,0.892,0.803,0.892,0.803,0.892,0.803\n
117.19,0.919,0.682,0.919,0.682,0.919,0.682,0.919,0.682,0.919,0.682,0.919,0.682,0.919,0.682,0.919,0.682,0.919,0.682,0.919,0.682,0.919,0.682,0.919,0.682,0.919,0.682,0.919,0.682,0.919,0.682,0.919,0.682\n
121.09,1.35,-2.58,1.35,-2.58,1.35,-2.58,1.35,-2.58,1.35,-2.58,1.35,-2.58,1.35,-2.58,1.35,-2.58,1.35,-2.58,1.35,-2.58,1.35,-2.58,1.35,-2.58,1.35,-2.58,1.35,-2.58,1.35,-2.58,1.35,-2.58\n
125,1.982,-2.309,1.982,-2.309,1.982,-2.309,1.982,-2.309,1.982,-2.309,1.982,-2.309,1.982,-2.309,1.982,-2.309,1.982,-2.309,1.982,-2.309,1.982,-2.309,1.982,-2.309,1.982,-2.309,1.982,-2.309,1.982,-2.309,1.982,-2.309\n
128.91,2.909,-0.162,2.909,-0.162,2.909,-0.162,2.909,-0.162,2.909,-0.162,2.909,-0.162,2.909,-0.162,2.909,-0.162,2.909,-0.162,2.909,-0.162,2.909,-0.162,2.909,-0.162,2.909,-0.162,2.909,-0.162,2.909,-0.162,2.909,-0.162\n
132.81,4.271,1.603,4.271,1.603,4.271,1.603,4.271,1.603,4.271,1.603,4.271,1.603,4.271,1.603,4.271,1.603,4.271,1.603,4.271,1.603,4.271,1.603,4.271,1.603,4.271,1.603,4.271,1.603,4.271,1.603,4.271,1.603\n
136.72,12.508,-0.316,12.508,-0.316,12.508,-0.316,12.508,-0.316,12.508,-0.316,12.508,-0.316,12.508,-0.316,12.508,-0.316,12.508,-0.316,12.508,-0.316,12.508,-0.316,12.508,-0.316,12.508,-0.316,12.508,-0.316,12.508,-0.316,12.508,-0.316\n
140.62,40.705,-1.407,40.705,-1.407,40.705,-1.407,40.705,-1.407,40.705,-1.407,40.705,-1.407,40.705,-1.407,40.705,-1.407,40.705,-1.407,40.705,-1.407,40.705,-1.407,40.705,-1.407,40.705,-1.407,40.705,-1.407,40.705,-1.407,40.705,-1.407\n
144.53,132.465,-2.063,132.465,-2.063,132.465,-2.063,132.465,-2.063,132.465,-2.063,132.465,-2.063,132.465,-2.063,132.465,-2.063,132.465,-2.063,132.465,-2.063,132.465,-2.063,132.465,-2.063,132.465,-2.063,132.465,-2.063,132.465,-2.063,132.465,-2.063\n
148.44,431.023,-2.502,431.023,-2.502,431.023,-2.502,431.023,-2.502,431.023,-2.502,431.023,-2.502,431.023,-2.502,431.023,-2.502,431.023,-2.502,431.023,-2.502,431.023,-2.502,431.023,-2.502,431.023,-2.502,431.023,-2.502,431.023,-2.502,431.023,-2.502\n
152.34,827.752,-2.827,827.752,-2.827,827.752,-2.827,827.752,-2.827,827.752,-2.827,827.752,-2.827,827.752,-2.827,827.752,-2.827,827.752,-2.827,827.752,-2.827,827.752,-2.827,827.752,-2.827,827.752,-2.827,827.752,-2.827,827.752,-2.827,827.752,-2.827\n
156.25,1118.279,-1.972,1118.279,-1.972,1118.279,-1.972,1118.279,-1.972,1118.279,-1.972,1118.279,-1.972,1118.279,-1.972,1118.279,-1.972,1118.279,-1.972,1118.279,-1.972,1118.279,-1.972,1118.279,-1.972,1118.279,-1.972,1118.279,-1.972,1118.279,-1.972,1118.279,-1.972\n
160.16,1510.95,2.956,1510.95,2.956,1510.95,2.956,1510.95,2.956,1510.95,2.956,1510.95,2.956,1510.95,2.956,1510.95,2.956,1510.95,2.956,1510.95,2.956,1510.95,2.956,1510.95,2.956,1510.95,2.956,1510.95,2.956,1510.95,2.956,1510.95,2.956\n
164.06,2041.268,2.748,2041.268,2.748,2041.268,2.748,2041.268,2.748,2041.268,2.748,2041.268,2.748,2041.268,2.748,2041.268,2.748,2041.268,2.748,2041.268,2.748,2041.268,2.748,2041.268,2.748,2041.268,2.748,2041.268,2.748,2041.268,2.748,2041.268,2.748\n
167.97,2647.89,2.558,2647.89,2.558,2647.89,2.558,2647.89,2.558,2647.89,2.558,2647.89,2.558,2647.89,2.558,2647.89,2.558,2647.89,2.558,2647.89,2.558,2647.89,2.558,2647.89,2.558,2647.89,2.558,2647.89,2.558,2647.89,2.558,2647.89,2.558\n
171.87,3164.463,2.385,3164.463,2.385,3164.463,2.385,3164.463,2.385,3164.463,2.385,3164.463,2.385,3164.463,2.385,3164.463,2.385,3164.463,2.385,3164.463,2.385,3164.463,2.385,3164.463,2.385,3164.463,2.385,3164.463,2.385,3164.463,2.385,3164.463,2.385\n
175.78,3782.248,2.228,3782.248,2.228,3782.248,2.228,3782.248,2.228,3782.248,2.228,3782.248,2.228,3782.248,2.228,3782.248,2.228,3782.248,2.228,3782.248,2.228,3782.248,2.228,3782.248,2.228,3782.248,2.228,3782.248,2.228,3782.248,2.228,3782.248,2.228\n
