Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
0.0,2.0885921306568433e-09,0.0,4.502642285333386e-09,0.0,2.269211333910143e-09,0.0,2.4457467358260443e-09,0.0,2.029397953835526e-09,0.0,2.7129006422902703e-09,0.0,2.738345866007907e-09,0.0,1.3092457661990006e-09,0.0,1.0645946522323884e-09,0.0,1.42403199763634e-09,0.0,1.4269639575708827e-09,0.0,1.537425548104772e-09,0.0,1.2245435379471632e-09,0.0,1.420859198135746e-09,0.0,1.4212780495549662e-09,0.0,1.0420834827063902e-09,0.0
0.87719,4.464348794331165e-09,0.0,6.8915927687131505e-09,0.0,4.315132976233913e-09,0.0,4.550485588693833e-09,0.0,4.9927822161050515e-09,0.0,4.853608360783607e-09,0.0,5.173024453081053e-09,0.0,2.7475187120888328e-09,0.0,1.995345333452911e-09,0.0,3.352727599005811e-09,0.0,3.5835775587091127e-09,0.0,3.1983075520247453e-09,0.0,3.644070174930013e-09,0.0,3.372308902854363e-09,0.0,3.6563739353696113e-09,0.0,2.79622066085868e-09,0.0
1.7544,8.323300218606702e-09,0.0,1.072364346058926e-08,0.0,7.567336234626836e-09,0.0,7.83853205728654e-09,0.0,1.0502594624095716e-08,0.0,8.65998346066151e-09,0.0,9.533885533008349e-09,0.0,5.049086318133749e-09,0.0,3.55657211345488e-09,0.0,6.439369362666408e-09,0.0,6.977017515663142e-09,0.0,5.6941384463040634e-09,0.0,7.433492263614971e-09,0.0,6.485432547495167e-09,0.0,7.199469504411076e-09,0.0,5.483875033855443e-09,0.0
2.6316,1.3092771800554421e-08,0.0,1.5620540115549294e-08,0.0,1.15884669284245e-08,0.0,1.1936951309215838e-08,0.0,1.819930359083424e-08,0.0,1.3991731659056119e-08,0.0,1.5556246422698967e-08,0.0,7.89408222676064e-09,0.0,5.648127617902708e-09,0.0,1.022989093632682e-08,0.0,1.1133489574296383e-08,0.0,8.893000976459276e-09,0.0,1.2034229551329767e-08,0.0,1.0330321035370382e-08,0.0,1.1490455696326935e-08,0.0,8.925985525722879e-09,0.0
3.5088,1.8287157676015712e-08,0.0,2.1439747595632554e-08,0.0,1.5970490476307902e-08,0.0,1.669625527296198e-08,0.0,2.7233091000578963e-08,0.0,2.0168533538298762e-08,0.0,2.248844683650553e-08,0.0,1.0992336646019123e-08,0.0,8.04876405587872e-09,0.0,1.432649865586799e-08,0.0,1.5626404035418375e-08,0.0,1.2612977499837498e-08,0.0,1.6929555513467724e-08,0.0,1.4528594465641815e-08,0.0,1.6104522930458417e-08,0.0,1.2788371531636025e-08,0.0
4.386,2.3203530921969492e-08,0.0,2.7534978160982034e-08,0.0,2.0261413840510877e-08,0.0,2.1500481051419504e-08,0.0,3.596237342855048e-08,0.0,2.619276878809039e-08,0.0,2.9040853725934034e-08,0.0,1.3958747109792515e-08,0.0,1.046914933827097e-08,0.0,1.8243073564142766e-08,0.0,1.981565121760561e-08,0.0,1.6352587683491672e-08,0.0,2.141765318326868e-08,0.0,1.8548625674464022e-08,0.0,2.0392200196162437e-08,0.0,1.6577406182758205e-08,0.0
5.2632,2.718324768169174e-08,0.0,3.3407065632741864e-08,0.0,2.4023223149383734e-08,0.0,2.5865331691114878e-08,0.0,4.237970073528042e-08,0.0,3.0865789359477145e-08,0.0,3.399502831247245e-08,0.0,1.6485991860513357e-08,0.0,1.2616433024046067e-08,0.0,2.1494826557260034e-08,0.0,2.321483991028844e-08,0.0,1.9701933057287282e-08,0.0,2.4931083600543865e-08,0.0,2.2019019108414314e-08,0.0,2.3834844723589378e-08,0.0,1.9854813825302715e-08,0.0
6.1404,3.001960477979721e-08,0.0,3.8836741292950195e-08,0.0,2.7396128915510486e-08,0.0,2.993070356606769e-08,0.0,4.445008330048665e-08,0.0,3.344350570621404e-08,0.0,3.611755787937163e-08,0.0,1.8600772676156957e-08,0.0,1.4357074809471077e-08,0.0,2.403379914771905e-08,0.0,2.560354955410215e-08,0.0,2.2577348050235052e-08,0.0,2.725466184866881e-08,0.0,2.4852653672294854e-08,0.0,2.628575380315731e-08,0.0,2.2428446370702216e-08,0.0
7.0175,3.244213667571296e-08,0.0,4.459521531724651e-08,0.0,3.1030083828666325e-08,0.0,3.4112201996999346e-08,0.0,4.201498586199429e-08,0.0,3.453649848466957e-08,0.0,3.605619614645584e-08,0.0,2.0818067376654736e-08,0.0,1.5921589573113924e-08,0.0,2.663067794688528e-08,0.0,2.7618434306261692e-08,0.0,2.5293808929588692e-08,0.0,2.9165357310297287e-08,0.0,2.7617282464858837e-08,0.0,2.8423885585422444e-08,0.0,2.4708568784083048e-08,0.0
7.8947,3.630091008813533e-08,0.0,5.201453993160635e-08,0.0,3.6049075672329095e-08,0.0,3.914595835318962e-08,0.0,4.132105377320096e-08,0.0,3.7389819065253464e-08,0.0,3.8090871628173546e-08,0.0,2.401201887391959e-08,0.0,1.8153229934720002e-08,0.0,3.05316506397941e-08,0.0,3.0702332593126396e-08,0.0,2.8637290383515217e-08,0.0,3.232307815979958e-08,0.0,3.161354385564029e-08,0.0,3.170097908940254e-08,0.0,2.7618120167697275e-08,0.0
