Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
0.0,1.6706726558442488e-10,0.0,3.135699736136782e-11,0.0,9.515550312131978e-11,0.0,1.1432340061910109e-10,0.0,3.34858096995553e-10,0.0,3.8039562329319043e-11,0.0,2.0244659783742065e-10,0.0,1.4342624435507973e-10,0.0,5.0209499740476215e-11,0.0,2.3951599556697054e-10,0.0,9.84746911929315e-11,0.0,2.5547947028200644e-10,0.0,3.314769189138966e-10,0.0,4.017633284447171e-11,0.0,1.0082057327912993e-10,0.0,2.2741328380859824e-10,0.0
0.859107,1.9980573963923627e-10,0.0,3.75963128149291e-11,0.0,1.1364381419141607e-10,0.0,1.3676127114673576e-10,0.0,4.0124290555633585e-10,0.0,4.547637399043134e-11,0.0,2.421421939654822e-10,0.0,1.7130290056129078e-10,0.0,6.01292626147268e-11,0.0,2.876106097789483e-10,0.0,1.1785431808312874e-10,0.0,3.049154561640375e-10,0.0,3.971151248199192e-10,0.0,4.804047766604358e-11,0.0,1.2042187728294954e-10,0.0,2.7227436506419484e-10,0.0
1.718213,2.383882381207197e-10,0.0,4.5247471689827413e-11,0.0,1.3570890695594463e-10,0.0,1.633332051820754e-10,0.0,4.801524186803555e-10,0.0,5.4250997084533465e-11,0.0,2.897090553892423e-10,0.0,2.0413980469961894e-10,0.0,7.192275731285965e-11,0.0,3.483576782370252e-10,0.0,1.4109428907857039e-10,0.0,3.6199443331829204e-10,0.0,4.76664433486798e-10,0.0,5.7310916127647804e-11,0.0,1.4344928118313688e-10,0.0,3.2610410233384745e-10,0.0
2.57732,2.8451006214816964e-10,0.0,5.424670385748645e-11,0.0,1.622619926774193e-10,0.0,1.947889467655244e-10,0.0,5.738515754170461e-10,0.0,6.469746561845364e-11,0.0,3.46359756967344e-10,0.0,2.4309612807275654e-10,0.0,8.589574537090567e-11,0.0,4.1906712770125827e-10,0.0,1.6859921465022335e-10,0.0,4.3021381109526005e-10,0.0,5.704295593220158e-10,0.0,6.834534734129856e-11,0.0,1.7070708441744982e-10,0.0,3.898051204259759e-10,0.0
3.436426,3.389712179322969e-10,0.0,6.469421951995469e-11,0.0,1.93299929970196e-10,0.0,2.3211698524644286e-10,0.0,6.836880302077492e-10,0.0,7.705829456392048e-11,0.0,4.127141988002334e-10,0.0,2.8928915684147393e-10,0.0,1.024162924735047e-10,0.0,4.993263895237155e-10,0.0,2.0096176955628445e-10,0.0,5.118992620001627e-10,0.0,6.800042319757061e-10,0.0,8.136974164766527e-11,0.0,2.031617866357394e-10,0.0,4.64341824733335e-10,0.0
4.295533,4.0340732026515705e-10,0.0,7.68156748793371e-11,0.0,2.3009812140580073e-10,0.0,2.7656130933991527e-10,0.0,8.133152145566141e-10,0.0,9.184647219662412e-11,0.0,4.905692534763659e-10,0.0,3.452948272339763e-10,0.0,1.219391665490753e-10,0.0,5.922778964770977e-10,0.0,2.3896520595069573e-10,0.0,6.120215052505975e-10,0.0,8.075444891283055e-10,0.0,9.700263788008156e-11,0.0,2.425767523129233e-10,0.0,5.527079557748023e-10,0.0
5.154639,4.798812123864104e-10,0.0,9.055138360839478e-11,0.0,2.7302096771895514e-10,0.0,3.284873669092113e-10,0.0,9.642493706012188e-10,0.0,1.0925529844653473e-10,0.0,5.817553016977343e-10,0.0,4.112094750766843e-10,0.0,1.4487861165122635e-10,0.0,6.943477988269072e-10,0.0,2.833571736167656e-10,0.0,7.310119578083614e-10,0.0,9.550859486772253e-10,0.0,1.1543545113713115e-10,0.0,2.891718784440922e-10,0.0,6.549192204785986e-10,0.0
6.013746,5.703154223102781e-10,0.0,1.0710659066593429e-10,0.0,3.248726791613396e-10,0.0,3.905464874379959e-10,0.0,1.1443334911664644e-09,0.0,1.2993085162779975e-10,0.0,6.907257811791992e-10,0.0,4.89419506330606e-10,0.0,1.7212280221441462e-10,0.0,8.185854125389542e-10,0.0,3.3618271460883737e-10,0.0,8.715177606429271e-10,0.0,1.1330873305603977e-09,0.0,1.3724504453593528e-10,0.0,3.439408900213464e-10,0.0,7.764552425366744e-10,0.0
6.872852,6.806168021763158e-10,0.0,1.2792455332973422e-10,0.0,3.872407026117992e-10,0.0,4.657523068875596e-10,0.0,1.3655289256567363e-09,0.0,1.54972930854437e-10,0.0,8.24382316180964e-10,0.0,5.836673584264752e-10,0.0,2.0541730152824104e-10,0.0,9.770662240293617e-10,0.0,4.0145442552304213e-10,0.0,1.0389148717199881e-09,0.0,1.3505654587050891e-09,0.0,1.6369655878824905e-10,0.0,4.1025449384086185e-10,0.0,9.264867737728591e-10,0.0
7.731959,8.123623275778878e-10,0.0,1.538252779657732e-10,0.0,4.6225489753706956e-10,0.0,5.565341634893803e-10,0.0,1.6341802259446751e-09,0.0,1.850810179965445e-10,0.0,9.859909006443997e-10,0.0,6.96051476974586e-10,0.0,2.459809672226368e-10,0.0,1.1790981589617544e-09,0.0,4.807429991814563e-10,0.0,1.2356116867000613e-09,0.0,1.6206513251038575e-09,0.0,1.9551774823496785e-10,0.0,4.89112697666027e-10,0.0,1.1098620193646288e-09,0.0
