Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
0.0,1.7468722002859128e-11,0.0,1.4906712584342993e-10,0.0,1.963188015742268e-11,0.0,1.5183049808173625e-10,0.0,8.98628965880513e-12,0.0,3.8462392837022e-11,0.0,5.018782417953156e-11,0.0,1.4654249891407922e-10,0.0,2.643298007701327e-10,0.0,5.045557494926817e-11,0.0,1.5288076801543132e-11,0.0,1.3758117279985961e-11,0.0,2.8419173506956212e-11,0.0,3.7448039412525094e-11,0.0,7.169207489372406e-11,0.0,1.5996773402863977e-10,0.0
0.859107,2.090131409622478e-11,0.0,1.7850923922897708e-10,0.0,2.3442590369489512e-11,0.0,1.8091344637530194e-10,0.0,1.0734847736053404e-11,0.0,4.595229391552048e-11,0.0,5.99320883091288e-11,0.0,1.7462543944425628e-10,0.0,3.161490512275275e-10,0.0,6.033586107725724e-11,0.0,1.8257000373831848e-11,0.0,1.6584840795449365e-11,0.0,3.3940682340828605e-11,0.0,4.4842651793150934e-11,0.0,8.554935524721044e-11,0.0,1.9085488481049718e-10,0.0
1.718213,2.5004173173197816e-11,0.0,2.1399851997951814e-10,0.0,2.7917598932439835e-11,0.0,2.148864849882653e-10,0.0,1.2795387292907965e-11,0.0,5.481005901633784e-11,0.0,7.106494960629637e-11,0.0,2.072246454021769e-10,0.0,3.7757675324183745e-10,0.0,7.187155272685996e-11,0.0,2.177273447391274e-11,0.0,2.0154083164335663e-11,0.0,4.042753898314912e-11,0.0,5.3562824202754417e-11,0.0,1.0188613128962653e-10,0.0,2.264802922722849e-10,0.0
2.57732,2.991342594502485e-11,0.0,2.5608366345423187e-10,0.0,3.324465599493917e-11,0.0,2.5465642724323847e-10,0.0,1.5264411696357182e-11,0.0,6.534637117968078e-11,0.0,8.434191131845293e-11,0.0,2.462856816301196e-10,0.0,4.504841255284294e-10,0.0,8.548192016871595e-11,0.0,2.591433730716366e-11,0.0,2.4384377785606487e-11,0.0,4.807859314519263e-11,0.0,6.392311405717e-11,0.0,1.2100617501276192e-10,0.0,2.692554934601641e-10,0.0
3.436426,3.563608817297782e-11,0.0,3.0532383629777737e-10,0.0,3.9594443510319826e-11,0.0,3.027719840261773e-10,0.0,1.8184224939742308e-11,0.0,7.784594465776437e-11,0.0,1.0035805659945586e-10,0.0,2.9315724969797397e-10,0.0,5.365612335638575e-10,0.0,1.0176257012095653e-10,0.0,3.086599878518675e-11,0.0,2.9124414584068496e-11,0.0,5.72347898822045e-11,0.0,7.612415118620428e-11,0.0,1.4399274089957527e-10,0.0,3.204715978738816e-10,0.0
4.295533,4.239645479204923e-11,0.0,3.6264888866082385e-10,0.0,4.732591714485365e-11,0.0,3.6278082685787823e-10,0.0,2.1661110570690513e-11,0.0,9.275548448918711e-11,0.0,1.1996323497890323e-10,0.0,3.499336067018418e-10,0.0,6.390290447619263e-10,0.0,1.2144596900294331e-10,0.0,3.690018175618487e-11,0.0,3.4315135509611603e-11,0.0,6.839361996736371e-11,0.0,9.071546865187436e-11,0.0,1.7202856064509006e-10,0.0,3.826710336281051e-10,0.0
5.154639,5.0335259879097125e-11,0.0,4.2920123778929485e-10,0.0,5.65229518952395e-11,0.0,4.34016981981781e-10,0.0,2.582156171780635e-11,0.0,1.1037363173585311e-10,0.0,1.4351839166730823e-10,0.0,4.186220980683366e-10,0.0,7.593954242318291e-10,0.0,1.4482101958108355e-10,0.0,4.401866633868968e-11,0.0,4.012345285279514e-11,0.0,8.156105203339416e-11,0.0,1.078102610502245e-10,0.0,2.0518798037621789e-10,0.0,4.574883683863418e-10,0.0
6.013746,5.97382648148846e-11,0.0,5.086447864728205e-10,0.0,6.747151856795009e-11,0.0,5.177893600829489e-10,0.0,3.071426985857418e-11,0.0,1.3137484189556193e-10,0.0,1.7112593583667018e-10,0.0,4.99910687253528e-10,0.0,9.021808259155017e-10,0.0,1.7245160057850262e-10,0.0,5.250669034919027e-11,0.0,4.711879511804918e-11,0.0,9.71311205529274e-11,0.0,1.2789837511603296e-10,0.0,2.4436315361589813e-10,0.0,5.458702063560299e-10,0.0
6.872852,7.127772612726031e-11,0.0,6.076445079197447e-10,0.0,8.047758812472589e-11,0.0,6.168540034998524e-10,0.0,3.662248326524176e-11,0.0,1.5670278721581708e-10,0.0,2.0398797106015155e-10,0.0,5.955428432899205e-10,0.0,1.075903640551338e-09,0.0,2.058382472045575e-10,0.0,6.26599628896562e-11,0.0,5.640734890353468e-11,0.0,1.1582288869990999e-10,0.0,1.5271741596193537e-10,0.0,2.9128917236825114e-10,0.0,6.505903910609562e-10,0.0
7.731959,8.533228549919947e-11,0.0,7.282423027987668e-10,0.0,9.582283814499261e-11,0.0,7.328800351380843e-10,0.0,4.3715417911174144e-11,0.0,1.8700982878205428e-10,0.0,2.424039761024949e-10,0.0,7.075803622886265e-10,0.0,1.2863345935676468e-09,0.0,2.4528462673818293e-10,0.0,7.478770102032692e-11,0.0,6.845163088892573e-11,0.0,1.3809426578840457e-10,0.0,1.827333557918144e-10,0.0,3.4722049663384187e-10,0.0,7.731756359241789e-10,0.0
8.591065,1.0221587206940776e-10,0.0,8.727743149005883e-10,0.0,1.1424277172090118e-10,0.0,8.695701015435526e-10,0.0,5.217433174803892e-11,0.0,2.232038270454336e-10,0.0,2.877854802464728e-10,0.0,8.404808704786985e-10,0.0,1.536378419556721e-09,0.0,2.918776586122558e-10,0.0,8.90525238047147e-11,0.0,8.311006929452586e-11,0.0,1.6435101413078086e-10,0.0,2.1833153791135277e-10,0.0,4.125916847601115e-10,0.0,9.187516351884071e-10,0.0
9.450172,1.2169623272592748e-10,0.0,1.0406813775805502e-09,0.0,1.3590681425152622e-10,0.0,1.0323451872095167e-09,0.0,6.208948725667808e-11,0.0,2.6573818866726113e-10,0.0,3.418633869820135e-10,0.0,9.99121892636958e-10,0.0,1.8298047812915441e-09,0.0,3.4687180282734094e-10,0.0,1.0586993185068618e-10,0.0,9.962674202149711e-11,0.0,1.953240294535784e-10,0.0,2.5974337772966977e-10,0.0,4.904383624078594e-10,0.0,1.0912440737802838e-09,0.0
10.309278,1.4522730545772728e-10,0.0,1.2398316147487066e-09,0.0,1.628002167511175e-10,0.0,1.235936296549957e-09,0.0,7.413565407345562e-11,0.0,3.1706005306433184e-10,0.0,4.087979380305231e-10,0.0,1.1940197407714794e-09,0.0,2.182760400983061e-09,0.0,4.1480426738214304e-10,0.0,1.2673815668479255e-10,0.0,1.1816007961915959e-10,0.0,2.3367197114029843e-10,0.0,3.102610474018373e-10,0.0,5.864747100637996e-10,0.0,1.305591287566303e-09,0.0
11.168385,1.7254374789073112e-10,0.0,1.469990469610294e-09,0.0,1.9446328978708058e-10,0.0,1.4804093986634005e-09,0.0,8.834895813327931e-11,0.0,3.7780398013676447e-10,0.0,4.888655753286871e-10,0.0,1.429026800810543e-09,0.0,2.5965123041744125e-09,0.0,4.952090800727793e-10,0.0,1.5154777337376253e-10,0.0,1.3840002732443541e-10,0.0,2.7908070062652567e-10,0.0,3.690133359758772e-10,0.0,7.00513291717831e-10,0.0,1.5615513898518646e-09,0.0
12.027491,2.046947828300859e-10,0.0,1.7421287079632422e-09,0.0,2.3239028579748417e-10,0.0,1.7692598086432411e-09,0.0,1.052322305649232e-10,0.0,4.4971029753141976e-10,0.0,5.842547975419318e-10,0.0,1.7082331568628346e-09,0.0,3.085301439119092e-09,0.0,5.907312876116266e-10,0.0,1.8062862741023207e-10,0.0,1.6213424299455711e-10,0.0,3.3286750562570817e-10,0.0,4.3807041659128597e-10,0.0,8.344462686562813e-10,0.0,1.8661191993379494e-09,0.0
12.886598,2.439715275389271e-10,0.0,2.0730213291473264e-09,0.0,2.770534597574992e-10,0.0,2.109545172903342e-09,0.0,1.253548998728173e-10,0.0,5.362376708425098e-10,0.0,6.96051476974586e-10,0.0,2.0361100478285325e-09,0.0,3.674803397815307e-09,0.0,7.036452532050512e-10,0.0,2.1575874306879172e-10,0.0,1.9271877362602778e-10,0.0,3.9648684769108866e-10,0.0,5.2175902440861e-10,0.0,9.947763091625467e-10,0.0,2.2256926714531476e-09,0.0
13.745704,2.9225253063245795e-10,0.0,2.4870454857611717e-09,0.0,3.3060151944772607e-10,0.0,2.5111503849373033e-09,0.0,1.4983048255495904e-10,0.0,6.403107301047406e-10,0.0,8.287090513415103e-10,0.0,2.4230973453317033e-09,0.0,4.397049842547934e-09,0.0,8.400389822314211e-10,0.0,2.575800101493966e-10,0.0,2.3341437751747795e-10,0.0,4.733879682599467e-10,0.0,6.251430730862233e-10,0.0,1.1854647005339037e-09,0.0,2.6487221335802305e-09,0.0
14.604811,3.4990533423104436e-10,0.0,2.9836043145323884e-09,0.0,3.9385750790693283e-10,0.0,2.9811540337299494e-09,0.0,1.7878253978001834e-10,0.0,7.647420625981771e-10,0.0,9.84601361061136e-10,0.0,2.8789019310127794e-09,0.0,5.2579675208989426e-09,0.0,1.0003732112518787e-09,0.0,3.071584055139625e-10,0.0,2.8382000443500403e-10,0.0,5.640954787348559e-10,0.0,7.470215061795116e-10,0.0,1.4119271916208718e-09,0.0,3.14697731059929e-09,0.0
15.463918,4.1779381938682835e-10,0.0,3.5653679932585076e-09,0.0,4.695607134168206e-10,0.0,3.54217409591918e-09,0.0,2.1306762270030088e-10,0.0,9.121976576061566e-10,0.0,1.1706268890080224e-09,0.0,3.4245815599730638e-09,0.0,6.271881151405667e-09,0.0,1.1904595037081064e-09,0.0,3.656656660077585e-10,0.0,3.426016126083894e-10,0.0,6.708261502520399e-10,0.0,8.909095342242818e-10,0.0,1.6784109358143452e-09,0.0,3.7431704207175505e-09,0.0
16.323024,4.987965424784017e-10,0.0,4.253111552332857e-09,0.0,5.617698062296349e-10,0.0,4.229729171854881e-09,0.0,2.5456742131665416e-10,0.0,1.0875791238621055e-09,0.0,1.3967647702450946e-09,0.0,4.087811839737543e-09,0.0,7.483702077494012e-09,0.0,1.4220005682531214e-09,0.0,4.371499905975492e-10,0.0,4.0791625579306426e-10,0.0,8.010889416295718e-10,0.0,1.0635894088262596e-09,0.0,2.0042459261113435e-09,0.0,4.469542551929498e-09,0.0
17.182131,5.934464919367226e-10,0.0,5.050908321807358e-09,0.0,6.717340107032e-10,0.0,5.0667618480248475e-09,0.0,3.031960710881379e-10,0.0,1.2967325800497922e-09,0.0,1.6706517132732879e-09,0.0,4.895880940268422e-09,0.0,8.914226272128267e-09,0.0,1.699740944338142e-09,0.0,5.229914947096658e-10,0.0,4.793126215848187e-10,0.0,9.580838777102952e-10,0.0,1.2663134957289135e-09,0.0,2.3981861571735725e-09,0.0,5.34433468354218e-09,0.0
18.041237,7.050389813025069e-10,0.0,5.9854705509427855e-09,0.0,8.03007281129601e-10,0.0,6.064874308741485e-09,0.0,3.6170542583902995e-10,0.0,1.5443994242347911e-09,0.0,1.9996385604999196e-09,0.0,5.8528517203321386e-09,0.0,1.0595579639162636e-08,0.0,2.0279948015811376e-09,0.0,6.245503983280264e-10,0.0,5.609739885331161e-10,0.0,1.1430559943378422e-09,0.0,1.5057289669552713e-09,0.0,2.857666164058307e-09,0.0,6.396855943615542e-09,0.0
18.900344,8.369436702433826e-10,0.0,7.103322161129042e-09,0.0,9.57423139596475e-10,0.0,7.2322341566795885e-09,0.0,4.305960130152987e-10,0.0,1.8384540630984445e-09,0.0,2.383453058502496e-09,0.0,6.980420683444308e-09,0.0,1.2604600471453092e-08,0.0,2.4108145274630664e-09,0.0,7.446790796175217e-10,0.0,6.622627329860796e-10,0.0,1.3608273184759878e-09,0.0,1.789846355897922e-09,0.0,3.4032201375928254e-09,0.0,7.62438379792465e-09,0.0
19.75945,1.0031910341746835e-09,0.0,8.521427411183414e-09,0.0,1.144553388161555e-09,0.0,8.624538159309988e-09,0.0,5.151191822854192e-10,0.0,2.199388802326109e-09,0.0,2.8429121228162696e-09,0.0,8.329080368191945e-09,0.0,1.5089855367397095e-08,0.0,2.8860852328524086e-09,0.0,8.912142486317647e-10,0.0,7.989967787905661e-10,0.0,1.6274576606661883e-09,0.0,2.1447391634033326e-09,0.0,4.0647331265385006e-09,0.0,9.10007064683634e-09,0.0
