Frequency,Gain (Ch. 0),Phase (Ch. 0),Gain (Ch. 1),Phase (Ch. 1),Gain (Ch. 2),Phase (Ch. 2),Gain (Ch. 3),Phase (Ch. 3),Gain (Ch. 4),Phase (Ch. 4),Gain (Ch. 5),Phase (Ch. 5),Gain (Ch. 6),Phase (Ch. 6),Gain (Ch. 7),Phase (Ch. 7),Gain (Ch. 8),Phase (Ch. 8),Gain (Ch. 9),Phase (Ch. 9),Gain (Ch. 10),Phase (Ch. 10),Gain (Ch. 11),Phase (Ch. 11),Gain (Ch. 12),Phase (Ch. 12),Gain (Ch. 13),Phase (Ch. 13),Gain (Ch. 14),Phase (Ch. 14),Gain (Ch. 15),Phase (Ch. 15)\n
82.03,0.725,0.483,0.725,0.483,0.725,0.483,0.725,0.483,0.725,0.483,0.725,0.483,0.725,0.483,0.725,0.483,0.725,0.483,0.725,0.483,0.725,0.483,0.725,0.483,0.725,0.483,0.725,0.483,0.725,0.483,0.725,0.483\n
85.94,0.756,0.367,0.756,0.367,0.756,0.367,0.756,0.367,0.756,0.367,0.756,0.367,0.756,0.367,0.756,0.367,0.756,0.367,0.756,0.367,0.756,0.367,0.756,0.367,0.756,0.367,0.756,0.367,0.756,0.367,0.756,0.367\n
89.84,0.784,0.255,0.784,0.255,0.784,0.255,0.784,0.255,0.784,0.255,0.784,0.255,0.784,0.255,0.784,0.255,0.784,0.255,0.784,0.255,0.784,0.255,0.784,0.255,0.784,0.255,0.784,0.255,0.784,0.255,0.784,0.255\n
93.75,0.808,0.146,0.808,0.146,0.808,0.146,0.808,0.146,0.808,0.146,0.808,0.146,0.808,0.146,0.808,0.146,0.808,0.146,0.808,0.146,0.808,0.146,0.808,0.146,0.808,0.146,0.808,0.146,0.808,0.146,0.808,0.146\n
97.66,0.83,0.04,0.83,0.04,0.83,0.04,0.83,0.04,0.83,0.04,0.83,0.04,0.83,0.04,0.83,0.04,0.83,0.04,0.83,0.04,0.83,0.04,0.83,0.04,0.83,0.04,0.83,0.04,0.83,0.04,0.83,0.04\n
101.56,0.85,-0.062,0.85,-0.062,0.85,-0.062,0.85,-0.062,0.85,-0.062,0.85,-0.062,0.85,-0.062,0.85,-0.062,0.85,-0.062,0.85,-0.062,0.85,-0.062,0.85,-0.062,0.85,-0.062,0.85,-0.062,0.85,-0.062,0.85,-0.062\n
105.47,0.867,-0.162,0.867,-0.162,0.867,-0.162,0.867,-0.162,0.867,-0.162,0.867,-0.162,0.867,-0.162,0.867,-0.162,0.867,-0.162,0.867,-0.162,0.867,-0.162,0.867,-0.162,0.867,-0.162,0.867,-0.162,0.867,-0.162,0.867,-0.162\n
109.37,0.882,-0.258,0.882,-0.258,0.882,-0.258,0.882,-0.258,0.882,-0.258,0.882,-0.258,0.882,-0.258,0.882,-0.258,0.882,-0.258,0.882,-0.258,0.882,-0.258,0.882,-0.258,0.882,-0.258,0.882,-0.258,0.882,-0.258,0.882,-0.258\n
113.28,0.895,-0.351,0.895,-0.351,0.895,-0.351,0.895,-0.351,0.895,-0.351,0.895,-0.351,0.895,-0.351,0.895,-0.351,0.895,-0.351,0.895,-0.351,0.895,-0.351,0.895,-0.351,0.895,-0.351,0.895,-0.351,0.895,-0.351,0.895,-0.351\n
117.19,0.906,-0.442,0.906,-0.442,0.906,-0.442,0.906,-0.442,0.906,-0.442,0.906,-0.442,0.906,-0.442,0.906,-0.442,0.906,-0.442,0.906,-0.442,0.906,-0.442,0.906,-0.442,0.906,-0.442,0.906,-0.442,0.906,-0.442,0.906,-0.442\n
121.09,0.917,-0.531,0.917,-0.531,0.917,-0.531,0.917,-0.531,0.917,-0.531,0.917,-0.531,0.917,-0.531,0.917,-0.531,0.917,-0.531,0.917,-0.531,0.917,-0.531,0.917,-0.531,0.917,-0.531,0.917,-0.531,0.917,-0.531,0.917,-0.531\n
125,0.925,-0.617,0.925,-0.617,0.925,-0.617,0.925,-0.617,0.925,-0.617,0.925,-0.617,0.925,-0.617,0.925,-0.617,0.925,-0.617,0.925,-0.617,0.925,-0.617,0.925,-0.617,0.925,-0.617,0.925,-0.617,0.925,-0.617,0.925,-0.617\n
128.91,0.933,-0.701,0.933,-0.701,0.933,-0.701,0.933,-0.701,0.933,-0.701,0.933,-0.701,0.933,-0.701,0.933,-0.701,0.933,-0.701,0.933,-0.701,0.933,-0.701,0.933,-0.701,0.933,-0.701,0.933,-0.701,0.933,-0.701,0.933,-0.701\n
132.81,0.94,-0.784,0.94,-0.784,0.94,-0.784,0.94,-0.784,0.94,-0.784,0.94,-0.784,0.94,-0.784,0.94,-0.784,0.94,-0.784,0.94,-0.784,0.94,-0.784,0.94,-0.784,0.94,-0.784,0.94,-0.784,0.94,-0.784,0.94,-0.784\n
136.72,0.946,-0.864,0.946,-0.864,0.946,-0.864,0.946,-0.864,0.946,-0.864,0.946,-0.864,0.946,-0.864,0.946,-0.864,0.946,-0.864,0.946,-0.864,0.946,-0.864,0.946,-0.864,0.946,-0.864,0.946,-0.864,0.946,-0.864,0.946,-0.864\n
140.62,0.951,-0.943,0.951,-0.943,0.951,-0.943,0.951,-0.943,0.951,-0.943,0.951,-0.943,0.951,-0.943,0.951,-0.943,0.951,-0.943,0.951,-0.943,0.951,-0.943,0.951,-0.943,0.951,-0.943,0.951,-0.943,0.951,-0.943,0.951,-0.943\n
144.53,0.956,-1.02,0.956,-1.02,0.956,-1.02,0.956,-1.02,0.956,-1.02,0.956,-1.02,0.956,-1.02,0.956,-1.02,0.956,-1.02,0.956,-1.02,0.956,-1.02,0.956,-1.02,0.956,-1.02,0.956,-1.02,0.956,-1.02,0.956,-1.02\n
148.44,0.96,-1.097,0.96,-1.097,0.96,-1.097,0.96,-1.097,0.96,-1.097,0.96,-1.097,0.96,-1.097,0.96,-1.097,0.96,-1.097,0.96,-1.097,0.96,-1.097,0.96,-1.097,0.96,-1.097,0.96,-1.097,0.96,-1.097,0.96,-1.097\n
152.34,0.964,-1.171,0.964,-1.171,0.964,-1.171,0.964,-1.171,0.964,-1.171,0.964,-1.171,0.964,-1.171,0.964,-1.171,0.964,-1.171,0.964,-1.171,0.964,-1.171,0.964,-1.171,0.964,-1.171,0.964,-1.171,0.964,-1.171,0.964,-1.171\n
156.25,0.967,-1.245,0.967,-1.245,0.967,-1.245,0.967,-1.245,0.967,-1.245,0.967,-1.245,0.967,-1.245,0.967,-1.245,0.967,-1.245,0.967,-1.245,0.967,-1.245,0.967,-1.245,0.967,-1.245,0.967,-1.245,0.967,-1.245,0.967,-1.245\n
160.16,0.97,-1.318,0.97,-1.318,0.97,-1.318,0.97,-1.318,0.97,-1.318,0.97,-1.318,0.97,-1.318,0.97,-1.318,0.97,-1.318,0.97,-1.318,0.97,-1.318,0.97,-1.318,0.97,-1.318,0.97,-1.318,0.97,-1.318,0.97,-1.318\n
164.06,0.973,-1.389,0.973,-1.389,0.973,-1.389,0.973,-1.389,0.973,-1.389,0.973,-1.389,0.973,-1.389,0.973,-1.389,0.973,-1.389,0.973,-1.389,0.973,-1.389,0.973,-1.389,0.973,-1.389,0.973,-1.389,0.973,-1.389,0.973,-1.389\n
167.97,0.975,-1.46,0.975,-1.46,0.975,-1.46,0.975,-1.46,0.975,-1.46,0.975,-1.46,0.975,-1.46,0.975,-1.46,0.975,-1.46,0.975,-1.46,0.975,-1.46,0.975,-1.46,0.975,-1.46,0.975,-1.46,0.975,-1.46,0.975,-1.46\n
171.87,0.977,-1.53,0.977,-1.53,0.977,-1.53,0.977,-1.53,0.977,-1.53,0.977,-1.53,0.977,-1.53,0.977,-1.53,0.977,-1.53,0.977,-1.53,0.977,-1.53,0.977,-1.53,0.977,-1.53,0.977,-1.53,0.977,-1.53,0.977,-1.53\n
175.78,0.979,-1.599,0.979,-1.599,0.979,-1.599,0.979,-1.599,0.979,-1.599,0.979,-1.599,0.979,-1.599,0.979,-1.599,0.979,-1.599,0.979,-1.599,0.979,-1.599,0.979,-1.599,0.979,-1.599,0.979,-1.599,0.979,-1.599,0.979,-1.599\n
179.69,0.981,-1.668,0.981,-1.668,0.981,-1.668,0.981,-1.668,0.981,-1.668,0.981,-1.668,0.981,-1.668,0.981,-1.668,0.981,-1.668,0.981,-1.668,0.981,-1.668,0.981,-1.668,0.981,-1.668,0.981,-1.668,0.981,-1.668,0.981,-1.668\n
183.59,0.982,-1.735,0.982,-1.735,0.982,-1.735,0.982,-1.735,0.982,-1.735,0.982,-1.735,0.982,-1.735,0.982,-1.735,0.982,-1.735,0.982,-1.735,0.982,-1.735,0.982,-1.735,0.982,-1.735,0.982,-1.735,0.982,-1.735,0.982,-1.735\n
187.5,0.984,-1.803,0.984,-1.803,0.984,-1.803,0.984,-1.803,0.984,-1.803,0.984,-1.803,0.984,-1.803,0.984,-1.803,0.984,-1.803,0.984,-1.803,0.984,-1.803,0.984,-1.803,0.984,-1.803,0.984,-1.803,0.984,-1.803,0.984,-1.803\n
191.41,0.985,-1.869,0.985,-1.869,0.985,-1.869,0.985,-1.869,0.985,-1.869,0.985,-1.869,0.985,-1.869,0.985,-1.869,0.985,-1.869,0.985,-1.869,0.985,-1.869,0.985,-1.869,0.985,-1.869,0.985,-1.869,0.985,-1.869,0.985,-1.869\n
195.31,0.986,-1.936,0.986,-1.936,0.986,-1.936,0.986,-1.936,0.986,-1.936,0.986,-1.936,0.986,-1.936,0.986,-1.936,0.986,-1.936,0.986,-1.936,0.986,-1.936,0.986,-1.936,0.986,-1.936,0.986,-1.936,0.986,-1.936,0.986,-1.936\n
199.22,0.987,-2.001,0.987,-2.001,0.987,-2.001,0.987,-2.001,0.987,-2.001,0.987,-2.001,0.987,-2.001,0.987,-2.001,0.987,-2.001,0.987,-2.001,0.987,-2.001,0.987,-2.001,0.987,-2.001,0.987,-2.001,0.987,-2.001,0.987,-2.001\n
203.12,0.988,-2.067,0.988,-2.067,0.988,-2.067,0.988,-2.067,0.988,-2.067,0.988,-2.067,0.988,-2.067,0.988,-2.067,0.988,-2.067,0.988,-2.067,0.988,-2.067,0.988,-2.067,0.988,-2.067,0.988,-2.067,0.988,-2.067,0.988,-2.067\n
207.03,0.989,-2.132,0.989,-2.132,0.989,-2.132,0.989,-2.132,0.989,-2.132,0.989,-2.132,0.989,-2.132,0.989,-2.132,0.989,-2.132,0.989,-2.132,0.989,-2.132,0.989,-2.132,0.989,-2.132,0.989,-2.132,0.989,-2.132,0.989,-2.132\n
210.94,0.99,-2.197,0.99,-2.197,0.99,-2.197,0.99,-2.197,0.99,-2.197,0.99,-2.197,0.99,-2.197,0.99,-2.197,0.99,-2.197,0.99,-2.197,0.99,-2.197,0.99,-2.197,0.99,-2.197,0.99,-2.197,0.99,-2.197,0.99,-2.197\n
214.84,0.991,-2.261,0.991,-2.261,0.991,-2.261,0.991,-2.261,0.991,-2.261,0.991,-2.261,0.991,-2.261,0.991,-2.261,0.991,-2.261,0.991,-2.261,0.991,-2.261,0.991,-2.261,0.991,-2.261,0.991,-2.261,0.991,-2.261,0.991,-2.261\n
