Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
0.000000,7.23506e-10,0,9.98391e-10,0,5.80808e-10,0,7.61684e-10,0,1.43754e-09,0,8.55456e-10,0,7.03355e-10,0,2.62121e-10,0,3.25228e-10,0,3.79821e-10,0,3.31547e-10,0,4.55552e-10,0,4.05e-10,0,3.62656e-10,0,3.63086e-10,0,2.97022e-10,0
0.917430,1.18942e-09,0,1.58927e-09,0,1.07836e-09,0,1.31838e-09,0,1.91877e-09,0,1.31212e-09,0,1.13806e-09,0,4.82845e-10,0,5.59429e-10,0,8.5879e-10,0,8.0373e-10,0,9.10213e-10,0,8.90959e-10,0,8.39285e-10,0,8.34063e-10,0,7.60266e-10,0
1.834900,2.08933e-09,0,2.75043e-09,0,2.00895e-09,0,2.3834e-09,0,2.7793e-09,0,2.2531e-09,0,2.04002e-09,0,9.03767e-10,0,1.01191e-09,0,1.72858e-09,0,1.64585e-09,0,1.76093e-09,0,1.78029e-09,0,1.70101e-09,0,1.68502e-09,0,1.57587e-09,0
2.752300,3.20296e-09,0,4.2373e-09,0,3.08809e-09,0,3.65667e-09,0,4.10822e-09,0,3.56492e-09,0,3.28845e-09,0,1.41205e-09,0,1.56858e-09,0,2.75744e-09,0,2.63726e-09,0,2.77309e-09,0,2.83281e-09,0,2.71914e-09,0,2.68398e-09,0,2.52504e-09,0
3.669700,4.37342e-09,0,5.85012e-09,0,4.16452e-09,0,4.97347e-09,0,5.78416e-09,0,5.09991e-09,0,4.73594e-09,0,1.94845e-09,0,2.16052e-09,0,3.82139e-09,0,3.65097e-09,0,3.81502e-09,0,3.91802e-09,0,3.7667e-09,0,3.70971e-09,0,3.49329e-09,0
4.587200,5.47676e-09,0,7.36526e-09,0,5.13437e-09,0,6.19767e-09,0,7.4459e-09,0,6.56057e-09,0,6.1066e-09,0,2.4692e-09,0,2.74359e-09,0,4.80137e-09,0,4.57926e-09,0,4.75792e-09,0,4.92373e-09,0,4.73011e-09,0,4.64704e-09,0,4.3634e-09,0
5.504600,6.44901e-09,0,8.58546e-09,0,5.97128e-09,0,7.31971e-09,0,8.63014e-09,0,7.6801e-09,0,7.14056e-09,0,2.98013e-09,0,3.31609e-09,0,5.63051e-09,0,5.32107e-09,0,5.53739e-09,0,5.77584e-09,0,5.54156e-09,0,5.41253e-09,0,5.06633e-09,0
6.422000,7.36749e-09,0,9.51929e-09,0,6.83117e-09,0,8.41956e-09,0,9.02712e-09,0,8.26404e-09,0,7.62035e-09,0,3.5387e-09,0,3.9364e-09,0,6.35004e-09,0,5.92309e-09,0,6.18749e-09,0,6.50808e-09,0,6.23866e-09,0,6.05303e-09,0,5.62308e-09,0
7.339400,8.42811e-09,0,1.07487e-08,0,7.93628e-09,0,9.71014e-09,0,8.89162e-09,0,8.61376e-09,0,7.82417e-09,0,4.24956e-09,0,4.69914e-09,0,7.12137e-09,0,6.57831e-09,0,6.90439e-09,0,7.34981e-09,0,7.00565e-09,0,6.7525e-09,0,6.2251e-09,0
8.256900,9.9468e-09,0,1.33749e-08,0,9.47466e-09,0,1.13495e-08,0,1.00453e-08,0,9.97722e-09,0,8.96849e-09,0,5.19303e-09,0,5.71326e-09,0,8.31387e-09,0,7.6071e-09,0,8.05752e-09,0,8.57456e-09,0,8.16687e-09,0,7.8229e-09,0,7.19739e-09,0
9.174300,1.21162e-08,0,1.82043e-08,0,1.13836e-08,0,1.3355e-08,0,1.43416e-08,0,1.35412e-08,0,1.22806e-08,0,6.36788e-09,0,7.01558e-09,0,1.01631e-08,0,9.27482e-09,0,9.86466e-09,0,1.04415e-08,0,9.95775e-09,0,9.51058e-09,0,8.76153e-09,0
10.092000,1.4946e-08,0,2.49228e-08,0,1.36739e-08,0,1.56923e-08,0,2.07282e-08,0,1.87161e-08,0,1.71577e-08,0,7.73575e-09,0,8.57268e-09,0,1.26464e-08,0,1.15844e-08,0,1.23078e-08,0,1.29098e-08,0,1.23663e-08,0,1.18123e-08,0,1.09395e-08,0
11.009000,1.82948e-08,0,3.25037e-08,0,1.63485e-08,0,1.84279e-08,0,2.66524e-08,0,2.3738e-08,0,2.17905e-08,0,9.26642e-09,0,1.03241e-08,0,1.55763e-08,0,1.43018e-08,0,1.51707e-08,0,1.5845e-08,0,1.52323e-08,0,1.45504e-08,0,1.34894e-08,0
11.927000,2.20708e-08,0,3.98026e-08,0,1.96478e-08,0,2.18113e-08,0,2.95706e-08,0,2.69243e-08,0,2.46281e-08,0,1.10442e-08,0,1.23439e-08,0,1.87698e-08,0,1.72762e-08,0,1.82402e-08,0,1.91258e-08,0,1.84047e-08,0,1.75824e-08,0,1.62487e-08,0
12.844000,2.62906e-08,0,4.65079e-08,0,2.37062e-08,0,2.61801e-08,0,2.86413e-08,0,2.79671e-08,0,2.52703e-08,0,1.32182e-08,0,1.47112e-08,0,2.22871e-08,0,2.04747e-08,0,2.16183e-08,0,2.27692e-08,0,2.19282e-08,0,2.09133e-08,0,1.92386e-08,0
13.761000,3.12845e-08,0,5.38732e-08,0,2.85347e-08,0,3.16917e-08,0,2.9423e-08,0,3.04572e-08,0,2.72567e-08,0,1.59466e-08,0,1.75939e-08,0,2.63901e-08,0,2.43174e-08,0,2.56869e-08,0,2.70498e-08,0,2.60331e-08,0,2.48683e-08,0,2.28783e-08,0
14.679000,3.74142e-08,0,6.49974e-08,0,3.40265e-08,0,3.84789e-08,0,4.36979e-08,0,4.15397e-08,0,3.75712e-08,0,1.92711e-08,0,2.11337e-08,0,3.17218e-08,0,2.9383e-08,0,3.10076e-08,0,3.24752e-08,0,3.13032e-08,0,2.99533e-08,0,2.77951e-08,0
