Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
0.0,6.380070472990286e-10,0.0,2.250886584319252e-09,0.0,8.356389480725112e-10,0.0,8.026564930660041e-10,0.0,1.2936854359749642e-09,0.0,1.3129944864010227e-09,0.0,1.6850392595235074e-09,0.0,2.3551491738486802e-09,0.0,3.278454771092561e-10,0.0,2.36954719138438e-10,0.0,5.637384078999705e-10,0.0,2.002057427445917e-10,0.0,2.3004681210694622e-10,0.0,7.043646305175621e-10,0.0,4.261666592570434e-10,0.0,2.5932138492480526e-10,0.0
0.87719,2.0736810201325985e-09,0.0,3.4399010506310487e-09,0.0,2.25063527346772e-09,0.0,2.252719059278341e-09,0.0,2.657748381664429e-09,0.0,2.8178857505178535e-09,0.0,2.8366084089570034e-09,0.0,3.5884362351720684e-09,0.0,1.5133834766415232e-09,0.0,1.3347328750585595e-09,0.0,1.6670600623534733e-09,0.0,1.412963848883442e-09,0.0,1.4055815926196831e-09,0.0,1.9452611749996364e-09,0.0,1.5155300901650275e-09,0.0,1.465979967271259e-09,0.0
1.7544,4.3139811348310564e-09,0.0,5.10774645939556e-09,0.0,4.475092333234167e-09,0.0,4.5197104806666165e-09,0.0,4.731000079092327e-09,0.0,5.150710143722088e-09,0.0,4.524045592855547e-09,0.0,5.3097584988855396e-09,0.0,3.311596389638372e-09,0.0,2.970588506680116e-09,0.0,3.3520888505915e-09,0.0,3.180652964704607e-09,0.0,3.1436788556729296e-09,0.0,3.846773319261706e-09,0.0,3.167019351008984e-09,0.0,3.241574903630208e-09,0.0
2.6316,7.274988415296506e-09,0.0,7.201637060505541e-09,0.0,7.342193125510413e-09,0.0,7.45690605794939e-09,0.0,7.468476828405352e-09,0.0,8.208671056451571e-09,0.0,6.715224907364937e-09,0.0,7.467492527570183e-09,0.0,5.7121281147595785e-09,0.0,5.082447833674651e-09,0.0,5.532179073777032e-09,0.0,5.4578434181508975e-09,0.0,5.427078781409162e-09,0.0,6.318415544081049e-09,0.0,5.33796814197003e-09,0.0,5.5705877489195375e-09,0.0
3.5088,1.089851392811376e-08,0.0,9.71742622491071e-09,0.0,1.0788251292004002e-08,0.0,1.1006787019982224e-08,0.0,1.0826366771153054e-08,0.0,1.1920930242430659e-08,0.0,9.340449476326907e-09,0.0,1.0041303084822853e-08,0.0,8.663365685871714e-09,0.0,7.603723951671607e-09,0.0,8.178723179977315e-09,0.0,8.170806888154051e-09,0.0,8.197204998850416e-09,0.0,9.324313225401441e-09,0.0,7.994198187239785e-09,0.0,8.393175106618139e-09,0.0
4.386,1.498210583980266e-08,0.0,1.2585752157588175e-08,0.0,1.4617076827952115e-08,0.0,1.4982838829786295e-08,0.0,1.4647129417281176e-08,0.0,1.609248095215583e-08,0.0,1.2292137312714703e-08,0.0,1.2975283977463108e-08,0.0,1.2021873434462766e-08,0.0,1.040411218415153e-08,0.0,1.1163542163625444e-08,0.0,1.1181657487506724e-08,0.0,1.1320506732978274e-08,0.0,1.2716224374675318e-08,0.0,1.0999142981581451e-08,0.0,1.1559252041933879e-08,0.0
5.2632,1.9215227708153223e-08,0.0,1.5658550881843537e-08,0.0,1.8532709320533647e-08,0.0,1.9107268754849177e-08,0.0,1.86448567880299e-08,0.0,2.041188621286579e-08,0.0,1.5387239875043553e-08,0.0,1.6151853140830316e-08,0.0,1.5558550105504676e-08,0.0,1.3307223727195245e-08,0.0,1.4290582146669844e-08,0.0,1.4304299530649311e-08,0.0,1.4591003327105647e-08,0.0,1.626682785540631e-08,0.0,1.4156444979664525e-08,0.0,1.4859382373971092e-08,0.0
6.1404,2.3189185260861193e-08,0.0,1.870757978805815e-08,0.0,2.2198496941550234e-08,0.0,2.3071488012060272e-08,0.0,2.247305404684918e-08,0.0,2.453432659368738e-08,0.0,1.839323179793327e-08,0.0,1.9360045586348665e-08,0.0,1.8972712736424637e-08,0.0,1.6110910414601527e-08,0.0,1.7339506340029647e-08,0.0,1.734348542851224e-08,0.0,1.774767704805989e-08,0.0,1.971606929268597e-08,0.0,1.723322279240248e-08,0.0,1.8051030188430235e-08,0.0
7.0175,2.645256138086182e-08,0.0,2.1531266630732203e-08,0.0,2.5315170351968934e-08,0.0,2.6604709158893616e-08,0.0,2.5806378353859612e-08,0.0,2.817058518964893e-08,0.0,2.1125294892652868e-08,0.0,2.2415985540980408e-08,0.0,2.193661009168271e-08,0.0,1.863438550254939e-08,0.0,2.0119842060814395e-08,0.0,2.0153559600061633e-08,0.0,2.050916445497972e-08,0.0,2.2842690424311148e-08,0.0,2.0003191940561526e-08,0.0,2.09139843516562e-08,0.0
7.8947,2.8672578615584532e-08,0.0,2.4062071618516422e-08,0.0,2.778461360683737e-08,0.0,2.965855485642926e-08,0.0,2.850817943354054e-08,0.0,3.122851468852197e-08,0.0,2.357547098223717e-08,0.0,2.53062697593105e-08,0.0,2.422291056349704e-08,0.0,2.0816391970977854e-08,0.0,2.258310725724933e-08,0.0,2.2765098198900578e-08,0.0,2.2675568708042228e-08,0.0,2.557286868764426e-08,0.0,2.2365932796383575e-08,0.0,2.34012287918415e-08,0.0
8.7719,2.989363521546669e-08,0.0,2.653319027906174e-08,0.0,2.9928085744697556e-08,0.0,3.2521090168236e-08,0.0,3.0768615830218015e-08,0.0,3.40105258149836e-08,0.0,2.6019573726242774e-08,0.0,2.8217601261456416e-08,0.0,2.5898525666088088e-08,0.0,2.2845727097100496e-08,0.0,2.494281144028203e-08,0.0,2.5360615730954342e-08,0.0,2.4340188960878743e-08,0.0,2.813602994756325e-08,0.0,2.4501551470133384e-08,0.0,2.5649727923071198e-08,0.0
9.6491,3.0970292788572625e-08,0.0,2.948169484466346e-08,0.0,3.250496438859602e-08,0.0,3.591787046525831e-08,0.0,3.335439506677491e-08,0.0,3.7280184706272535e-08,0.0,2.9000958128253294e-08,0.0,3.160035003593485e-08,0.0,2.7588486429787437e-08,0.0,2.5217368545580977e-08,0.0,2.768869663183591e-08,0.0,2.8364827535312376e-08,0.0,2.6055804374005335e-08,0.0,3.1130608169279214e-08,0.0,2.690827172497357e-08,0.0,2.8191527760609947e-08,0.0
10.526,3.403031654454177e-08,0.0,3.384769732576169e-08,0.0,3.689651680626669e-08,0.0,4.101612994000853e-08,0.0,3.781809464140628e-08,0.0,4.243195244982816e-08,0.0,3.342633279802601e-08,0.0,3.624593583936266e-08,0.0,3.071050019580119e-08,0.0,2.8776663193260793e-08,0.0,3.1667889827284126e-08,0.0,3.248318411479656e-08,0.0,2.8991533971320834e-08,0.0,3.562278964041757e-08,0.0,3.0539818242468894e-08,0.0,3.2082133880893065e-08,0.0
11.404,4.1709643177382645e-08,0.0,4.0587016661017276e-08,0.0,4.455835639235511e-08,0.0,4.905043315063867e-08,0.0,4.596129922103371e-08,0.0,5.095997677086429e-08,0.0,4.012743194127773e-08,0.0,4.302022926812315e-08,0.0,3.704259123871979e-08,0.0,3.4307700896920444e-08,0.0,3.7741235405979344e-08,0.0,3.8466895489778616e-08,0.0,3.45823627150742e-08,0.0,4.2735619728762915e-08,0.0,3.644070174930013e-08,0.0,3.847254998393809e-08,0.0
12.281,5.470702156720963e-08,0.0,4.983525599740282e-08,0.0,5.574996160106833e-08,0.0,6.038769394038575e-08,0.0,5.8246001921057255e-08,0.0,6.319923409190242e-08,0.0,4.9226560172420836e-08,0.0,5.219401776474228e-08,0.0,4.7223926824273486e-08,0.0,4.197561382858757e-08,0.0,4.615051534966651e-08,0.0,4.6470936685370084e-08,0.0,4.324578075737332e-08,0.0,5.2748472330935225e-08,0.0,4.4982129315751314e-08,0.0,4.777325046058099e-08,0.0
