Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
0.000000,1.77736e-10,0,3.03158e-11,0,1.1725e-10,0,1.19878e-10,0,3.68021e-10,0,3.82922e-11,0,1.89538e-10,0,1.51441e-10,0,5.20928e-11,0,1.99908e-10,0,1.61808e-10,0,2.27866e-10,0,3.42812e-10,0,4.08633e-11,0,1.04543e-10,0,2.35905e-10,0
0.859107,2.12483e-10,0,3.61987e-11,0,1.39862e-10,0,1.4341e-10,0,4.39704e-10,0,4.57324e-11,0,2.26843e-10,0,1.80907e-10,0,6.22851e-11,0,2.40747e-10,0,1.93467e-10,0,2.7194e-10,0,4.10045e-10,0,4.87807e-11,0,1.24869e-10,0,2.82221e-10,0
1.718213,2.53535e-10,0,4.32484e-11,0,1.66965e-10,0,1.71025e-10,0,5.24697e-10,0,5.4497e-11,0,2.71192e-10,0,2.15382e-10,0,7.42857e-11,0,2.91056e-10,0,2.30844e-10,0,3.23533e-10,0,4.89325e-10,0,5.80303e-11,0,1.48622e-10,0,3.3719e-10,0
2.577320,3.02e-10,0,5.16147e-11,0,1.98467e-10,0,2.03988e-10,0,6.25774e-10,0,6.48583e-11,0,3.23702e-10,0,2.56404e-10,0,8.84983e-11,0,3.51012e-10,0,2.75227e-10,0,3.84756e-10,0,5.83878e-10,0,6.90015e-11,0,1.76779e-10,0,4.02147e-10,0
3.436426,3.59779e-10,0,6.15173e-11,0,2.36236e-10,0,2.42888e-10,0,7.44997e-10,0,7.71912e-11,0,3.85503e-10,0,3.0524e-10,0,1.0542e-10,0,4.18852e-10,0,3.2798e-10,0,4.58345e-10,0,6.9547e-10,0,8.21478e-11,0,2.10426e-10,0,4.78837e-10,0
4.295533,4.28748e-10,0,7.31811e-11,0,2.82222e-10,0,2.89244e-10,0,8.87562e-10,0,9.21534e-11,0,4.59051e-10,0,3.6408e-10,0,1.25793e-10,0,4.94496e-10,0,3.9058e-10,0,5.46663e-10,0,8.27854e-10,0,9.80986e-11,0,2.51166e-10,0,5.70652e-10,0
5.154639,5.1026e-10,0,8.70375e-11,0,3.36157e-10,0,3.44351e-10,0,1.05596e-09,0,1.09826e-10,0,5.45125e-10,0,4.34185e-10,0,1.49986e-10,0,5.80481e-10,0,4.64657e-10,0,6.52725e-10,0,9.84287e-10,0,1.17149e-10,0,2.99697e-10,0,6.78069e-10,0
6.013746,6.06741e-10,0,1.03518e-10,0,4.00052e-10,0,4.09561e-10,0,1.25493e-09,0,1.30809e-10,0,6.46974e-10,0,5.16733e-10,0,1.78513e-10,0,6.83327e-10,0,5.52532e-10,0,7.7767e-10,0,1.17088e-09,0,1.39577e-10,0,3.56724e-10,0,8.05487e-10,0
6.872852,7.23611e-10,0,1.2355e-10,0,4.76742e-10,0,4.88467e-10,0,1.49692e-09,0,1.56025e-10,0,7.72063e-10,0,6.16354e-10,0,2.13018e-10,0,8.16507e-10,0,6.58912e-10,0,9.26641e-10,0,1.39532e-09,0,1.66397e-10,0,4.25365e-10,0,9.60745e-10,0
7.731959,8.63985e-10,0,1.47424e-10,0,5.69439e-10,0,5.8269e-10,0,1.78728e-09,0,1.85949e-10,0,9.23581e-10,0,7.34595e-10,0,2.54269e-10,0,9.86956e-10,0,7.86958e-10,0,1.10439e-09,0,1.66621e-09,0,1.98255e-10,0,5.06802e-10,0,1.14903e-09,0
