Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
0.0,1.6688925373125622e-11,0.0,1.465854311845493e-10,0.0,4.397196440544662e-12,0.0,1.2413604224288608e-10,0.0,5.452188923991423e-12,0.0,3.477566264504439e-11,0.0,4.75101070564558e-11,0.0,1.4556448085019967e-10,0.0,2.5752765372199405e-10,0.0,5.12832253536476e-11,0.0,1.57235775646775e-11,0.0,1.3361360273129475e-11,0.0,2.6940627997108345e-11,0.0,3.5286661376493233e-11,0.0,6.764785501544186e-11,0.0,1.503990733565507e-10,0.0
0.859107,1.9988846279453228e-11,0.0,1.7615738851005475e-10,0.0,5.2584177861746035e-12,0.0,1.480932962937426e-10,0.0,6.541422510959449e-12,0.0,4.167131827252398e-11,0.0,5.675038821587616e-11,0.0,1.7394166450237905e-10,0.0,3.0793013925387605e-10,0.0,6.128236057184045e-11,0.0,1.8793653754707932e-11,0.0,1.6110072711763086e-11,0.0,3.222789417478175e-11,0.0,4.2302632074143875e-11,0.0,8.082376882271153e-11,0.0,1.7967783468860188e-10,0.0
1.718213,2.3955578645179646e-11,0.0,2.125660481257845e-10,0.0,6.274488501490313e-12,0.0,1.7570502897729676e-10,0.0,7.846846257958063e-12,0.0,4.982541298905114e-11,0.0,6.757958223410895e-11,0.0,2.0728433172941578e-10,0.0,3.6732536475641914e-10,0.0,7.304119531503282e-11,0.0,2.2384676397393686e-11,0.0,1.956842416741079e-11,0.0,3.8486162655062753e-11,0.0,5.068897990262872e-11,0.0,9.630388899996719e-11,0.0,2.1384354495440664e-10,0.0
2.57732,2.8660536637281945e-11,0.0,2.55387322969778e-10,0.0,7.473482102865035e-12,0.0,2.0829166939264075e-10,0.0,9.404010179193596e-12,0.0,5.948035705349965e-11,0.0,8.044868737679969e-11,0.0,2.4655269940987257e-10,0.0,4.3731334265104516e-10,0.0,8.695470647154953e-11,0.0,2.665361006208759e-11,0.0,2.3681545104154727e-11,0.0,4.5948210114183076e-11,0.0,6.06559682743964e-11,0.0,1.1469303699656306e-10,0.0,2.543370530360829e-10,0.0
3.436426,3.4151364604696446e-11,0.0,3.0449974613046125e-10,0.0,8.904844000337731e-12,0.0,2.4790244810831016e-10,0.0,1.1209301681175268e-11,0.0,7.078316731401587e-11,0.0,9.57714241332833e-11,0.0,2.934787181622256e-10,0.0,5.210354585819067e-10,0.0,1.0351315962758803e-10,0.0,3.175658161530404e-11,0.0,2.8271947233100258e-11,0.0,5.47456606106327e-11,0.0,7.227846688063255e-11,0.0,1.3652043158068408e-10,0.0,3.0263690444347874e-10,0.0
4.295533,4.0592147590902724e-11,0.0,3.60862487357849e-10,0.0,1.064112973100285e-11,0.0,2.96654659048464e-10,0.0,1.3308480281452905e-11,0.0,8.434672810977397e-11,0.0,1.1415376579431685e-10,0.0,3.503786363347634e-10,0.0,6.212823101295596e-10,0.0,1.2351195362824774e-10,0.0,3.794312179004356e-11,0.0,3.334905471117985e-11,0.0,6.518877833319913e-11,0.0,8.591825863468877e-11,0.0,1.6291540089140307e-10,0.0,3.614206068739601e-10,0.0
5.154639,4.8106865615990005e-11,0.0,4.242650738137829e-10,0.0,1.2686904775329891e-11,0.0,3.549566823468419e-10,0.0,1.5757923381053573e-11,0.0,1.0022988806517443e-10,0.0,1.361382296606455e-10,0.0,4.174336071662988e-10,0.0,7.39271707795387e-10,0.0,1.471529748575929e-10,0.0,4.530097995863281e-11,0.0,3.8980302616887976e-11,0.0,7.749421417847408e-11,0.0,1.017867587904165e-10,0.0,1.938444368151825e-10,0.0,4.31158321045602e-10,0.0
6.013746,5.7084945786978416e-11,0.0,5.005065033973689e-10,0.0,1.511111207692253e-11,0.0,4.235540735296564e-10,0.0,1.8648835876512492e-11,0.0,1.1882814763281606e-10,0.0,1.6199392776911827e-10,0.0,4.96681342811339e-10,0.0,8.78325143333806e-10,0.0,1.7510921283345583e-10,0.0,5.400638785570877e-11,0.0,4.57841250707035e-11,0.0,9.214343785285137e-11,0.0,1.2063025586401166e-10,0.0,2.3065728805045992e-10,0.0,5.13530688278026e-10,0.0
6.872852,6.81279634547232e-11,0.0,5.980391977484738e-10,0.0,1.8038569358708428e-11,0.0,5.049253858701437e-10,0.0,2.228865470953742e-11,0.0,1.4189534241782933e-10,0.0,1.932130183007078e-10,0.0,5.924590497159106e-10,0.0,1.0485840567326901e-09,0.0,2.0886759009406875e-10,0.0,6.445076213253285e-11,0.0,5.4819692598979907e-11,0.0,1.0993802625986393e-10,0.0,1.44069181283583e-10,0.0,2.750785753158752e-10,0.0,6.124068485562802e-10,0.0
7.731959,8.165100037567173e-11,0.0,7.218296875705032e-10,0.0,2.1541633203357907e-11,0.0,5.999240291349655e-10,0.0,2.6741464147269063e-11,0.0,1.6999817839041935e-10,0.0,2.3021330554608635e-10,0.0,7.066348052097366e-10,0.0,1.2516432247707207e-09,0.0,2.4918727483676863e-10,0.0,7.68589212883716e-11,0.0,6.64718249431259e-11,0.0,1.3134447516766846e-10,0.0,1.727039585585829e-10,0.0,3.280391958906455e-10,0.0,7.295438835839941e-10,0.0
8.591065,9.785133556827681e-11,0.0,8.697376421112408e-10,0.0,2.568564443226934e-11,0.0,7.113940044606278e-10,0.0,3.207941134666813e-11,0.0,2.0309477040866413e-10,0.0,2.741214998229566e-10,0.0,8.406714478744438e-10,0.0,1.4933414362318291e-09,0.0,2.9704314373979084e-10,0.0,9.160531849200799e-11,0.0,8.074743315155862e-11,0.0,1.569499095531571e-10,0.0,2.068853757526084e-10,0.0,3.909475376718994e-10,0.0,8.678622348816815e-10,0.0
9.450172,1.1659985808256374e-10,0.0,1.0383630349751652e-09,0.0,3.0580342117278465e-11,0.0,8.447521078261982e-10,0.0,3.827631809403336e-11,0.0,2.4149506852278674e-10,0.0,3.259365617661593e-10,0.0,9.995920533550327e-10,0.0,1.7770399737552593e-09,0.0,3.5292630009217124e-10,0.0,1.089170759255143e-10,0.0,9.670996545090133e-11,0.0,1.8685275949984664e-10,0.0,2.4652756832471933e-10,0.0,4.6466224606903855e-10,0.0,1.0309179509985234e-09,0.0
10.309278,1.3909846206598538e-10,0.0,1.2356012154145807e-09,0.0,3.6581959390432194e-11,0.0,1.0110465925421614e-09,0.0,4.559983044624654e-11,0.0,2.885812979429915e-10,0.0,3.8934019535064125e-10,0.0,1.1942605803375313e-09,0.0,2.121356782925356e-09,0.0,4.220263129780501e-10,0.0,1.3040415373151875e-10,0.0,1.1481345677958891e-10,0.0,2.23129480918522e-10,0.0,2.9401694223592374e-10,0.0,5.554085003002256e-10,0.0,1.233444130605596e-09,0.0
11.168385,1.6492484057511274e-10,0.0,1.4555296243617112e-09,0.0,4.3664213325174454e-11,0.0,1.2110669935337481e-09,0.0,5.403958183068199e-11,0.0,3.432403610227004e-10,0.0,4.6440046393202584e-10,0.0,1.4259482428792733e-09,0.0,2.525956782606743e-09,0.0,5.03243697421974e-10,0.0,1.557875968648206e-10,0.0,1.3441360894200563e-10,0.0,2.653758821896355e-10,0.0,3.486508742304794e-10,0.0,6.614690095466571e-10,0.0,1.4724721642691748e-09,0.0
12.027491,1.9563816801799367e-10,0.0,1.714882423142958e-09,0.0,5.2057053350657214e-11,0.0,1.4482730235237185e-09,0.0,6.399316695703461e-11,0.0,4.072188681800623e-10,0.0,5.535383287134067e-10,0.0,1.6991231384947918e-09,0.0,3.00502856462551e-09,0.0,5.992119817222908e-10,0.0,1.8595327607707092e-10,0.0,1.5756666826795908e-10,0.0,3.1564119388172285e-10,0.0,4.133655127571211e-10,0.0,7.8747627050491e-10,0.0,1.7558565632281898e-09,0.0
12.886598,2.330489296542082e-10,0.0,2.039806411603152e-09,0.0,6.208519402963106e-11,0.0,1.7259505718958559e-09,0.0,7.617975371210579e-11,0.0,4.850456503853974e-10,0.0,6.591213473419269e-10,0.0,2.024005241813064e-09,0.0,3.5798393097925708e-09,0.0,7.143479540946794e-10,0.0,2.2182999439039082e-10,0.0,1.8729464774712412e-10,0.0,3.7630972769869586e-10,0.0,4.92197538368585e-10,0.0,9.383046665661616e-10,0.0,2.092508391426554e-09,0.0
13.745704,2.7927965505065536e-10,0.0,2.4571185518578773e-09,0.0,7.424916280806435e-11,0.0,2.054738464698358e-09,0.0,9.143725436004583e-11,0.0,5.812537271232179e-10,0.0,7.867767886348121e-10,0.0,2.4158826296356324e-09,0.0,4.282808117955581e-09,0.0,8.527930079466811e-10,0.0,2.6487744900076327e-10,0.0,2.267399801522015e-10,0.0,4.4982757592880145e-10,0.0,5.901626968100349e-10,0.0,1.1208568691191632e-09,0.0,2.4953073300052936e-09,0.0
