Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
25.440313,3.9582e-16,3.91166,3.83751e-16,3.91166,4.73868e-16,3.91166,2.58467e-16,3.91166,2.64979e-16,3.91166,6.63412e-09,3.91166,3.87857e-16,3.91166,2.45361e-16,3.91166,5.6896e-16,3.91166,3.27511e-16,3.91166,7.87762e-09,3.91166,6.01779e-09,3.91166,5.71557e-09,3.91166,5.42575e-09,3.91166,4.50085e-09,3.91166,1.42706e-08,3.91166
27.397260,8.17673e-16,3.78764,7.64324e-16,3.78764,8.82428e-16,3.78764,5.70364e-16,3.78764,5.74674e-16,3.78764,1.32608e-08,3.78764,8.42105e-16,3.78764,5.26851e-16,3.78764,1.24389e-15,3.78764,7.08774e-16,3.78764,1.88342e-08,3.78764,1.43284e-08,3.78764,1.34488e-08,3.78764,1.3689e-08,3.78764,1.11596e-08,3.78764,1.67688e-08,3.78764
29.354207,1.15181e-15,3.50088,1.37533e-15,3.50088,1.17231e-15,3.50088,1.17049e-15,3.50088,1.1582e-15,3.50088,1.15707e-08,3.50088,1.14524e-15,3.50088,1.11654e-15,3.50088,1.84514e-15,3.50088,1.38664e-15,3.50088,4.58057e-08,3.50088,2.01366e-08,3.50088,1.71624e-08,3.50088,1.96193e-08,3.50088,3.24412e-08,3.50088,3.98245e-08,3.50088
31.311155,3.57968e-15,3.25096,3.49605e-15,3.25096,4.19383e-15,3.25096,2.87107e-15,3.25096,2.77952e-15,3.25096,5.84448e-08,3.25096,3.68421e-15,3.25096,2.56252e-15,3.25096,5.42713e-15,3.25096,3.42426e-15,3.25096,8.76219e-08,3.25096,7.1189e-08,3.25096,6.88103e-08,3.25096,7.1995e-08,3.25096,5.12142e-08,3.25096,1.10978e-07,3.25096
33.268102,7.84279e-15,3.04727,7.44667e-15,3.04727,9.02249e-15,3.04727,6.08725e-15,3.04727,5.96791e-15,3.04727,1.01423e-07,3.04727,8.05454e-15,3.04727,5.61781e-15,3.04727,1.10923e-14,3.04727,7.47745e-15,3.04727,7.49682e-07,3.04727,5.89514e-07,3.04727,4.01873e-07,3.04727,4.35683e-07,3.04727,1.39678e-07,3.04727,3.48344e-07,3.04727
35.225049,1.23851e-14,2.86658,1.3555e-14,2.86658,1.26364e-14,2.86658,1.37718e-14,2.86658,1.24642e-14,2.86658,1.23305e-07,2.86658,1.23211e-14,2.86658,1.19873e-14,2.86658,1.75869e-14,2.86658,1.52509e-14,2.86658,1.906e-06,2.86658,2.16768e-06,2.86658,2.98318e-06,2.86658,1.57531e-06,2.86658,2.5598e-07,2.86658,8.21131e-07,2.86658
37.181996,3.73614e-14,2.20268,3.58771e-14,2.20268,4.03203e-14,2.20268,4.44462e-14,2.20268,2.90782e-14,2.20268,4.40399e-07,2.20268,3.74642e-14,2.20268,2.70673e-14,2.20268,6.07147e-14,2.20268,3.64206e-14,2.20268,1.02188e-06,2.20268,7.75616e-07,2.20268,1.0565e-06,2.20268,9.04189e-07,2.20268,2.67742e-06,2.20268,9.51926e-07,2.20268
39.138943,7.65543e-14,2.38229,7.47796e-14,2.38229,8.67238e-14,2.38229,1.0737e-13,2.38229,6.36873e-14,2.38229,9.07717e-07,2.38229,7.85766e-14,2.38229,5.99677e-14,2.38229,1.09919e-13,2.38229,7.98001e-14,2.38229,2.08647e-06,2.38229,1.74193e-06,2.38229,1.52506e-06,2.38229,1.89149e-06,2.38229,3.50504e-06,2.38229,3.03848e-06,2.38229
41.095890,1.33475e-13,3.21869,1.35061e-13,3.21869,1.36031e-13,3.21869,1.54795e-13,3.21869,1.34101e-13,3.21869,1.31576e-06,3.21869,1.3248e-13,3.21869,1.28814e-13,3.21869,1.68869e-13,3.21869,1.66701e-13,3.21869,2.04062e-06,3.21869,1.70852e-06,3.21869,1.59338e-06,3.21869,1.72737e-06,3.21869,1.54562e-06,3.21869,6.83491e-06,3.21869
43.052838,3.64857e-13,2.47159,3.66682e-13,2.47159,4.17878e-13,2.47159,3.07499e-13,2.47159,3.06804e-13,2.47159,3.99786e-06,2.47159,3.82323e-13,2.47159,2.88624e-13,2.47159,6.16625e-13,2.47159,3.89274e-13,2.47159,5.98626e-06,2.47159,5.14219e-06,2.47159,4.93205e-06,2.47159,5.03501e-06,2.47159,3.96788e-06,2.47159,1.28518e-05,2.47159
45.009785,8.02953e-13,2.45007,7.79415e-13,2.45007,8.60754e-13,2.45007,7.03348e-13,2.45007,6.78233e-13,2.45007,8.1382e-06,2.45007,7.96038e-13,2.45007,6.38402e-13,2.45007,1.24637e-12,2.45007,8.53292e-13,2.45007,1.44845e-05,2.45007,1.16764e-05,2.45007,1.1176e-05,2.45007,1.18417e-05,2.45007,9.18338e-06,2.45007,1.57538e-05,2.45007
46.966732,1.43511e-12,2.96122,1.45192e-12,2.96122,1.46213e-12,2.96122,1.5187e-12,2.96122,1.44321e-12,2.96122,1.39555e-05,2.96122,1.42351e-12,2.96122,1.38029e-12,2.96122,1.8235e-12,2.96122,1.80488e-12,2.96122,1.68631e-05,2.96122,1.46852e-05,2.96122,1.47499e-05,2.96122,1.41026e-05,2.96122,1.35379e-05,2.96122,5.35505e-05,2.96122
48.923679,3.81505e-12,1.94201,3.68794e-12,1.94201,4.13984e-12,1.94201,3.42893e-12,1.94201,3.28794e-12,1.94201,3.71704e-05,1.94201,3.87719e-12,1.94201,3.08667e-12,1.94201,5.42437e-12,1.94201,4.14616e-12,1.94201,5.42747e-05,1.94201,4.57497e-05,1.94201,4.67978e-05,1.94201,4.3606e-05,1.94201,3.52905e-05,1.94201,7.57737e-05,1.94201
50.880626,8.0605e-12,2.28804,8.08405e-12,2.28804,8.98287e-12,2.28804,7.52449e-12,2.28804,7.17513e-12,2.28804,7.91165e-05,2.28804,8.2838e-12,2.28804,6.79008e-12,2.28804,1.28999e-11,2.28804,9.06976e-12,2.28804,0.000124559,2.28804,0.000104391,2.28804,0.000101022,2.28804,9.81225e-05,2.28804,8.22975e-05,2.28804,0.000231526,2.28804
