Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
0.000000,1.52073e-09,0,3.68836e-09,0,2.85814e-09,0,2.96355e-09,0,1.1201e-09,0,1.65864e-09,0,1.21103e-09,0,1.12051e-09,0,9.05577e-10,0,7.04591e-10,0,1.13448e-09,0,4.04292e-10,0,9.57907e-10,0,1.84029e-09,0,1.30199e-09,0,4.71704e-10,0
0.877190,5.13749e-09,0,6.48625e-09,0,6.05559e-09,0,5.04729e-09,0,5.73996e-09,0,5.23415e-09,0,5.5291e-09,0,3.87877e-09,0,4.76079e-09,0,4.19639e-09,0,4.87582e-09,0,3.12321e-09,0,4.60123e-09,0,5.04315e-09,0,5.1408e-09,0,3.19753e-09,0
1.754400,1.05992e-08,0,1.07122e-08,0,1.11335e-08,0,8.16429e-09,0,1.21474e-08,0,1.06286e-08,0,1.15738e-08,0,7.83015e-09,0,1.01339e-08,0,8.9821e-09,0,1.0266e-08,0,6.86341e-09,0,9.76618e-09,0,1.01834e-08,0,1.07668e-08,0,7.00011e-09,0
2.631600,1.67608e-08,0,1.56199e-08,0,1.69439e-08,0,1.18391e-08,0,1.944e-08,0,1.66978e-08,0,1.84317e-08,0,1.2364e-08,0,1.6185e-08,0,1.44955e-08,0,1.62118e-08,0,1.11579e-08,0,1.55527e-08,0,1.54817e-08,0,1.68395e-08,0,1.13325e-08,0
3.508800,2.26463e-08,0,2.02072e-08,0,2.22003e-08,0,1.5315e-08,0,2.63593e-08,0,2.27012e-08,0,2.49831e-08,0,1.67623e-08,0,2.19139e-08,0,1.97564e-08,0,2.1768e-08,0,1.52139e-08,0,2.10009e-08,0,2.06515e-08,0,2.25474e-08,0,1.55016e-08,0
4.386000,2.7458e-08,0,2.34627e-08,0,2.60263e-08,0,1.81368e-08,0,3.19167e-08,0,2.75925e-08,0,3.03839e-08,0,2.02927e-08,0,2.66927e-08,0,2.42363e-08,0,2.63158e-08,0,1.84383e-08,0,2.55328e-08,0,2.47602e-08,0,2.71498e-08,0,1.8871e-08,0
5.263200,3.14853e-08,0,2.67938e-08,0,2.98952e-08,0,2.07932e-08,0,3.61075e-08,0,3.19174e-08,0,3.4026e-08,0,2.35245e-08,0,3.10392e-08,0,2.80942e-08,0,3.0594e-08,0,2.11474e-08,0,2.98869e-08,0,2.88897e-08,0,3.17141e-08,0,2.18461e-08,0
6.140400,3.90427e-08,0,3.37252e-08,0,3.72719e-08,0,2.60944e-08,0,4.41738e-08,0,4.02543e-08,0,4.23295e-08,0,2.95795e-08,0,3.77769e-08,0,3.40709e-08,0,3.7096e-08,0,2.6488e-08,0,3.63728e-08,0,3.59943e-08,0,3.82592e-08,0,2.7261e-08,0
7.017500,6.10484e-08,0,5.39223e-08,0,5.99464e-08,0,4.00392e-08,0,7.00627e-08,0,6.16136e-08,0,6.65587e-08,0,4.44621e-08,0,6.13649e-08,0,5.54336e-08,0,6.06019e-08,0,4.09746e-08,0,5.93699e-08,0,5.86465e-08,0,6.31904e-08,0,4.17545e-08,0
7.894700,1.06628e-07,0,9.65586e-08,0,1.07962e-07,0,6.81756e-08,0,1.26955e-07,0,1.06911e-07,0,1.20489e-07,0,7.48773e-08,0,1.07039e-07,0,9.93335e-08,0,1.08736e-07,0,7.05599e-08,0,1.03011e-07,0,1.04594e-07,0,1.13161e-07,0,7.01828e-08,0
