Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
0.000000,1.03399e-19,3.142,1.07697e-19,3.142,1.79456e-19,3.142,9.56609e-20,3.142,1.61849e-19,3.142,1.21124e-12,3.142,1.14296e-19,3.142,2.82783e-19,3.142,2.76733e-19,3.142,8.34187e-20,3.142,1.93732e-12,3.142,1.82948e-12,3.142,1.15252e-12,3.142,1.07527e-12,3.142,9.74171e-13,3.142,9.66031e-13,3.142
1.956947,1.8694e-20,1.84895,1.95909e-20,1.84895,1.82764e-20,1.84895,2.05455e-20,1.84895,1.83881e-20,1.84895,3.18759e-13,1.84895,1.89581e-20,1.84895,1.88818e-20,1.84895,2.20699e-20,1.84895,2.09175e-20,1.84895,2.93732e-13,1.84895,3.42282e-13,1.84895,2.61984e-13,1.84895,2.86855e-13,1.84895,2.30198e-13,1.84895,2.70107e-13,1.84895
3.913894,4.07212e-20,2.16678,4.28153e-20,2.16678,4.00971e-20,2.16678,4.44537e-20,2.16678,4.0202e-20,2.16678,7.51855e-13,2.16678,4.109e-20,2.16678,4.10633e-20,2.16678,4.88114e-20,2.16678,4.58307e-20,2.16678,6.72585e-13,2.16678,7.37336e-13,2.16678,5.68596e-13,2.16678,6.23467e-13,2.16678,4.96876e-13,2.16678,5.88563e-13,2.16678
5.870841,9.23267e-20,4.07867,9.79212e-20,4.07867,9.33072e-20,4.07867,1.01885e-19,4.07867,9.10632e-20,4.07867,1.94117e-12,4.07867,9.36939e-20,4.07867,9.37022e-20,4.07867,1.18427e-19,4.07867,1.05507e-19,4.07867,1.67026e-12,4.07867,1.62012e-12,4.07867,1.25828e-12,4.07867,1.38479e-12,4.07867,1.08811e-12,4.07867,1.30831e-12,4.07867
7.827789,2.09644e-19,6.14181,2.24601e-19,6.14181,2.17002e-19,6.14181,2.35388e-19,6.14181,2.0756e-19,6.14181,6.02836e-12,6.14181,2.15703e-19,6.14181,2.16295e-19,6.14181,3.25876e-19,6.14181,2.41088e-19,6.14181,4.77687e-12,6.14181,4.12553e-12,6.14181,3.07615e-12,6.14181,3.37156e-12,6.14181,2.51003e-12,6.14181,3.06329e-12,6.14181
9.784736,4.67445e-19,6.24679,5.02142e-19,6.24679,4.85458e-19,6.24679,5.29549e-19,6.24679,4.66735e-19,6.24679,1.46533e-10,6.24679,4.81249e-19,6.24679,4.73927e-19,6.24679,5.89159e-19,6.24679,5.41338e-19,6.24679,2.93923e-11,6.24679,1.04568e-11,6.24679,7.26772e-12,6.24679,7.43586e-12,6.24679,5.95875e-12,6.24679,9.37007e-12,6.24679
11.741683,1.0374e-18,4.49065,1.11856e-18,4.49065,1.06924e-18,4.49065,1.16311e-18,4.49065,1.02073e-18,4.49065,6.59991e-10,4.49065,1.05462e-18,4.49065,1.03896e-18,4.49065,1.33705e-18,4.49065,1.20527e-18,4.49065,5.14831e-10,4.49065,2.45354e-11,4.49065,2.94884e-11,4.49065,1.63118e-11,4.49065,1.43083e-11,4.49065,4.58635e-11,4.49065
13.698630,2.26833e-18,5.22091,2.4547e-18,5.22091,2.34067e-18,5.22091,2.56566e-18,5.22091,2.24074e-18,5.22091,6.5066e-11,5.22091,2.28674e-18,5.22091,2.28693e-18,5.22091,3.75002e-18,5.22091,2.65343e-18,5.22091,5.59626e-11,5.22091,4.11761e-11,5.22091,3.23801e-11,5.22091,3.39293e-11,5.22091,2.64305e-11,5.22091,3.59117e-11,5.22091
15.655577,4.99203e-18,5.10785,5.40486e-18,5.10785,5.09855e-18,5.10785,5.64893e-18,5.10785,4.92416e-18,5.10785,9.72451e-11,5.10785,5.02262e-18,5.10785,5.05491e-18,5.10785,7.93824e-18,5.10785,5.8831e-18,5.10785,8.95982e-11,5.10785,8.83206e-11,5.10785,7.14126e-11,5.10785,7.50363e-11,5.10785,5.92504e-11,5.10785,7.11524e-11,5.10785
17.612524,1.10044e-17,4.21092,1.19342e-17,4.21092,1.11191e-17,4.21092,1.24542e-17,4.21092,1.08498e-17,4.21092,1.79908e-10,4.21092,1.10383e-17,4.21092,1.10331e-17,4.21092,1.4569e-17,4.21092,1.31138e-17,4.21092,1.69557e-10,4.21092,1.96657e-10,4.21092,1.60965e-10,4.21092,1.68518e-10,4.21092,1.31044e-10,4.21092,1.53279e-10,4.21092
