# Frequency[MHz],ampNF Ch0 [dB],ampNF Ch1 [dB],ampNF Ch2 [dB],ampNF Ch3 [dB],ampNF Ch4 [dB],ampNF Ch5 [dB],ampNF Ch6 [dB],ampNF Ch7 [dB],ampNF Ch8 [dB],ampNF Ch9 [dB],ampNF Ch10 [dB],ampNF Ch11 [dB],ampNF Ch12 [dB],ampNF Ch13 [dB],ampNF Ch14 [dB],ampNF Ch15 [dB]
366.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376.754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378.758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436.874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446.894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
448.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462.926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
