# Frequency[MHz],ampNF Ch0 [lin],ampNF Ch1 [lin],ampNF Ch2 [lin],ampNF Ch3 [lin],ampNF Ch4 [lin],ampNF Ch5 [lin],ampNF Ch6 [lin],ampNF Ch7 [lin],ampNF Ch8 [lin],ampNF Ch9 [lin],ampNF Ch10 [lin],ampNF Ch11 [lin],ampNF Ch12 [lin],ampNF Ch13 [lin],ampNF Ch14 [lin],ampNF Ch15 [lin]
70.1403,6.93843,6.93843,6.93843,6.93843,6.93843,6.93843,6.93843,6.93843,6.93843,6.93843,6.93843,6.93843,6.93843,6.93843,6.93843,6.93843
72.1443,6.70144,6.70144,6.70144,6.70144,6.70144,6.70144,6.70144,6.70144,6.70144,6.70144,6.70144,6.70144,6.70144,6.70144,6.70144,6.70144
74.1483,6.46445,6.46445,6.46445,6.46445,6.46445,6.46445,6.46445,6.46445,6.46445,6.46445,6.46445,6.46445,6.46445,6.46445,6.46445,6.46445
76.1523,6.22745,6.22745,6.22745,6.22745,6.22745,6.22745,6.22745,6.22745,6.22745,6.22745,6.22745,6.22745,6.22745,6.22745,6.22745,6.22745
78.1563,5.99046,5.99046,5.99046,5.99046,5.99046,5.99046,5.99046,5.99046,5.99046,5.99046,5.99046,5.99046,5.99046,5.99046,5.99046,5.99046
80.1603,5.75347,5.75347,5.75347,5.75347,5.75347,5.75347,5.75347,5.75347,5.75347,5.75347,5.75347,5.75347,5.75347,5.75347,5.75347,5.75347
82.1643,5.51647,5.51647,5.51647,5.51647,5.51647,5.51647,5.51647,5.51647,5.51647,5.51647,5.51647,5.51647,5.51647,5.51647,5.51647,5.51647
84.1683,5.27948,5.27948,5.27948,5.27948,5.27948,5.27948,5.27948,5.27948,5.27948,5.27948,5.27948,5.27948,5.27948,5.27948,5.27948,5.27948
86.1723,5.04248,5.04248,5.04248,5.04248,5.04248,5.04248,5.04248,5.04248,5.04248,5.04248,5.04248,5.04248,5.04248,5.04248,5.04248,5.04248
88.1764,4.80549,4.80549,4.80549,4.80549,4.80549,4.80549,4.80549,4.80549,4.80549,4.80549,4.80549,4.80549,4.80549,4.80549,4.80549,4.80549
90.1804,4.5685,4.5685,4.5685,4.5685,4.5685,4.5685,4.5685,4.5685,4.5685,4.5685,4.5685,4.5685,4.5685,4.5685,4.5685,4.5685
92.1844,4.3315,4.3315,4.3315,4.3315,4.3315,4.3315,4.3315,4.3315,4.3315,4.3315,4.3315,4.3315,4.3315,4.3315,4.3315,4.3315
94.1884,4.09451,4.09451,4.09451,4.09451,4.09451,4.09451,4.09451,4.09451,4.09451,4.09451,4.09451,4.09451,4.09451,4.09451,4.09451,4.09451
96.1924,3.85752,3.85752,3.85752,3.85752,3.85752,3.85752,3.85752,3.85752,3.85752,3.85752,3.85752,3.85752,3.85752,3.85752,3.85752,3.85752
98.1964,3.62052,3.62052,3.62052,3.62052,3.62052,3.62052,3.62052,3.62052,3.62052,3.62052,3.62052,3.62052,3.62052,3.62052,3.62052,3.62052
100.2,3.38353,3.38353,3.38353,3.38353,3.38353,3.38353,3.38353,3.38353,3.38353,3.38353,3.38353,3.38353,3.38353,3.38353,3.38353,3.38353
102.204,3.14653,3.14653,3.14653,3.14653,3.14653,3.14653,3.14653,3.14653,3.14653,3.14653,3.14653,3.14653,3.14653,3.14653,3.14653,3.14653
104.208,2.90954,2.90954,2.90954,2.90954,2.90954,2.90954,2.90954,2.90954,2.90954,2.90954,2.90954,2.90954,2.90954,2.90954,2.90954,2.90954
106.212,2.67255,2.67255,2.67255,2.67255,2.67255,2.67255,2.67255,2.67255,2.67255,2.67255,2.67255,2.67255,2.67255,2.67255,2.67255,2.67255
108.216,2.43555,2.43555,2.43555,2.43555,2.43555,2.43555,2.43555,2.43555,2.43555,2.43555,2.43555,2.43555,2.43555,2.43555,2.43555,2.43555
110.22,2.19856,2.19856,2.19856,2.19856,2.19856,2.19856,2.19856,2.19856,2.19856,2.19856,2.19856,2.19856,2.19856,2.19856,2.19856,2.19856
112.224,1.96157,1.96157,1.96157,1.96157,1.96157,1.96157,1.96157,1.96157,1.96157,1.96157,1.96157,1.96157,1.96157,1.96157,1.96157,1.96157
114.228,1.72457,1.72457,1.72457,1.72457,1.72457,1.72457,1.72457,1.72457,1.72457,1.72457,1.72457,1.72457,1.72457,1.72457,1.72457,1.72457
