# Frequency[MHz],ampNF Ch0 [lin],ampNF Ch1 [lin],ampNF Ch2 [lin],ampNF Ch3 [lin],ampNF Ch4 [lin],ampNF Ch5 [lin],ampNF Ch6 [lin],ampNF Ch7 [lin],ampNF Ch8 [lin],ampNF Ch9 [lin],ampNF Ch10 [lin],ampNF Ch11 [lin],ampNF Ch12 [lin],ampNF Ch13 [lin],ampNF Ch14 [lin],ampNF Ch15 [lin]
70.1403,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
72.1443,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
74.1483,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
76.1523,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
78.1563,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
80.1603,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
82.1643,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
84.1683,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
86.1723,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
88.1764,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
90.1804,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
92.1844,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
94.1884,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
96.1924,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
98.1964,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
100.2,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
102.204,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
104.208,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
106.212,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
108.216,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
110.22,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
112.224,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
114.228,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
116.232,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
118.236,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
120.24,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
122.244,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11,1e+11
