# Frequency[MHz],ampNF Ch0 [lin],ampNF Ch1 [lin],ampNF Ch2 [lin],ampNF Ch3 [lin],ampNF Ch4 [lin],ampNF Ch5 [lin],ampNF Ch6 [lin],ampNF Ch7 [lin],ampNF Ch8 [lin],ampNF Ch9 [lin],ampNF Ch10 [lin],ampNF Ch11 [lin],ampNF Ch12 [lin],ampNF Ch13 [lin],ampNF Ch14 [lin],ampNF Ch15 [lin]
0,629.55,629.55,629.55,1148.36,219.68,219.68,219.68,5968.34,442.022,442.022,442.022,185.405,7106.37,7106.37,7106.37,210.369
2.00401,620.579,620.579,620.579,1131.78,216.57,216.57,216.57,5867.74,435.736,435.736,435.736,182.786,7001.43,7001.43,7001.43,207.398
4.00802,611.609,611.609,611.609,1115.2,213.461,213.461,213.461,5767.14,429.45,429.45,429.45,180.167,6896.49,6896.49,6896.49,204.427
6.01202,602.638,602.638,602.638,1098.62,210.351,210.351,210.351,5666.53,423.164,423.164,423.164,177.549,6791.55,6791.55,6791.55,201.456
8.01603,593.668,593.668,593.668,1082.05,207.242,207.242,207.242,5565.93,416.879,416.879,416.879,174.93,6686.61,6686.61,6686.61,198.486
10.02,584.697,584.697,584.697,1065.47,204.133,204.133,204.133,5465.33,410.593,410.593,410.593,172.312,6581.67,6581.67,6581.67,195.515
12.024,575.727,575.727,575.727,1048.89,201.023,201.023,201.023,5364.73,404.307,404.307,404.307,169.693,6476.73,6476.73,6476.73,192.544
14.0281,566.756,566.756,566.756,1032.31,197.914,197.914,197.914,5264.13,398.021,398.021,398.021,167.074,6371.79,6371.79,6371.79,189.573
16.0321,557.786,557.786,557.786,1015.73,194.805,194.805,194.805,5163.53,391.735,391.735,391.735,164.456,6266.85,6266.85,6266.85,186.603
18.0361,548.815,548.815,548.815,999.15,191.695,191.695,191.695,5062.93,385.449,385.449,385.449,161.837,6161.91,6161.91,6161.91,183.632
20.0401,539.845,539.845,539.845,982.571,188.586,188.586,188.586,4962.33,379.163,379.163,379.163,159.219,6056.97,6056.97,6056.97,180.661
22.0441,530.874,530.874,530.874,965.992,185.477,185.477,185.477,4861.73,372.877,372.877,372.877,156.6,5952.03,5952.03,5952.03,177.69
24.0481,521.904,521.904,521.904,949.413,182.367,182.367,182.367,4761.13,366.591,366.591,366.591,153.981,5847.09,5847.09,5847.09,174.719
26.0521,512.933,512.933,512.933,932.834,179.258,179.258,179.258,4660.53,360.305,360.305,360.305,151.363,5742.15,5742.15,5742.15,171.749
28.0561,503.963,503.963,503.963,916.255,176.148,176.148,176.148,4559.93,354.02,354.02,354.02,148.744,5637.21,5637.21,5637.21,168.778
30.0601,494.992,494.992,494.992,899.675,173.039,173.039,173.039,4459.33,347.734,347.734,347.734,146.126,5532.27,5532.27,5532.27,165.807
32.0641,486.022,486.022,486.022,883.096,169.93,169.93,169.93,4358.73,341.448,341.448,341.448,143.507,5427.33,5427.33,5427.33,162.836
34.0681,477.051,477.051,477.051,866.517,166.82,166.82,166.82,4258.13,335.162,335.162,335.162,140.888,5322.39,5322.39,5322.39,159.866
36.0721,468.081,468.081,468.081,849.938,163.711,163.711,163.711,4157.53,328.876,328.876,328.876,138.27,5217.45,5217.45,5217.45,156.895
38.0762,459.11,459.11,459.11,833.359,160.602,160.602,160.602,4056.93,322.59,322.59,322.59,135.651,5112.51,5112.51,5112.51,153.924
40.0802,450.14,450.14,450.14,816.78,157.492,157.492,157.492,3956.32,316.304,316.304,316.304,133.032,5007.57,5007.57,5007.57,150.953
42.0842,441.17,441.17,441.17,800.201,154.383,154.383,154.383,3855.72,310.018,310.018,310.018,130.414,4902.63,4902.63,4902.63,147.982
44.0882,432.199,432.199,432.199,783.622,151.273,151.273,151.273,3755.12,303.732,303.732,303.732,127.795,4797.69,4797.69,4797.69,145.012
46.0922,423.229,423.229,423.229,767.043,148.164,148.164,148.164,3654.52,297.446,297.446,297.446,125.177,4692.75,4692.75,4692.75,142.041
48.0962,414.258,414.258,414.258,750.464,145.055,145.055,145.055,3553.92,291.161,291.161,291.161,122.558,4587.81,4587.81,4587.81,139.07
50.1002,405.288,405.288,405.288,733.885,141.945,141.945,141.945,3453.32,284.875,284.875,284.875,119.939,4482.87,4482.87,4482.87,136.099
52.1042,396.317,396.317,396.317,717.306,138.836,138.836,138.836,3352.72,278.589,278.589,278.589,117.321,4377.93,4377.93,4377.93,133.129
54.1082,387.347,387.347,387.347,700.727,135.727,135.727,135.727,3252.12,272.303,272.303,272.303,114.702,4272.99,4272.99,4272.99,130.158
56.1122,378.376,378.376,378.376,684.148,132.617,132.617,132.617,3151.52,266.017,266.017,266.017,112.084,4168.05,4168.05,4168.05,127.187
58.1162,369.406,369.406,369.406,667.569,129.508,129.508,129.508,3050.92,259.731,259.731,259.731,109.465,4063.11,4063.11,4063.11,124.216
60.1202,360.435,360.435,360.435,650.99,126.399,126.399,126.399,2950.32,253.445,253.445,253.445,106.846,3958.17,3958.17,3958.17,121.245
62.1242,351.465,351.465,351.465,634.41,123.289,123.289,123.289,2849.72,247.159,247.159,247.159,104.228,3853.23,3853.23,3853.23,118.275
64.1283,342.494,342.494,342.494,617.831,120.18,120.18,120.18,2749.12,240.873,240.873,240.873,101.609,3748.28,3748.28,3748.28,115.304
66.1323,333.524,333.524,333.524,601.252,117.07,117.07,117.07,2648.52,234.587,234.587,234.587,98.9906,3643.34,3643.34,3643.34,112.333
68.1363,324.553,324.553,324.553,584.673,113.961,113.961,113.961,2547.92,228.302,228.302,228.302,96.372,3538.4,3538.4,3538.4,109.362
70.1403,315.583,315.583,315.583,568.094,110.852,110.852,110.852,2447.32,222.016,222.016,222.016,93.7534,3433.46,3433.46,3433.46,106.392
72.1443,306.612,306.612,306.612,551.515,107.742,107.742,107.742,2346.72,215.73,215.73,215.73,91.1348,3328.52,3328.52,3328.52,103.421
74.1483,297.642,297.642,297.642,534.936,104.633,104.633,104.633,2246.12,209.444,209.444,209.444,88.5162,3223.58,3223.58,3223.58,100.45
76.1523,288.671,288.671,288.671,518.357,101.524,101.524,101.524,2145.51,203.158,203.158,203.158,85.8976,3118.64,3118.64,3118.64,97.4793
78.1563,279.701,279.701,279.701,501.778,98.4142,98.4142,98.4142,2044.91,196.872,196.872,196.872,83.279,3013.7,3013.7,3013.7,94.5085
80.1603,270.73,270.73,270.73,485.199,95.3049,95.3049,95.3049,1944.31,190.586,190.586,190.586,80.6604,2908.76,2908.76,2908.76,91.5377
82.1643,261.76,261.76,261.76,468.62,92.1955,92.1955,92.1955,1843.71,184.3,184.3,184.3,78.0418,2803.82,2803.82,2803.82,88.5669
84.1683,252.789,252.789,252.789,452.041,89.0861,89.0861,89.0861,1743.11,178.014,178.014,178.014,75.4232,2698.88,2698.88,2698.88,85.5962
86.1723,243.819,243.819,243.819,435.462,85.9768,85.9768,85.9768,1642.51,171.728,171.728,171.728,72.8046,2593.94,2593.94,2593.94,82.6254
88.1764,234.848,234.848,234.848,418.883,82.8674,82.8674,82.8674,1541.91,165.442,165.442,165.442,70.186,2489,2489,2489,79.6546
90.1804,225.878,225.878,225.878,402.304,79.758,79.758,79.758,1441.31,159.157,159.157,159.157,67.5674,2384.06,2384.06,2384.06,76.6838
92.1844,216.907,216.907,216.907,385.724,76.6487,76.6487,76.6487,1340.71,152.871,152.871,152.871,64.9487,2279.12,2279.12,2279.12,73.7131
94.1884,207.937,207.937,207.937,369.145,73.5393,73.5393,73.5393,1240.11,146.585,146.585,146.585,62.3301,2174.18,2174.18,2174.18,70.7423
